index,Rama,Mediana_COP,Costo_efectivo_COP,Mediana_SMMLV,Costo_SMMLV,n_muestra,poblacion_estimada,Ciudad,Año
9,Actividades financieras y de seguros,1950000,3003000,1.95,3.0,5995,419008.5952617291,Todas (Panorama Nacional),2022
3,"Administración pública y defensa, educación y atención de la salud humana",1900000,2926000,1.9,2.93,56478,2665402.9283269327,Todas (Panorama Nacional),2022
11,Información y comunicaciones,1700000,2618000,1.7,2.62,5273,382817.1159179378,Todas (Panorama Nacional),2022
12,Actividades inmobiliarias,1150000,1771000,1.15,1.77,3476,221281.87524259632,Todas (Panorama Nacional),2022
0,Comercio y reparación de vehículos,1000000,1540000,1.0,1.54,77235,3970353.6196406316,Todas (Panorama Nacional),2022
8,Construcción,1000000,1540000,1.0,1.54,28922,1546653.7994614246,Todas (Panorama Nacional),2022
4,Industrias manufactureras,1000000,1540000,1.0,1.54,34756,2343551.6131574777,Todas (Panorama Nacional),2022
1,Transporte y almacenamiento,1000000,1540000,1.0,1.54,31597,1595131.2818622708,Todas (Panorama Nacional),2022
6,"Actividades profesionales, científicas, técnicas y de servicios administrativos",1000000,1540000,1.0,1.54,30060,1733591.4001901143,Todas (Panorama Nacional),2022
10,"Suministro de electricidad, gas, agua y gestión de desechos^",1000000,1540000,1.0,1.54,9525,587819.3574378147,Todas (Panorama Nacional),2022
2,Alojamiento y servicios de comida,800000,1232000,0.8,1.23,30032,1482663.0655645453,Todas (Panorama Nacional),2022
7,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",750000,1155000,0.75,1.16,35925,1851396.919386121,Todas (Panorama Nacional),2022
5,"Agricultura, ganadería, caza, silvicultura y pesca",600000,924000,0.6,0.92,33088,3224135.8147105672,Todas (Panorama Nacional),2022
8,"Administración pública y defensa, educación y atención de la salud humana",2000000,3080000,2.0,3.08,1496,19835.569787725333,Armenia,2022
0,Construcción,1000000,1540000,1.0,1.54,827,11013.206099499,Armenia,2022
4,Industrias manufactureras,1000000,1540000,1.0,1.54,853,11271.974995236083,Armenia,2022
3,"Actividades profesionales, científicas, técnicas y de servicios administrativos",1000000,1540000,1.0,1.54,760,9930.0406633155,Armenia,2022
1,Comercio y reparación de vehículos,1000000,1540000,1.0,1.54,1971,25402.36732456525,Armenia,2022
11,Transporte y almacenamiento,1000000,1540000,1.0,1.54,462,6082.663507498583,Armenia,2022
5,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",960000,1478400,0.96,1.48,884,11342.029500232584,Armenia,2022
2,Alojamiento y servicios de comida,900000,1386000,0.9,1.39,672,8555.068885930834,Armenia,2022
3,"Administración pública y defensa, educación y atención de la salud humana",1770000,2725800,1.77,2.73,1448,96709.0490425425,Barranquilla A.M.,2022
11,Actividades financieras y de seguros,1400000,2156000,1.4,2.16,191,13086.113070780833,Barranquilla A.M.,2022
12,Información y comunicaciones,1200000,1848000,1.2,1.85,212,15413.500447971666,Barranquilla A.M.,2022
1,Industrias manufactureras,1000000,1540000,1.0,1.54,1358,92334.84840561167,Barranquilla A.M.,2022
6,"Suministro de electricidad, gas, agua y gestión de desechos^",1000000,1540000,1.0,1.54,261,16602.1572932925,Barranquilla A.M.,2022
9,"Actividades profesionales, científicas, técnicas y de servicios administrativos",1000000,1540000,1.0,1.54,1067,69784.04411143667,Barranquilla A.M.,2022
8,Actividades inmobiliarias,1000000,1540000,1.0,1.54,150,10456.217098540834,Barranquilla A.M.,2022
0,Comercio y reparación de vehículos,900000,1386000,0.9,1.39,2825,188713.783500545,Barranquilla A.M.,2022
7,Transporte y almacenamiento,900000,1386000,0.9,1.39,1135,79290.58286637667,Barranquilla A.M.,2022
4,Construcción,900000,1386000,0.9,1.39,930,62228.56785877833,Barranquilla A.M.,2022
5,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",700000,1078000,0.7,1.08,1338,87350.52734481334,Barranquilla A.M.,2022
2,Alojamiento y servicios de comida,600000,924000,0.6,0.92,1038,67142.3947031525,Barranquilla A.M.,2022
8,Información y comunicaciones,2600000,4004000,2.6,4.0,451,145858.1019797,Bogotá D.C.,2022
7,Actividades financieras y de seguros,2600000,4004000,2.6,4.0,492,153180.21579024167,Bogotá D.C.,2022
5,"Administración pública y defensa, educación y atención de la salud humana",2400000,3696000,2.4,3.7,2033,616888.224143425,Bogotá D.C.,2022
4,"Actividades profesionales, científicas, técnicas y de servicios administrativos",1300000,2002000,1.3,2.0,1655,496710.7414153583,Bogotá D.C.,2022
12,Actividades inmobiliarias,1200000,1848000,1.2,1.85,206,64108.004619225,Bogotá D.C.,2022
3,Transporte y almacenamiento,1140000,1755600,1.14,1.76,913,269528.23544114165,Bogotá D.C.,2022
10,"Agricultura, ganadería, caza, silvicultura y pesca",1100000,1694000,1.1,1.69,67,20209.900039925,Bogotá D.C.,2022
0,Construcción,1100000,1694000,1.1,1.69,590,172333.23083584168,Bogotá D.C.,2022
2,Comercio y reparación de vehículos,1000000,1540000,1.0,1.54,2119,628371.4709844667,Bogotá D.C.,2022
1,Industrias manufactureras,1000000,1540000,1.0,1.54,1435,418764.2293930833,Bogotá D.C.,2022
6,Alojamiento y servicios de comida,1000000,1540000,1.0,1.54,616,176870.24526546666,Bogotá D.C.,2022
9,"Suministro de electricidad, gas, agua y gestión de desechos^",1000000,1540000,1.0,1.54,225,65305.374601866664,Bogotá D.C.,2022
11,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",1000000,1540000,1.0,1.54,961,279051.33422278333,Bogotá D.C.,2022
0,"Administración pública y defensa, educación y atención de la salud humana",2000000,3080000,2.0,3.08,1755,81798.68289264383,Bucaramanga A.M.,2022
9,Actividades financieras y de seguros,1800000,2772000,1.8,2.77,270,12611.450118850833,Bucaramanga A.M.,2022
12,Información y comunicaciones,1500000,2310000,1.5,2.31,193,9257.7762227475,Bucaramanga A.M.,2022
10,"Suministro de electricidad, gas, agua y gestión de desechos^",1200000,1848000,1.2,1.85,226,9496.154894428333,Bucaramanga A.M.,2022
11,Actividades inmobiliarias,1200000,1848000,1.2,1.85,174,7883.443543059167,Bucaramanga A.M.,2022
6,"Agricultura, ganadería, caza, silvicultura y pesca",1117000,1720180,1.12,1.72,167,9529.308171226667,Bucaramanga A.M.,2022
4,Construcción,1000000,1540000,1.0,1.54,683,33665.01627737758,Bucaramanga A.M.,2022
3,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",1000000,1540000,1.0,1.54,995,45072.176870138166,Bucaramanga A.M.,2022
1,Comercio y reparación de vehículos,1000000,1540000,1.0,1.54,2584,115445.22000557825,Bucaramanga A.M.,2022
5,Industrias manufactureras,1000000,1540000,1.0,1.54,1557,71065.43676209416,Bucaramanga A.M.,2022
8,"Actividades profesionales, científicas, técnicas y de servicios administrativos",1000000,1540000,1.0,1.54,1285,58154.655498011,Bucaramanga A.M.,2022
7,Transporte y almacenamiento,1000000,1540000,1.0,1.54,1074,49287.5911137,Bucaramanga A.M.,2022
2,Alojamiento y servicios de comida,962000,1481480,0.96,1.48,837,36279.079770612414,Bucaramanga A.M.,2022
4,"Administración pública y defensa, educación y atención de la salud humana",1920000,2956800,1.92,2.96,1868,137418.53157826274,Cali A.M.,2022
12,Actividades financieras y de seguros,1800000,2772000,1.8,2.77,277,22524.111337028335,Cali A.M.,2022
9,Información y comunicaciones,1600000,2464000,1.6,2.46,232,17830.0539485365,Cali A.M.,2022
11,"Agricultura, ganadería, caza, silvicultura y pesca",1400000,2156000,1.4,2.16,155,8810.193328055084,Cali A.M.,2022
10,Actividades inmobiliarias,1200000,1848000,1.2,1.85,254,19148.31920203175,Cali A.M.,2022
8,"Actividades profesionales, científicas, técnicas y de servicios administrativos",1117000,1720180,1.12,1.72,1203,91196.09696973908,Cali A.M.,2022
5,Industrias manufactureras,1100000,1694000,1.1,1.69,2271,151319.06753287592,Cali A.M.,2022
1,"Suministro de electricidad, gas, agua y gestión de desechos^",1000000,1540000,1.0,1.54,231,15601.505116880917,Cali A.M.,2022
2,Comercio y reparación de vehículos,1000000,1540000,1.0,1.54,2983,217877.408679172,Cali A.M.,2022
6,Transporte y almacenamiento,1000000,1540000,1.0,1.54,1139,77451.39799364333,Cali A.M.,2022
3,Construcción,1000000,1540000,1.0,1.54,914,67648.831662962,Cali A.M.,2022
7,Alojamiento y servicios de comida,960000,1478400,0.96,1.48,1001,75877.31749237933,Cali A.M.,2022
0,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",900000,1386000,0.9,1.39,1471,107261.39706457392,Cali A.M.,2022
8,"Administración pública y defensa, educación y atención de la salud humana",1800000,2772000,1.8,2.77,1659,51084.43395795558,Cartagena,2022
6,Actividades inmobiliarias,1200000,1848000,1.2,1.85,169,5299.0926400490835,Cartagena,2022
9,"Suministro de electricidad, gas, agua y gestión de desechos^",1117172,1720445,1.12,1.72,277,8707.731479730834,Cartagena,2022
2,Transporte y almacenamiento,1000000,1540000,1.0,1.54,1759,52391.40944812075,Cartagena,2022
7,Industrias manufactureras,1000000,1540000,1.0,1.54,995,29737.147653172335,Cartagena,2022
3,"Actividades profesionales, científicas, técnicas y de servicios administrativos",900000,1386000,0.9,1.39,1274,38749.45884204983,Cartagena,2022
0,Alojamiento y servicios de comida,900000,1386000,0.9,1.39,1266,37115.0611730415,Cartagena,2022
4,Construcción,900000,1386000,0.9,1.39,1191,34790.687239196,Cartagena,2022
1,Comercio y reparación de vehículos,800000,1232000,0.8,1.23,2836,83178.01173866242,Cartagena,2022
5,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",650000,1001000,0.65,1.0,1361,39588.33823604475,Cartagena,2022
3,"Administración pública y defensa, educación y atención de la salud humana",1820000,2802800,1.82,2.8,1261,43690.88576814,Cúcuta A.M.,2022
2,Comercio y reparación de vehículos,1000000,1540000,1.0,1.54,2839,96410.704307901,Cúcuta A.M.,2022
11,"Suministro de electricidad, gas, agua y gestión de desechos^",1000000,1540000,1.0,1.54,353,11855.659507032333,Cúcuta A.M.,2022
5,Construcción,900000,1386000,0.9,1.39,931,33130.40311357417,Cúcuta A.M.,2022
0,Industrias manufactureras,900000,1386000,0.9,1.39,1540,53101.58681157,Cúcuta A.M.,2022
4,"Actividades profesionales, científicas, técnicas y de servicios administrativos",800000,1232000,0.8,1.23,926,30981.6867551775,Cúcuta A.M.,2022
8,Transporte y almacenamiento,800000,1232000,0.8,1.23,841,29621.030367156665,Cúcuta A.M.,2022
7,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",800000,1232000,0.8,1.23,1057,34436.10764636083,Cúcuta A.M.,2022
1,Alojamiento y servicios de comida,750000,1155000,0.75,1.16,886,28051.145168547668,Cúcuta A.M.,2022
0,"Administración pública y defensa, educación y atención de la salud humana",2200000,3388000,2.2,3.39,1542,11129.353264802916,Florencia,2022
3,Comercio y reparación de vehículos,1000000,1540000,1.0,1.54,1970,14164.948997835167,Florencia,2022
6,Transporte y almacenamiento,800000,1232000,0.8,1.23,822,6118.860872281167,Florencia,2022
