Grupo,beta_educacion,beta_exp,R2,N,Ciudad,Año
Nacional,11.5,2.83,0.272,114619,Todas (Panorama Nacional),2026
Nacional,8.9,1.99,0.282,626,Arauca,2026
Nacional,11.0,2.66,0.233,3140,Armenia,2026
Nacional,11.1,2.65,0.217,3881,Barranquilla A.M.,2026
Nacional,13.1,3.07,0.334,4521,Bogotá D.C.,2026
Nacional,9.5,3.29,0.258,3832,Bucaramanga A.M.,2026
Nacional,10.8,2.33,0.211,4173,Cali A.M.,2026
Nacional,13.9,1.21,0.272,3769,Cartagena,2026
Nacional,10.0,3.01,0.224,3235,Cúcuta A.M.,2026
Nacional,11.3,3.72,0.289,2605,Florencia,2026
Nacional,11.4,2.92,0.334,2954,Ibagué,2026
Nacional,9.2,2.21,0.379,592,Inírida,2026
Nacional,15.5,0.93,0.326,576,Leticia,2026
Nacional,10.7,3.39,0.255,4733,Manizales A.M.,2026
Nacional,11.1,2.42,0.26,5063,Medellín A.M.,2026
Nacional,14.6,2.43,0.39,795,Mitú,2026
Nacional,11.3,-0.09,0.212,466,Mocoa,2026
Nacional,12.3,2.86,0.325,2700,Montería,2026
Nacional,13.3,3.41,0.304,3680,Pasto,2026
Nacional,9.2,2.63,0.255,4138,Pereira A.M.,2026
Nacional,13.2,3.55,0.329,2789,Popayán,2026
Nacional,10.2,1.53,0.386,489,Puerto Carreño,2026
Nacional,11.4,3.58,0.254,2329,Quibdó,2026
Nacional,12.4,3.01,0.266,2539,Riohacha,2026
Nacional,9.1,0.62,0.209,1338,San Andrés,2026
Nacional,11.8,3.17,0.233,756,San José del Guaviare,2026
Nacional,8.9,2.28,0.215,3259,Santa Marta,2026
Nacional,13.1,2.78,0.262,3161,Sincelejo,2026
Nacional,11.3,3.29,0.305,2735,Tunja,2026
Nacional,10.8,2.88,0.219,2761,Valledupar,2026
Nacional,10.4,2.95,0.234,3402,Villavicencio,2026
Nacional,10.5,3.39,0.301,825,Yopal,2026
