Nivel,Hombres,Mujeres,Brecha_%,n_hombres,n_mujeres,Ciudad,Año
1. Sin educación,600000.0,300000.0,-50.0,6084,2642,Todas (Panorama Nacional),2024
2. Primaria,900000.0,540000.0,-40.0,38234,20217,Todas (Panorama Nacional),2024
3. Secundaria,1040000.0,650000.0,-37.5,23022,12866,Todas (Panorama Nacional),2024
4. Media,1300000.0,1160000.0,-10.76923076923077,66296,48274,Todas (Panorama Nacional),2024
5. Técnica/Tecno.,1500000.0,1300000.0,-13.333333333333334,20183,24273,Todas (Panorama Nacional),2024
6. Universitaria,2300000.0,2000000.0,-13.043478260869565,25057,28792,Todas (Panorama Nacional),2024
7. Posgrado,5160000.0,4500000.0,-12.790697674418606,8816,10778,Todas (Panorama Nacional),2024
2. Primaria,750000.0,600000.0,-20.0,191,118,Arauca,2024
3. Secundaria,800000.0,650000.0,-18.75,131,99,Arauca,2024
4. Media,1200000.0,800000.0,-33.33333333333333,273,227,Arauca,2024
5. Técnica/Tecno.,1350000.0,1300000.0,-3.7037037037037033,111,150,Arauca,2024
6. Universitaria,1870000.0,1700000.0,-9.090909090909092,78,121,Arauca,2024
1. Sin educación,600000.0,400000.0,-33.33333333333333,59,32,Armenia,2024
2. Primaria,1000000.0,650000.0,-35.0,744,433,Armenia,2024
3. Secundaria,1200000.0,750000.0,-37.5,635,366,Armenia,2024
4. Media,1300000.0,1200000.0,-7.6923076923076925,1837,1392,Armenia,2024
5. Técnica/Tecno.,1500000.0,1300000.0,-13.333333333333334,614,865,Armenia,2024
6. Universitaria,2100000.0,2000000.0,-4.761904761904762,823,930,Armenia,2024
7. Posgrado,4800000.0,4000000.0,-16.666666666666664,272,336,Armenia,2024
1. Sin educación,500000.0,300000.0,-40.0,114,65,Barranquilla A.M.,2024
2. Primaria,900000.0,500000.0,-44.44444444444444,815,555,Barranquilla A.M.,2024
3. Secundaria,1000000.0,500000.0,-50.0,715,413,Barranquilla A.M.,2024
4. Media,1300000.0,900000.0,-30.76923076923077,2514,1671,Barranquilla A.M.,2024
5. Técnica/Tecno.,1400000.0,1300000.0,-7.142857142857142,952,1031,Barranquilla A.M.,2024
6. Universitaria,2400000.0,2000000.0,-16.666666666666664,1153,1171,Barranquilla A.M.,2024
7. Posgrado,5000000.0,4100000.0,-18.0,284,296,Barranquilla A.M.,2024
2. Primaria,1300000.0,900000.0,-30.76923076923077,662,494,Bogotá D.C.,2024
3. Secundaria,1300000.0,1000000.0,-23.076923076923077,545,414,Bogotá D.C.,2024
