index,Rama,ICF,Cotiza_pension_%,Ingreso_SML_%,Afiliado_salud_%,n_muestra,poblacion_estimada,CV_%,Clasificacion_Precision,Ciudad,Año
0,"Administración pública y defensa, educación y atención de la salud humana",90.8,87.3,85.9,99.2,53115,2738217.098890751,0.3,✅ Precisión alta,Todas (Panorama Nacional),2023
10,Actividades financieras y de seguros,90.8,88.1,85.2,99.1,5959,422256.85254753625,0.8,✅ Precisión alta,Todas (Panorama Nacional),2023
12,Información y comunicaciones,90.3,87.4,85.1,98.3,5234,402938.5307994491,0.8,✅ Precisión alta,Todas (Panorama Nacional),2023
11,Actividades inmobiliarias,87.2,80.2,83.1,98.3,3846,275264.3478003424,1.3,✅ Precisión alta,Todas (Panorama Nacional),2023
4,"Actividades profesionales, científicas, técnicas y de servicios administrativos",71.1,56.4,60.1,96.7,29421,1821921.3733385636,0.8,✅ Precisión alta,Todas (Panorama Nacional),2023
5,"Suministro de electricidad, gas, agua y gestión de desechos^",69.8,55.0,59.0,95.2,8573,589035.027426512,1.5,✅ Precisión alta,Todas (Panorama Nacional),2023
9,Industrias manufactureras,68.2,51.2,58.5,95.0,32714,2401174.7162866294,0.9,✅ Precisión alta,Todas (Panorama Nacional),2023
6,Construcción,59.3,33.1,52.8,92.1,26372,1565360.7667884806,1.4,✅ Precisión alta,Todas (Panorama Nacional),2023
1,Comercio y reparación de vehículos,59.0,35.4,47.5,94.1,71916,4019701.2832782515,0.8,✅ Precisión alta,Todas (Panorama Nacional),2023
7,Transporte y almacenamiento,58.7,35.0,47.8,93.1,30648,1706425.029282142,1.2,✅ Precisión alta,Todas (Panorama Nacional),2023
8,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",51.4,24.3,36.3,93.5,34963,1924584.1330184906,1.5,✅ Precisión alta,Todas (Panorama Nacional),2023
3,Alojamiento y servicios de comida,48.0,19.8,33.6,90.5,30293,1638978.5517470334,1.8,✅ Precisión alta,Todas (Panorama Nacional),2023
2,"Agricultura, ganadería, caza, silvicultura y pesca",43.3,12.8,23.0,94.3,32731,3280425.5623712786,2.3,✅ Precisión alta,Todas (Panorama Nacional),2023
1,"Administración pública y defensa, educación y atención de la salud humana",85.9,85.8,72.7,99.2,337,5324.681482347583,3.5,✅ Precisión alta,Arauca,2023
0,Comercio y reparación de vehículos,44.4,17.7,29.5,85.9,426,7067.839439942167,16.5,⚠️⚠️ Precisión baja,Arauca,2023
2,"Administración pública y defensa, educación y atención de la salud humana",94.5,92.5,91.1,99.8,1538,21812.7318328925,1.1,✅ Precisión alta,Armenia,2023
0,Industrias manufactureras,72.1,54.7,66.7,94.8,824,11658.716664098667,5.0,✅ Precisión alta,Armenia,2023
5,Transporte y almacenamiento,69.6,51.3,61.6,95.8,594,8302.652405322417,6.3,✅ Precisión alta,Armenia,2023
6,Construcción,67.8,42.2,67.5,93.9,784,11183.725147167082,6.6,✅ Precisión alta,Armenia,2023
4,"Actividades profesionales, científicas, técnicas y de servicios administrativos",65.3,46.2,53.6,96.3,917,12475.256106466582,5.6,✅ Precisión alta,Armenia,2023
3,Comercio y reparación de vehículos,62.7,41.9,52.4,93.6,2024,28012.31381524375,4.1,✅ Precisión alta,Armenia,2023
1,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",59.0,32.3,49.8,94.9,871,11651.386934479417,7.8,⚠️  Precisión aceptable,Armenia,2023
7,Alojamiento y servicios de comida,50.8,23.5,38.1,90.9,817,11030.001966369917,10.0,⚠️  Precisión aceptable,Armenia,2023
8,"Administración pública y defensa, educación y atención de la salud humana",89.6,84.0,85.0,99.8,1610,114200.32665673834,1.7,✅ Precisión alta,Barranquilla A.M.,2023
7,Información y comunicaciones,87.8,80.2,84.7,98.5,242,18014.343602996665,5.1,✅ Precisión alta,Barranquilla A.M.,2023
1,Actividades inmobiliarias,86.6,79.3,83.7,96.7,192,14031.371061185,5.8,✅ Precisión alta,Barranquilla A.M.,2023
10,Actividades financieras y de seguros,84.5,73.6,82.9,97.1,254,18216.135279121667,5.9,✅ Precisión alta,Barranquilla A.M.,2023
11,"Suministro de electricidad, gas, agua y gestión de desechos^",72.9,60.8,63.3,94.7,229,15409.979314055834,8.4,⚠️  Precisión aceptable,Barranquilla A.M.,2023
2,Industrias manufactureras,72.8,56.6,65.1,96.7,1522,108124.13538735083,3.5,✅ Precisión alta,Barranquilla A.M.,2023
6,"Actividades profesionales, científicas, técnicas y de servicios administrativos",71.4,53.6,62.9,97.7,1162,79197.57252194833,4.3,✅ Precisión alta,Barranquilla A.M.,2023
4,Transporte y almacenamiento,57.5,29.6,48.2,94.8,1204,88554.43118895084,7.0,⚠️  Precisión aceptable,Barranquilla A.M.,2023
9,Construcción,56.7,31.2,45.3,93.5,944,64405.41496626667,7.6,⚠️  Precisión aceptable,Barranquilla A.M.,2023
3,Comercio y reparación de vehículos,56.4,30.9,44.8,93.4,2973,209491.03404346167,4.3,✅ Precisión alta,Barranquilla A.M.,2023
5,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",47.5,14.1,34.6,93.8,1550,105420.45280243916,9.9,⚠️  Precisión aceptable,Barranquilla A.M.,2023
0,Alojamiento y servicios de comida,41.6,12.0,24.6,88.3,1059,73270.01763066417,13.2,⚠️  Precisión aceptable,Barranquilla A.M.,2023
10,Actividades financieras y de seguros,94.2,95.7,87.6,99.4,504,163744.87434926667,1.5,✅ Precisión alta,Bogotá D.C.,2023
7,"Administración pública y defensa, educación y atención de la salud humana",92.5,90.4,87.9,99.1,2131,687185.6542834083,1.1,✅ Precisión alta,Bogotá D.C.,2023
11,Información y comunicaciones,92.1,92.8,85.3,98.0,488,164789.7826846,2.0,✅ Precisión alta,Bogotá D.C.,2023
