index,Rama,Mediana_COP,Costo_efectivo_COP,Mediana_SMMLV,Costo_SMMLV,Ciudad,Año
5,"Administración pública y defensa, educación y atención de la salud humana",1800000,2772000,1.38,2.13,Arauca,2024
11,Actividades financieras y de seguros,1500000,2310000,1.15,1.78,Arauca,2024
3,Información y comunicaciones,1300000,2002000,1.0,1.54,Arauca,2024
7,"Suministro de electricidad, gas, agua y gestión de desechos^",1300000,2002000,1.0,1.54,Arauca,2024
0,Alojamiento y servicios de comida,900000,1386000,0.69,1.07,Arauca,2024
2,Construcción,900000,1386000,0.69,1.07,Arauca,2024
4,Comercio y reparación de vehículos,900000,1386000,0.69,1.07,Arauca,2024
1,Transporte y almacenamiento,800000,1232000,0.62,0.95,Arauca,2024
10,"Agricultura, ganadería, caza, silvicultura y pesca",750000,1155000,0.58,0.89,Arauca,2024
8,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",750000,1155000,0.58,0.89,Arauca,2024
6,"Actividades profesionales, científicas, técnicas y de servicios administrativos",650000,1001000,0.5,0.77,Arauca,2024
9,Industrias manufactureras,600000,924000,0.46,0.71,Arauca,2024
3,"Administración pública y defensa, educación y atención de la salud humana",2450000,3773000,1.88,2.9,Armenia,2024
11,Actividades financieras y de seguros,2000000,3080000,1.54,2.37,Armenia,2024
0,Información y comunicaciones,1800000,2772000,1.38,2.13,Armenia,2024
6,"Suministro de electricidad, gas, agua y gestión de desechos^",1500000,2310000,1.15,1.78,Armenia,2024
1,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",1300000,2002000,1.0,1.54,Armenia,2024
10,Industrias manufactureras,1300000,2002000,1.0,1.54,Armenia,2024
2,Transporte y almacenamiento,1300000,2002000,1.0,1.54,Armenia,2024
8,"Actividades profesionales, científicas, técnicas y de servicios administrativos",1300000,2002000,1.0,1.54,Armenia,2024
7,Comercio y reparación de vehículos,1300000,2002000,1.0,1.54,Armenia,2024
12,Actividades inmobiliarias,1300000,2002000,1.0,1.54,Armenia,2024
9,Construcción,1300000,2002000,1.0,1.54,Armenia,2024
4,"Agricultura, ganadería, caza, silvicultura y pesca",1160000,1786400,0.89,1.37,Armenia,2024
5,Alojamiento y servicios de comida,1000000,1540000,0.77,1.18,Armenia,2024
1,Información y comunicaciones,2200000,3388000,1.69,2.61,Barranquilla A.M.,2024
0,"Administración pública y defensa, educación y atención de la salud humana",2000000,3080000,1.54,2.37,Barranquilla A.M.,2024
7,Actividades financieras y de seguros,1600000,2464000,1.23,1.9,Barranquilla A.M.,2024
8,"Actividades profesionales, científicas, técnicas y de servicios administrativos",1460000,2248400,1.12,1.73,Barranquilla A.M.,2024
11,"Agricultura, ganadería, caza, silvicultura y pesca",1400000,2156000,1.08,1.66,Barranquilla A.M.,2024
12,"Suministro de electricidad, gas, agua y gestión de desechos^",1300000,2002000,1.0,1.54,Barranquilla A.M.,2024
10,Actividades inmobiliarias,1300000,2002000,1.0,1.54,Barranquilla A.M.,2024
3,Industrias manufactureras,1300000,2002000,1.0,1.54,Barranquilla A.M.,2024
5,Transporte y almacenamiento,1300000,2002000,1.0,1.54,Barranquilla A.M.,2024
9,Construcción,1200000,1848000,0.92,1.42,Barranquilla A.M.,2024
4,Comercio y reparación de vehículos,1200000,1848000,0.92,1.42,Barranquilla A.M.,2024
2,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",900000,1386000,0.69,1.07,Barranquilla A.M.,2024
6,Alojamiento y servicios de comida,800000,1232000,0.62,0.95,Barranquilla A.M.,2024
1,"Administración pública y defensa, educación y atención de la salud humana",3000000,4620000,2.31,3.55,Bogotá D.C.,2024
9,Actividades financieras y de seguros,3000000,4620000,2.31,3.55,Bogotá D.C.,2024
12,Información y comunicaciones,3000000,4620000,2.31,3.55,Bogotá D.C.,2024
7,"Actividades profesionales, científicas, técnicas y de servicios administrativos",1700000,2618000,1.31,2.01,Bogotá D.C.,2024
11,"Agricultura, ganadería, caza, silvicultura y pesca",1600000,2464000,1.23,1.9,Bogotá D.C.,2024
10,Actividades inmobiliarias,1520000,2340800,1.17,1.8,Bogotá D.C.,2024
4,Transporte y almacenamiento,1500000,2310000,1.15,1.78,Bogotá D.C.,2024
6,"Suministro de electricidad, gas, agua y gestión de desechos^",1462000,2251480,1.12,1.73,Bogotá D.C.,2024
3,Construcción,1450000,2233000,1.12,1.72,Bogotá D.C.,2024
8,Comercio y reparación de vehículos,1400000,2156000,1.08,1.66,Bogotá D.C.,2024
2,Industrias manufactureras,1400000,2156000,1.08,1.66,Bogotá D.C.,2024
0,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",1300000,2002000,1.0,1.54,Bogotá D.C.,2024
5,Alojamiento y servicios de comida,1300000,2002000,1.0,1.54,Bogotá D.C.,2024
2,"Administración pública y defensa, educación y atención de la salud humana",2225000,3426500,1.71,2.64,Bucaramanga A.M.,2024
12,Actividades financieras y de seguros,2200000,3388000,1.69,2.61,Bucaramanga A.M.,2024
8,Información y comunicaciones,1800000,2772000,1.38,2.13,Bucaramanga A.M.,2024
7,"Suministro de electricidad, gas, agua y gestión de desechos^",1800000,2772000,1.38,2.13,Bucaramanga A.M.,2024
1,"Actividades profesionales, científicas, técnicas y de servicios administrativos",1400000,2156000,1.08,1.66,Bucaramanga A.M.,2024
4,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",1300000,2002000,1.0,1.54,Bucaramanga A.M.,2024
3,Comercio y reparación de vehículos,1300000,2002000,1.0,1.54,Bucaramanga A.M.,2024
0,Transporte y almacenamiento,1300000,2002000,1.0,1.54,Bucaramanga A.M.,2024
6,Alojamiento y servicios de comida,1300000,2002000,1.0,1.54,Bucaramanga A.M.,2024
5,Industrias manufactureras,1300000,2002000,1.0,1.54,Bucaramanga A.M.,2024
9,Actividades inmobiliarias,1300000,2002000,1.0,1.54,Bucaramanga A.M.,2024
10,"Agricultura, ganadería, caza, silvicultura y pesca",1300000,2002000,1.0,1.54,Bucaramanga A.M.,2024
11,Construcción,1300000,2002000,1.0,1.54,Bucaramanga A.M.,2024
10,Actividades financieras y de seguros,2270000,3495800,1.75,2.69,Cali A.M.,2024
8,Información y comunicaciones,2000000,3080000,1.54,2.37,Cali A.M.,2024
1,"Administración pública y defensa, educación y atención de la salud humana",2000000,3080000,1.54,2.37,Cali A.M.,2024
4,"Actividades profesionales, científicas, técnicas y de servicios administrativos",1462000,2251480,1.12,1.73,Cali A.M.,2024
12,"Agricultura, ganadería, caza, silvicultura y pesca",1400000,2156000,1.08,1.66,Cali A.M.,2024
7,"Suministro de electricidad, gas, agua y gestión de desechos^",1300000,2002000,1.0,1.54,Cali A.M.,2024
