Nivel,Hombres,Mujeres,Brecha_%,n_hombres,n_mujeres,Ciudad,Año
1. Sin educación,700000.0,620000.0,-11.428571428571429,84,49,Medellín A.M.,2022
2. Primaria,1000000.0,700000.0,-30.0,1063,660,Medellín A.M.,2022
3. Secundaria,1000000.0,800000.0,-20.0,993,561,Medellín A.M.,2022
4. Media,1100000.0,1000000.0,-9.090909090909092,3050,2195,Medellín A.M.,2022
5. Técnica/Tecno.,1500000.0,1200000.0,-20.0,1263,1659,Medellín A.M.,2022
6. Universitaria,2480000.0,2000000.0,-19.35483870967742,1194,1377,Medellín A.M.,2022
7. Posgrado,5000000.0,4000000.0,-20.0,453,474,Medellín A.M.,2022
1. Sin educación,550000.0,320000.0,-41.81818181818181,124,72,Montería,2022
2. Primaria,650000.0,450000.0,-30.76923076923077,672,364,Montería,2022
3. Secundaria,720000.0,500000.0,-30.555555555555557,515,259,Montería,2022
4. Media,900000.0,650000.0,-27.77777777777778,1729,1195,Montería,2022
5. Técnica/Tecno.,1000000.0,1000000.0,0.0,368,532,Montería,2022
6. Universitaria,2000000.0,1800000.0,-10.0,696,771,Montería,2022
7. Posgrado,3500000.0,3500000.0,0.0,137,155,Montería,2022
1. Sin educación,400000.0,300000.0,-25.0,40,54,Pasto,2022
2. Primaria,700000.0,400000.0,-42.857142857142854,864,831,Pasto,2022
3. Secundaria,800000.0,500000.0,-37.5,468,330,Pasto,2022
4. Media,1000000.0,650000.0,-35.0,1493,1285,Pasto,2022
5. Técnica/Tecno.,1000000.0,1000000.0,0.0,567,849,Pasto,2022
6. Universitaria,1600000.0,1400000.0,-12.5,1100,1119,Pasto,2022
7. Posgrado,3500000.0,3000000.0,-14.285714285714285,475,599,Pasto,2022
1. Sin educación,800000.0,520000.0,-35.0,117,56,Pereira A.M.,2022
2. Primaria,1000000.0,610000.0,-39.0,1030,555,Pereira A.M.,2022
3. Secundaria,1000000.0,800000.0,-20.0,913,509,Pereira A.M.,2022
4. Media,1000000.0,1000000.0,0.0,2449,1734,Pereira A.M.,2022
5. Técnica/Tecno.,1300000.0,1117000.0,-14.076923076923077,835,1005,Pereira A.M.,2022
6. Universitaria,1800000.0,1600000.0,-11.11111111111111,1065,1201,Pereira A.M.,2022
7. Posgrado,4000000.0,3500000.0,-12.5,367,412,Pereira A.M.,2022
1. Sin educación,600000.0,300000.0,-50.0,33,38,Popayán,2022
2. Primaria,700000.0,400000.0,-42.857142857142854,651,546,Popayán,2022
3. Secundaria,800000.0,600000.0,-25.0,478,331,Popayán,2022
4. Media,1000000.0,720000.0,-28.000000000000004,1437,1009,Popayán,2022
5. Técnica/Tecno.,1200000.0,1000000.0,-16.666666666666664,634,810,Popayán,2022
6. Universitaria,1800000.0,1500000.0,-16.666666666666664,902,967,Popayán,2022
7. Posgrado,3860000.0,3200000.0,-17.098445595854923,467,551,Popayán,2022
1. Sin educación,600000.0,300000.0,-50.0,99,102,Quibdó,2022
2. Primaria,700000.0,400000.0,-42.857142857142854,513,356,Quibdó,2022
3. Secundaria,800000.0,500000.0,-37.5,431,250,Quibdó,2022
4. Media,1000000.0,600000.0,-40.0,1353,884,Quibdó,2022
5. Técnica/Tecno.,1200000.0,1000000.0,-16.666666666666664,307,518,Quibdó,2022
6. Universitaria,1500000.0,1600000.0,6.666666666666667,896,1250,Quibdó,2022
7. Posgrado,3200000.0,3000000.0,-6.25,151,255,Quibdó,2022
1. Sin educación,400000.0,300000.0,-25.0,136,87,Riohacha,2022
2. Primaria,640000.0,380000.0,-40.625,644,374,Riohacha,2022
3. Secundaria,600000.0,400000.0,-33.33333333333333,655,312,Riohacha,2022
4. Media,850000.0,550000.0,-35.294117647058826,1543,862,Riohacha,2022
