Grupo,beta_educacion,beta_exp,R2,N,Ciudad,Año
Nacional,10.0,1.49,0.303,1595,Arauca,2024
Nacional,11.0,2.54,0.269,9338,Armenia,2024
Nacional,12.2,2.71,0.21,11749,Barranquilla A.M.,2024
Nacional,14.1,2.86,0.318,12906,Bogotá D.C.,2024
Nacional,10.2,2.82,0.255,11394,Bucaramanga A.M.,2024
Nacional,11.9,2.66,0.25,12570,Cali A.M.,2024
Nacional,13.0,2.37,0.272,10562,Cartagena,2024
Nacional,9.4,2.44,0.222,10378,Cúcuta A.M.,2024
Nacional,11.5,3.35,0.292,7853,Florencia,2024
Nacional,11.0,2.8,0.265,8650,Ibagué,2024
Nacional,10.2,1.47,0.303,1799,Inírida,2024
Nacional,11.9,1.5,0.34,1747,Leticia,2024
Nacional,10.7,2.9,0.262,12853,Manizales A.M.,2024
Nacional,12.4,3.01,0.261,15530,Medellín A.M.,2024
Nacional,16.2,1.82,0.412,2228,Mitú,2024
Nacional,14.1,1.65,0.487,684,Mocoa,2024
Nacional,14.2,2.26,0.306,8285,Montería,2024
Nacional,13.6,4.13,0.324,11481,Pasto,2024
Nacional,10.2,2.32,0.253,12791,Pereira A.M.,2024
Nacional,13.8,3.02,0.317,8982,Popayán,2024
Nacional,10.6,1.81,0.3,1376,Puerto Carreño,2024
Nacional,11.3,4.05,0.27,7018,Quibdó,2024
Nacional,12.3,2.91,0.276,6763,Riohacha,2024
Nacional,8.6,0.37,0.226,3621,San Andrés,2024
Nacional,12.2,3.88,0.229,2104,San José del Guaviare,2024
Nacional,10.7,1.89,0.242,9215,Santa Marta,2024
Nacional,13.0,2.9,0.262,9009,Sincelejo,2024
Nacional,12.1,2.67,0.269,335534,Todas (Panorama Nacional),2024
Nacional,13.1,3.66,0.319,8451,Tunja,2024
Nacional,11.3,2.12,0.258,7204,Valledupar,2024
Nacional,11.2,3.51,0.251,10112,Villavicencio,2024
Nacional,10.1,4.04,0.243,2537,Yopal,2024
