Nivel,Hombres,Mujeres,Brecha_%,Año
1. Sin educación,700000.0,320000.0,-54.285714285714285,2025
2. Primaria,1000000.0,600000.0,-40.0,2025
3. Secundaria,1200000.0,800000.0,-33.33333333333333,2025
4. Media,1423500.0,1300000.0,-8.67579908675799,2025
5. Técnica/Tecno.,1640000.0,1423500.0,-13.201219512195122,2025
6. Universitaria,2500000.0,2200000.0,-12.0,2025
7. Posgrado,5600000.0,5000000.0,-10.714285714285714,2025
