index,Rama,ICF,Cotiza_pension_%,Ingreso_SML_%,Afiliado_salud_%,n_muestra,poblacion_estimada,CV_%,Clasificacion_Precision,Ciudad,Año
11,"Administración pública y defensa, educación y atención de la salud humana",89.6,88.4,81.1,99.4,18599,3042419.2881386583,0.4,✅ Precisión alta,Todas (Panorama Nacional),2026
12,Actividades financieras y de seguros,89.6,88.1,81.3,99.3,1973,478223.448618838,1.3,✅ Precisión alta,Todas (Panorama Nacional),2026
6,Información y comunicaciones,88.7,87.7,80.2,98.1,1687,438531.666662307,1.4,✅ Precisión alta,Todas (Panorama Nacional),2026
8,Actividades inmobiliarias,83.6,83.9,68.2,98.8,1331,316510.02486626024,1.9,✅ Precisión alta,Todas (Panorama Nacional),2026
4,"Actividades profesionales, científicas, técnicas y de servicios administrativos",69.5,55.8,55.4,97.3,9422,1908353.069775601,1.4,✅ Precisión alta,Todas (Panorama Nacional),2026
3,"Suministro de electricidad, gas, agua y gestión de desechos^",65.8,50.7,50.4,96.3,2780,647789.221388754,3.0,✅ Precisión alta,Todas (Panorama Nacional),2026
7,Industrias manufactureras,65.2,52.5,47.0,96.2,10767,2575071.389183946,1.4,✅ Precisión alta,Todas (Panorama Nacional),2026
0,Comercio y reparación de vehículos,58.0,38.7,40.0,95.4,22115,4103780.7416517497,1.3,✅ Precisión alta,Todas (Panorama Nacional),2026
5,Transporte y almacenamiento,55.2,35.1,36.6,94.1,9811,1804364.1730244837,2.2,✅ Precisión alta,Todas (Panorama Nacional),2026
2,Construcción,55.1,32.0,41.2,92.1,8281,1671253.8545987871,2.5,✅ Precisión alta,Todas (Panorama Nacional),2026
1,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",50.5,25.2,30.9,95.4,10759,2021870.5231101832,2.6,✅ Precisión alta,Todas (Panorama Nacional),2026
10,Alojamiento y servicios de comida,46.4,19.2,26.8,93.2,10020,1763051.4765268727,3.2,✅ Precisión alta,Todas (Panorama Nacional),2026
9,"Agricultura, ganadería, caza, silvicultura y pesca",42.8,14.9,17.6,96.0,10268,3216167.3006154364,3.7,✅ Precisión alta,Todas (Panorama Nacional),2026
