Nivel,Hombres,Mujeres,Brecha_%,Ciudad,Año
1. Sin educación,500000.0,400000.0,-20.0,Arauca,2023
2. Primaria,600000.0,400000.0,-33.33333333333333,Arauca,2023
3. Secundaria,600000.0,500000.0,-16.666666666666664,Arauca,2023
4. Media,1000000.0,700000.0,-30.0,Arauca,2023
5. Técnica/Tecno.,1200000.0,1160000.0,-3.3333333333333335,Arauca,2023
6. Universitaria,2000000.0,1500000.0,-25.0,Arauca,2023
7. Posgrado,3200000.0,4000000.0,25.0,Arauca,2023
1. Sin educación,600000.0,360000.0,-40.0,Armenia,2023
2. Primaria,1000000.0,600000.0,-40.0,Armenia,2023
3. Secundaria,1160000.0,700000.0,-39.6551724137931,Armenia,2023
4. Media,1160000.0,1100000.0,-5.172413793103448,Armenia,2023
5. Técnica/Tecno.,1400000.0,1160000.0,-17.142857142857142,Armenia,2023
6. Universitaria,2100000.0,1800000.0,-14.285714285714285,Armenia,2023
7. Posgrado,4000000.0,3500000.0,-12.5,Armenia,2023
1. Sin educación,700000.0,300000.0,-57.14285714285714,Barranquilla A.M.,2023
2. Primaria,900000.0,445000.0,-50.55555555555556,Barranquilla A.M.,2023
3. Secundaria,900000.0,420000.0,-53.333333333333336,Barranquilla A.M.,2023
4. Media,1160000.0,750000.0,-35.3448275862069,Barranquilla A.M.,2023
5. Técnica/Tecno.,1300000.0,1160000.0,-10.76923076923077,Barranquilla A.M.,2023
6. Universitaria,2000000.0,1700000.0,-15.0,Barranquilla A.M.,2023
7. Posgrado,5000000.0,4000000.0,-20.0,Barranquilla A.M.,2023
1. Sin educación,600000.0,300000.0,-50.0,Bogotá D.C.,2023
2. Primaria,1160000.0,800000.0,-31.03448275862069,Bogotá D.C.,2023
3. Secundaria,1160000.0,900000.0,-22.413793103448278,Bogotá D.C.,2023
4. Media,1200000.0,1160000.0,-3.3333333333333335,Bogotá D.C.,2023
5. Técnica/Tecno.,1500000.0,1300000.0,-13.333333333333334,Bogotá D.C.,2023
6. Universitaria,2500000.0,2000000.0,-20.0,Bogotá D.C.,2023
7. Posgrado,5804000.0,4500000.0,-22.467263955892488,Bogotá D.C.,2023
1. Sin educación,800000.0,734000.0,-8.25,Bucaramanga A.M.,2023
2. Primaria,1160000.0,800000.0,-31.03448275862069,Bucaramanga A.M.,2023
3. Secundaria,1160000.0,808000.0,-30.344827586206897,Bucaramanga A.M.,2023
4. Media,1200000.0,1160000.0,-3.3333333333333335,Bucaramanga A.M.,2023
5. Técnica/Tecno.,1400000.0,1160000.0,-17.142857142857142,Bucaramanga A.M.,2023
6. Universitaria,2000000.0,2000000.0,0.0,Bucaramanga A.M.,2023
7. Posgrado,5000000.0,4000000.0,-20.0,Bucaramanga A.M.,2023
1. Sin educación,600000.0,400000.0,-33.33333333333333,Cali A.M.,2023
2. Primaria,1000000.0,650000.0,-35.0,Cali A.M.,2023
3. Secundaria,1160000.0,780000.0,-32.758620689655174,Cali A.M.,2023
4. Media,1160000.0,1160000.0,0.0,Cali A.M.,2023
5. Técnica/Tecno.,1460000.0,1250000.0,-14.383561643835616,Cali A.M.,2023
6. Universitaria,2200000.0,2000000.0,-9.090909090909092,Cali A.M.,2023
7. Posgrado,5000000.0,4000000.0,-20.0,Cali A.M.,2023
1. Sin educación,500000.0,300000.0,-40.0,Cartagena,2023
2. Primaria,750000.0,400000.0,-46.666666666666664,Cartagena,2023
3. Secundaria,800000.0,500000.0,-37.5,Cartagena,2023
4. Media,1160000.0,780000.0,-32.758620689655174,Cartagena,2023
5. Técnica/Tecno.,1300000.0,1160000.0,-10.76923076923077,Cartagena,2023
6. Universitaria,2000000.0,1900000.0,-5.0,Cartagena,2023
7. Posgrado,5000000.0,4000000.0,-20.0,Cartagena,2023
1. Sin educación,560000.0,530000.0,-5.357142857142857,Cúcuta A.M.,2023
2. Primaria,1000000.0,600000.0,-40.0,Cúcuta A.M.,2023
3. Secundaria,1000000.0,700000.0,-30.0,Cúcuta A.M.,2023
4. Media,1160000.0,960000.0,-17.24137931034483,Cúcuta A.M.,2023
5. Técnica/Tecno.,1300000.0,1160000.0,-10.76923076923077,Cúcuta A.M.,2023
6. Universitaria,1800000.0,1600000.0,-11.11111111111111,Cúcuta A.M.,2023
7. Posgrado,4100000.0,3500000.0,-14.634146341463413,Cúcuta A.M.,2023
1. Sin educación,600000.0,500000.0,-16.666666666666664,Florencia,2023
2. Primaria,900000.0,500000.0,-44.44444444444444,Florencia,2023
3. Secundaria,960000.0,600000.0,-37.5,Florencia,2023
4. Media,1200000.0,900000.0,-25.0,Florencia,2023
5. Técnica/Tecno.,1500000.0,1300000.0,-13.333333333333334,Florencia,2023
6. Universitaria,1800000.0,1580000.0,-12.222222222222221,Florencia,2023
7. Posgrado,4300000.0,3800000.0,-11.627906976744185,Florencia,2023
1. Sin educación,600000.0,500000.0,-16.666666666666664,Ibagué,2023
2. Primaria,900000.0,600000.0,-33.33333333333333,Ibagué,2023
3. Secundaria,1000000.0,680000.0,-32.0,Ibagué,2023
