Nivel,Hombres,Mujeres,Brecha_%,n_hombres,n_mujeres,Ciudad,Año
1. Sin educación,700000.0,320000.0,-54.285714285714285,5986,2770,Todas (Panorama Nacional),2025
2. Primaria,1000000.0,600000.0,-40.0,39031,19897,Todas (Panorama Nacional),2025
3. Secundaria,1200000.0,800000.0,-33.33333333333333,23419,13141,Todas (Panorama Nacional),2025
4. Media,1423500.0,1300000.0,-8.67579908675799,69646,50343,Todas (Panorama Nacional),2025
5. Técnica/Tecno.,1640000.0,1423500.0,-13.201219512195122,21376,26367,Todas (Panorama Nacional),2025
6. Universitaria,2500000.0,2200000.0,-12.0,26107,29948,Todas (Panorama Nacional),2025
7. Posgrado,5600000.0,5000000.0,-10.714285714285714,8436,10723,Todas (Panorama Nacional),2025
2. Primaria,850000.0,600000.0,-29.411764705882355,207,117,Arauca,2025
3. Secundaria,1000000.0,700000.0,-30.0,107,68,Arauca,2025
4. Media,1423500.0,900000.0,-36.775553213909376,370,273,Arauca,2025
5. Técnica/Tecno.,2000000.0,1600000.0,-20.0,128,177,Arauca,2025
6. Universitaria,2600000.0,2800000.0,7.6923076923076925,130,172,Arauca,2025
7. Posgrado,5000000.0,4400000.0,-12.0,53,61,Arauca,2025
1. Sin educación,750000.0,600000.0,-20.0,70,39,Armenia,2025
2. Primaria,1200000.0,750000.0,-37.5,883,489,Armenia,2025
3. Secundaria,1400000.0,800000.0,-42.857142857142854,745,411,Armenia,2025
4. Media,1423500.0,1309600.0,-8.001404987706358,2099,1616,Armenia,2025
5. Técnica/Tecno.,1600000.0,1423500.0,-11.03125,653,830,Armenia,2025
6. Universitaria,2300000.0,2000000.0,-13.043478260869565,833,945,Armenia,2025
7. Posgrado,4700000.0,4269000.0,-9.170212765957448,247,291,Armenia,2025
1. Sin educación,800000.0,300000.0,-62.5,114,75,Barranquilla A.M.,2025
2. Primaria,1000000.0,600000.0,-40.0,837,470,Barranquilla A.M.,2025
3. Secundaria,1100000.0,720000.0,-34.54545454545455,679,402,Barranquilla A.M.,2025
4. Media,1423500.0,950000.0,-33.263083948015456,2549,1664,Barranquilla A.M.,2025
5. Técnica/Tecno.,1600000.0,1423500.0,-11.03125,1099,1086,Barranquilla A.M.,2025
6. Universitaria,2500000.0,2200000.0,-12.0,1209,1226,Barranquilla A.M.,2025
7. Posgrado,5000000.0,4500000.0,-10.0,275,322,Barranquilla A.M.,2025
2. Primaria,1423500.0,1000000.0,-29.75061468212153,666,506,Bogotá D.C.,2025
3. Secundaria,1423500.0,1200000.0,-15.700737618545837,542,399,Bogotá D.C.,2025
4. Media,1500000.0,1423500.0,-5.1,2474,2006,Bogotá D.C.,2025
5. Técnica/Tecno.,1800000.0,1600000.0,-11.11111111111111,766,908,Bogotá D.C.,2025
6. Universitaria,2800000.0,2500000.0,-10.714285714285714,1509,1641,Bogotá D.C.,2025
7. Posgrado,6068000.0,5500000.0,-9.36058009228741,698,888,Bogotá D.C.,2025
1. Sin educación,1200000.0,800000.0,-33.33333333333333,66,38,Bucaramanga A.M.,2025
2. Primaria,1423500.0,900000.0,-36.775553213909376,1098,724,Bucaramanga A.M.,2025
3. Secundaria,1423500.0,1000000.0,-29.75061468212153,605,399,Bucaramanga A.M.,2025
4. Media,1473000.0,1423500.0,-3.360488798370672,2557,2028,Bucaramanga A.M.,2025
5. Técnica/Tecno.,1800000.0,1423500.0,-20.916666666666668,613,757,Bucaramanga A.M.,2025
6. Universitaria,2500000.0,2100000.0,-16.0,1029,1251,Bucaramanga A.M.,2025
7. Posgrado,5500000.0,4270500.0,-22.354545454545455,333,429,Bucaramanga A.M.,2025
1. Sin educación,1200000.0,560000.0,-53.333333333333336,57,40,Cali A.M.,2025
2. Primaria,1300000.0,900000.0,-30.76923076923077,805,577,Cali A.M.,2025
3. Secundaria,1400000.0,1000000.0,-28.57142857142857,738,496,Cali A.M.,2025
