Nivel,Hombres,Mujeres,Brecha_%,n_hombres,n_mujeres,Ciudad,Año
4. Media,1423500.0,1423500.0,0.0,2634,2153,Cali A.M.,2025
5. Técnica/Tecno.,1750000.0,1423500.0,-18.65714285714286,985,1170,Cali A.M.,2025
6. Universitaria,2500000.0,2400000.0,-4.0,1056,1166,Cali A.M.,2025
7. Posgrado,5600000.0,4941000.0,-11.767857142857142,315,416,Cali A.M.,2025
1. Sin educación,600000.0,400000.0,-33.33333333333333,109,57,Cartagena,2025
2. Primaria,960000.0,600000.0,-37.5,840,471,Cartagena,2025
3. Secundaria,1000000.0,680000.0,-32.0,833,585,Cartagena,2025
4. Media,1423500.0,900000.0,-36.775553213909376,2574,1549,Cartagena,2025
5. Técnica/Tecno.,1500000.0,1423500.0,-5.1,1356,1367,Cartagena,2025
6. Universitaria,2500000.0,2200000.0,-12.0,837,922,Cartagena,2025
7. Posgrado,5000000.0,4200000.0,-16.0,190,199,Cartagena,2025
1. Sin educación,1000000.0,600000.0,-40.0,115,61,Cúcuta A.M.,2025
2. Primaria,1200000.0,800000.0,-33.33333333333333,1157,668,Cúcuta A.M.,2025
3. Secundaria,1200000.0,800000.0,-33.33333333333333,786,500,Cúcuta A.M.,2025
4. Media,1423500.0,1100000.0,-22.725676150333683,2221,1650,Cúcuta A.M.,2025
5. Técnica/Tecno.,1423500.0,1423500.0,0.0,484,685,Cúcuta A.M.,2025
6. Universitaria,2100000.0,1800000.0,-14.285714285714285,617,763,Cúcuta A.M.,2025
7. Posgrado,5000000.0,4000000.0,-20.0,158,230,Cúcuta A.M.,2025
1. Sin educación,900000.0,700000.0,-22.22222222222222,43,43,Florencia,2025
2. Primaria,1000000.0,600000.0,-40.0,803,545,Florencia,2025
3. Secundaria,1200000.0,800000.0,-33.33333333333333,470,318,Florencia,2025
4. Media,1500000.0,1100000.0,-26.666666666666668,1455,1168,Florencia,2025
5. Técnica/Tecno.,1800000.0,1623000.0,-9.833333333333332,377,509,Florencia,2025
6. Universitaria,2300000.0,2000000.0,-13.043478260869565,725,856,Florencia,2025
7. Posgrado,4800000.0,4200000.0,-12.5,289,384,Florencia,2025
2. Primaria,1260000.0,800000.0,-36.507936507936506,835,566,Ibagué,2025
3. Secundaria,1400000.0,900000.0,-35.714285714285715,548,325,Ibagué,2025
4. Media,1423500.0,1423000.0,-0.035124692658939236,1889,1488,Ibagué,2025
5. Técnica/Tecno.,1623500.0,1460000.0,-10.07083461656914,384,488,Ibagué,2025
6. Universitaria,2500000.0,2000000.0,-20.0,847,911,Ibagué,2025
7. Posgrado,5000000.0,4200000.0,-16.0,189,198,Ibagué,2025
2. Primaria,1400000.0,1400000.0,0.0,217,63,Inírida,2025
3. Secundaria,1423000.0,1400000.0,-1.6163035839775124,204,66,Inírida,2025
4. Media,1500000.0,1423000.0,-5.133333333333334,393,196,Inírida,2025
5. Técnica/Tecno.,2300000.0,2200000.0,-4.3478260869565215,146,125,Inírida,2025
6. Universitaria,4000000.0,3800000.0,-5.0,105,126,Inírida,2025
2. Primaria,1000000.0,950000.0,-5.0,165,114,Leticia,2025
3. Secundaria,1000000.0,950000.0,-5.0,111,61,Leticia,2025
4. Media,1500000.0,1300000.0,-13.333333333333334,554,371,Leticia,2025
5. Técnica/Tecno.,2100000.0,2300000.0,9.523809523809524,133,162,Leticia,2025
6. Universitaria,4000000.0,4000000.0,0.0,70,70,Leticia,2025
1. Sin educación,700000.0,800000.0,14.285714285714285,77,34,Manizales A.M.,2025
2. Primaria,1423500.0,940000.0,-33.96557780119424,966,564,Manizales A.M.,2025
3. Secundaria,1423500.0,1200000.0,-15.700737618545837,797,460,Manizales A.M.,2025
4. Media,1423500.0,1423500.0,0.0,2710,1917,Manizales A.M.,2025
5. Técnica/Tecno.,1623500.0,1423500.0,-12.319063751154912,1278,1604,Manizales A.M.,2025
6. Universitaria,2200000.0,2000000.0,-9.090909090909092,1235,1388,Manizales A.M.,2025
7. Posgrado,5000000.0,4000000.0,-20.0,462,599,Manizales A.M.,2025
1. Sin educación,600000.0,540000.0,-10.0,79,50,Medellín A.M.,2025
2. Primaria,1423500.0,1180000.0,-17.105725324903407,1014,638,Medellín A.M.,2025
3. Secundaria,1500000.0,1200000.0,-20.0,961,582,Medellín A.M.,2025
4. Media,1623000.0,1423500.0,-12.292051756007394,3211,2298,Medellín A.M.,2025
5. Técnica/Tecno.,2000000.0,1680000.0,-16.0,1404,1842,Medellín A.M.,2025
6. Universitaria,2849000.0,2600000.0,-8.73990873990874,1310,1537,Medellín A.M.,2025
7. Posgrado,6800000.0,5800000.0,-14.705882352941178,513,599,Medellín A.M.,2025
2. Primaria,900000.0,600000.0,-33.33333333333333,121,95,Mitú,2025
3. Secundaria,1000000.0,800000.0,-20.0,161,83,Mitú,2025
4. Media,1400000.0,1400000.0,0.0,376,311,Mitú,2025
5. Técnica/Tecno.,2000000.0,2200000.0,10.0,227,208,Mitú,2025
6. Universitaria,3300000.0,3200000.0,-3.0303030303030303,267,282,Mitú,2025
7. Posgrado,5000000.0,5200000.0,4.0,104,118,Mitú,2025
2. Primaria,1300000.0,700000.0,-46.15384615384615,117,71,Mocoa,2025
3. Secundaria,1400000.0,800000.0,-42.857142857142854,101,64,Mocoa,2025
4. Media,1600000.0,1200000.0,-25.0,303,200,Mocoa,2025
5. Técnica/Tecno.,2100000.0,1700000.0,-19.047619047619047,108,156,Mocoa,2025
6. Universitaria,3200000.0,3200000.0,0.0,161,199,Mocoa,2025
7. Posgrado,5000000.0,5200000.0,4.0,74,68,Mocoa,2025
1. Sin educación,700000.0,360000.0,-48.57142857142857,99,82,Montería,2025
2. Primaria,900000.0,400000.0,-55.55555555555556,646,362,Montería,2025
3. Secundaria,960000.0,600000.0,-37.5,527,275,Montería,2025
4. Media,1300000.0,1000000.0,-23.076923076923077,2058,1599,Montería,2025
5. Técnica/Tecno.,1423500.0,1423500.0,0.0,243,263,Montería,2025
6. Universitaria,2400000.0,2000000.0,-16.666666666666664,682,748,Montería,2025
7. Posgrado,5000000.0,4000000.0,-20.0,192,205,Montería,2025
1. Sin educación,450000.0,400000.0,-11.11111111111111,42,63,Pasto,2025
2. Primaria,800000.0,450000.0,-43.75,966,934,Pasto,2025
3. Secundaria,804000.0,600000.0,-25.37313432835821,507,360,Pasto,2025
4. Media,1300000.0,900000.0,-30.76923076923077,2167,2093,Pasto,2025
5. Técnica/Tecno.,1500000.0,1423000.0,-5.133333333333334,454,530,Pasto,2025
6. Universitaria,1600000.0,1600000.0,0.0,1240,1227,Pasto,2025
7. Posgrado,4000000.0,3600000.0,-10.0,559,696,Pasto,2025
1. Sin educación,950000.0,800000.0,-15.789473684210526,132,60,Pereira A.M.,2025
2. Primaria,1400000.0,900000.0,-35.714285714285715,1061,576,Pereira A.M.,2025
3. Secundaria,1423500.0,1200000.0,-15.700737618545837,815,498,Pereira A.M.,2025
4. Media,1500000.0,1423500.0,-5.1,2622,1785,Pereira A.M.,2025
5. Técnica/Tecno.,1800000.0,1500000.0,-16.666666666666664,1101,1319,Pereira A.M.,2025
6. Universitaria,2300000.0,2000000.0,-13.043478260869565,1102,1199,Pereira A.M.,2025
7. Posgrado,4900000.0,4200000.0,-14.285714285714285,316,379,Pereira A.M.,2025
2. Primaria,830000.0,600000.0,-27.710843373493976,678,556,Popayán,2025
3. Secundaria,1000000.0,700000.0,-30.0,410,328,Popayán,2025
4. Media,1300000.0,900000.0,-30.76923076923077,1476,1154,Popayán,2025
5. Técnica/Tecno.,1500000.0,1423000.0,-5.133333333333334,625,820,Popayán,2025
6. Universitaria,2000000.0,1850000.0,-7.5,867,914,Popayán,2025
7. Posgrado,4100000.0,4000000.0,-2.4390243902439024,315,426,Popayán,2025
2. Primaria,1000000.0,700000.0,-30.0,104,69,Puerto Carreño,2025
3. Secundaria,1200000.0,800000.0,-33.33333333333333,106,52,Puerto Carreño,2025
4. Media,1400000.0,1015500.0,-27.46428571428571,226,175,Puerto Carreño,2025
5. Técnica/Tecno.,2300000.0,1623000.0,-29.434782608695652,118,132,Puerto Carreño,2025
6. Universitaria,2988000.0,2300000.0,-23.025435073627847,128,170,Puerto Carreño,2025
7. Posgrado,4200000.0,4000000.0,-4.761904761904762,52,54,Puerto Carreño,2025
1. Sin educación,600000.0,400000.0,-33.33333333333333,103,117,Quibdó,2025
2. Primaria,900000.0,500000.0,-44.44444444444444,497,356,Quibdó,2025
3. Secundaria,950000.0,600000.0,-36.84210526315789,341,275,Quibdó,2025
4. Media,1200000.0,800000.0,-33.33333333333333,1153,827,Quibdó,2025
5. Técnica/Tecno.,1500000.0,1400000.0,-6.666666666666667,284,570,Quibdó,2025
6. Universitaria,1624000.0,2000000.0,23.15270935960591,736,1147,Quibdó,2025
7. Posgrado,4200000.0,4000000.0,-4.761904761904762,210,283,Quibdó,2025
1. Sin educación,700000.0,300000.0,-57.14285714285714,177,128,Riohacha,2025
2. Primaria,800000.0,400000.0,-50.0,549,363,Riohacha,2025
3. Secundaria,900000.0,500000.0,-44.44444444444444,516,321,Riohacha,2025
4. Media,1200000.0,600000.0,-50.0,1309,772,Riohacha,2025
5. Técnica/Tecno.,1500000.0,1423500.0,-5.1,540,691,Riohacha,2025
6. Universitaria,2000000.0,1800000.0,-10.0,611,796,Riohacha,2025
7. Posgrado,4400000.0,4000000.0,-9.090909090909092,171,232,Riohacha,2025
2. Primaria,1600000.0,1423500.0,-11.03125,140,105,San Andrés,2025
3. Secundaria,1600000.0,1500000.0,-6.25,318,177,San Andrés,2025
4. Media,1700000.0,1600000.0,-5.88235294117647,886,663,San Andrés,2025
5. Técnica/Tecno.,2000000.0,1800000.0,-10.0,395,483,San Andrés,2025
6. Universitaria,3000000.0,3000000.0,0.0,244,393,San Andrés,2025
7. Posgrado,5400000.0,3800000.0,-29.629629629629626,42,83,San Andrés,2025
2. Primaria,1000000.0,600000.0,-40.0,253,177,San José del Guaviare,2025
3. Secundaria,1300000.0,600000.0,-53.84615384615385,193,108,San José del Guaviare,2025
4. Media,1450000.0,1200000.0,-17.24137931034483,344,300,San José del Guaviare,2025
5. Técnica/Tecno.,1700000.0,1500000.0,-11.76470588235294,162,220,San José del Guaviare,2025
6. Universitaria,2800000.0,2300000.0,-17.857142857142858,164,207,San José del Guaviare,2025
7. Posgrado,5110500.0,4500000.0,-11.945993542706193,82,100,San José del Guaviare,2025
2. Primaria,1200000.0,800000.0,-33.33333333333333,803,349,Santa Marta,2025
3. Secundaria,1200000.0,900000.0,-25.0,620,390,Santa Marta,2025
4. Media,1423500.0,1100000.0,-22.725676150333683,2381,1472,Santa Marta,2025
5. Técnica/Tecno.,1500000.0,1423500.0,-5.1,687,887,Santa Marta,2025
6. Universitaria,2700000.0,2500000.0,-7.4074074074074066,936,1015,Santa Marta,2025
7. Posgrado,4300000.0,4200000.0,-2.3255813953488373,143,158,Santa Marta,2025
1. Sin educación,550000.0,300000.0,-45.45454545454545,250,134,Sincelejo,2025
2. Primaria,750000.0,350000.0,-53.333333333333336,922,533,Sincelejo,2025
3. Secundaria,800000.0,360000.0,-55.00000000000001,607,336,Sincelejo,2025
4. Media,900000.0,600000.0,-33.33333333333333,1896,1236,Sincelejo,2025
5. Técnica/Tecno.,1423500.0,1400000.0,-1.650860554970144,567,730,Sincelejo,2025
6. Universitaria,1926000.0,1650000.0,-14.330218068535824,668,727,Sincelejo,2025
7. Posgrado,4500000.0,4000000.0,-11.11111111111111,266,309,Sincelejo,2025
2. Primaria,1300000.0,800000.0,-38.46153846153847,539,379,Tunja,2025
3. Secundaria,1423500.0,900000.0,-36.775553213909376,408,262,Tunja,2025
4. Media,1423500.0,1400000.0,-1.650860554970144,1429,1124,Tunja,2025
5. Técnica/Tecno.,1500000.0,1423500.0,-5.1,564,849,Tunja,2025
6. Universitaria,2000000.0,1800000.0,-10.0,966,1092,Tunja,2025
7. Posgrado,4000000.0,3900000.0,-2.5,507,737,Tunja,2025
1. Sin educación,800000.0,384000.0,-52.0,113,57,Valledupar,2025
2. Primaria,1000000.0,600000.0,-40.0,693,379,Valledupar,2025
3. Secundaria,1000000.0,600000.0,-40.0,433,244,Valledupar,2025
4. Media,1300000.0,850000.0,-34.61538461538461,1804,1240,Valledupar,2025
5. Técnica/Tecno.,1500000.0,1400000.0,-6.666666666666667,549,726,Valledupar,2025
6. Universitaria,2100000.0,2000000.0,-4.761904761904762,675,769,Valledupar,2025
7. Posgrado,4800000.0,3900000.0,-18.75,143,190,Valledupar,2025
1. Sin educación,700000.0,450000.0,-35.714285714285715,87,43,Villavicencio,2025
2. Primaria,1300000.0,720000.0,-44.61538461538462,820,593,Villavicencio,2025
3. Secundaria,1400000.0,800000.0,-42.857142857142854,655,423,Villavicencio,2025
4. Media,1423500.0,1400000.0,-1.650860554970144,2450,2099,Villavicencio,2025
5. Técnica/Tecno.,1700000.0,1423500.0,-16.264705882352942,432,560,Villavicencio,2025
6. Universitaria,2200000.0,1800000.0,-18.181818181818183,756,915,Villavicencio,2025
7. Posgrado,5200000.0,4200000.0,-19.230769230769234,231,339,Villavicencio,2025
2. Primaria,1400000.0,900000.0,-35.714285714285715,221,152,Yopal,2025
3. Secundaria,1425000.0,900000.0,-36.84210526315789,174,113,Yopal,2025
4. Media,1600000.0,1300000.0,-18.75,436,361,Yopal,2025
5. Técnica/Tecno.,2000000.0,1500000.0,-25.0,189,245,Yopal,2025
6. Universitaria,2600000.0,2200000.0,-15.384615384615385,218,285,Yopal,2025
7. Posgrado,4500000.0,4000000.0,-11.11111111111111,88,95,Yopal,2025
