index,Rama,IVI,Ocupados_miles,n_muestra,poblacion_estimada,Ciudad,Año
5,Transporte y almacenamiento,38.6,1820,30119,1819743.6759704233,Todas (Panorama Nacional),2025
1,"Agricultura, ganadería, caza, silvicultura y pesca",37.0,3386,31412,3386103.139177336,Todas (Panorama Nacional),2025
9,Alojamiento y servicios de comida,31.7,1834,31833,1834416.960437299,Todas (Panorama Nacional),2025
0,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",31.0,1992,33827,1991520.33556768,Todas (Panorama Nacional),2025
2,Comercio y reparación de vehículos,30.0,4104,68850,4104403.1085469895,Todas (Panorama Nacional),2025
7,Construcción,29.1,1605,25303,1604606.9266152119,Todas (Panorama Nacional),2025
10,"Suministro de electricidad, gas, agua y gestión de desechos^",24.3,617,8224,616735.6829725418,Todas (Panorama Nacional),2025
8,"Actividades profesionales, científicas, técnicas y de servicios administrativos",22.6,1812,27521,1811846.008367113,Todas (Panorama Nacional),2025
4,Industrias manufactureras,21.3,2609,33075,2609324.04385044,Todas (Panorama Nacional),2025
3,Actividades inmobiliarias,10.0,322,4218,321959.81485151383,Todas (Panorama Nacional),2025
12,Información y comunicaciones,8.1,406,4879,406198.64477972,Todas (Panorama Nacional),2025
6,"Administración pública y defensa, educación y atención de la salud humana",7.8,2883,53184,2883498.6469658623,Todas (Panorama Nacional),2025
11,Actividades financieras y de seguros,6.8,436,5578,436212.74085501174,Todas (Panorama Nacional),2025
0,Comercio y reparación de vehículos,33.2,7,346,6563.770855574,Arauca,2025
1,"Administración pública y defensa, educación y atención de la salud humana",4.9,7,406,7389.061477844417,Arauca,2025
4,Transporte y almacenamiento,36.7,9,656,9137.21725133625,Armenia,2025
6,Alojamiento y servicios de comida,34.2,14,1009,13732.53617980575,Armenia,2025
7,Construcción,32.2,11,782,10957.577135910584,Armenia,2025
5,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",30.5,13,1012,13443.930832145334,Armenia,2025
3,"Actividades profesionales, científicas, técnicas y de servicios administrativos",29.4,13,966,12978.008278907084,Armenia,2025
1,Comercio y reparación de vehículos,27.1,31,2298,31412.16157535817,Armenia,2025
