Nivel,Hombres,Mujeres,Brecha_%,n_hombres,n_mujeres,Ciudad,Año
1. Sin educación,800000.0,300000.0,-62.5,1983,818,Todas (Panorama Nacional),2026
2. Primaria,1200000.0,680000.0,-43.333333333333336,12069,6202,Todas (Panorama Nacional),2026
3. Secundaria,1360000.0,820000.0,-39.705882352941174,7330,3997,Todas (Panorama Nacional),2026
4. Media,1750000.0,1423000.0,-18.685714285714287,22473,16086,Todas (Panorama Nacional),2026
5. Técnica/Tecno.,2000000.0,1750905.0,-12.45475,7110,8339,Todas (Panorama Nacional),2026
6. Universitaria,3000000.0,2500000.0,-16.666666666666664,9362,10590,Todas (Panorama Nacional),2026
7. Posgrado,5840000.0,5000000.0,-14.383561643835616,3700,4560,Todas (Panorama Nacional),2026
2. Primaria,1000000.0,700000.0,-30.0,75,43,Arauca,2026
3. Secundaria,1260000.0,1000000.0,-20.634920634920633,33,31,Arauca,2026
4. Media,1500000.0,1000000.0,-33.33333333333333,123,94,Arauca,2026
5. Técnica/Tecno.,2000000.0,1750905.0,-12.45475,55,65,Arauca,2026
2. Primaria,1423500.0,800000.0,-43.80049174569722,251,135,Armenia,2026
3. Secundaria,1500000.0,960000.0,-36.0,173,132,Armenia,2026
4. Media,1750900.0,1500000.0,-14.32977325946656,590,437,Armenia,2026
5. Técnica/Tecno.,1750905.0,1750905.0,0.0,222,248,Armenia,2026
6. Universitaria,2900000.0,2500000.0,-13.793103448275861,325,360,Armenia,2026
7. Posgrado,5300000.0,4700000.0,-11.320754716981133,125,115,Armenia,2026
2. Primaria,1200000.0,720000.0,-40.0,235,153,Barranquilla A.M.,2026
3. Secundaria,1200000.0,820000.0,-31.666666666666664,197,132,Barranquilla A.M.,2026
4. Media,1750000.0,1300000.0,-25.71428571428571,836,484,Barranquilla A.M.,2026
5. Técnica/Tecno.,1800000.0,1750000.0,-2.7777777777777777,366,372,Barranquilla A.M.,2026
6. Universitaria,2800000.0,2500000.0,-10.714285714285714,426,421,Barranquilla A.M.,2026
7. Posgrado,6000000.0,5000000.0,-16.666666666666664,102,102,Barranquilla A.M.,2026
2. Primaria,1500000.0,1000000.0,-33.33333333333333,212,183,Bogotá D.C.,2026
3. Secundaria,1700000.0,1200000.0,-29.411764705882355,135,129,Bogotá D.C.,2026
4. Media,1800000.0,1750000.0,-2.7777777777777777,841,647,Bogotá D.C.,2026
5. Técnica/Tecno.,2300000.0,2000000.0,-13.043478260869565,258,320,Bogotá D.C.,2026
6. Universitaria,3000000.0,2700000.0,-10.0,560,550,Bogotá D.C.,2026
7. Posgrado,6500000.0,5700000.0,-12.307692307692308,298,376,Bogotá D.C.,2026
2. Primaria,1500000.0,1000000.0,-33.33333333333333,302,182,Bucaramanga A.M.,2026
