index,RAMA,Hombres,Mujeres,Total,Dist_%,Dist_H_%,Dist_M_%,Total_miles,Hombres_miles,Mujeres_miles,n_muestra,poblacion_estimada,Ciudad,Año
0,Comercio y reparación de vehículos,2237110.519654957,1866670.2219967928,4103780.74165175,17.10807801721987,16.044280564035855,18.584865347734603,4103.78074165175,2237.110519654957,1866.6702219967929,22115,4103780.7416517497,Todas (Panorama Nacional),2026
1,"Agricultura, ganadería, caza, silvicultura y pesca",2661373.602039571,554793.6985758657,3216167.3006154364,13.407743873083747,19.08704303237885,5.523614220820757,3216.1673006154365,2661.373602039571,554.7936985758657,10268,3216167.3006154364,Todas (Panorama Nacional),2026
2,"Administración pública y defensa, educación y atención de la salud humana",1162556.41076004,1879862.877378618,3042419.288138658,12.68341313030795,8.337711106302185,18.716213521054694,3042.419288138658,1162.5564107600399,1879.8628773786181,18599,3042419.2881386583,Todas (Panorama Nacional),2026
3,Industrias manufactureras,1473110.191961662,1101961.1972222838,2575071.389183946,10.735106234827251,10.564964499482565,10.971300783325907,2575.071389183946,1473.110191961662,1101.9611972222838,10767,2575071.389183946,Todas (Panorama Nacional),2026
4,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",625783.0889106262,1396087.434199557,2021870.5231101832,8.42889053477154,4.488039085462638,13.89966833590365,2021.8705231101833,625.7830889106262,1396.087434199557,10759,2021870.5231101832,Todas (Panorama Nacional),2026
5,"Actividades profesionales, científicas, técnicas y de servicios administrativos",849396.0188395473,1058957.0509360535,1908353.069775601,7.9556524233264145,6.0917634227291995,10.543144669457583,1908.353069775601,849.3960188395473,1058.9570509360535,9422,1908353.069775601,Todas (Panorama Nacional),2026
6,Transporte y almacenamiento,1625897.1447164118,178467.028308072,1804364.173024484,7.522137508534287,11.660733669125282,1.7768460925936154,1804.364173024484,1625.8971447164117,178.467028308072,9811,1804364.173024484,Todas (Panorama Nacional),2026
7,Alojamiento y servicios de comida,543956.3177136808,1219095.158813192,1763051.4765268727,7.349910754894817,3.901187580720955,12.137505117739664,1763.0514765268726,543.9563177136808,1219.095158813192,10020,1763051.4765268727,Todas (Panorama Nacional),2026
8,Construcción,1563287.198513445,107966.65608534226,1671253.8545987871,6.967219530239177,11.211702861682419,1.0749331840976377,1671.2538545987873,1563.287198513445,107.96665608534225,8281,1671253.8545987871,Todas (Panorama Nacional),2026
9,"Suministro de electricidad, gas, agua y gestión de desechos^",501190.518437236,146598.702951518,647789.221388754,2.7005410951298288,3.5944765460589974,1.4595599814047855,647.789221388754,501.19051843723605,146.598702951518,2780,647789.221388754,Todas (Panorama Nacional),2026
10,Actividades financieras y de seguros,210850.896455364,267372.552163474,478223.44861883804,1.9936455146339067,1.5121966081631522,2.662003615358926,478.22344861883806,210.85089645536402,267.37255216347404,1973,478223.448618838,Todas (Panorama Nacional),2026
11,Información y comunicaciones,290280.4526797445,148251.2139825625,438531.666662307,1.8281761230890023,2.0818555829631,1.4760126438170862,438.531666662307,290.28045267974454,148.25121398256252,1687,438531.666662307,Todas (Panorama Nacional),2026
12,Actividades inmobiliarias,198559.66888496623,117950.355981294,316510.02486626024,1.3194852599422067,1.424045440894809,1.1743324866910947,316.51002486626027,198.55966888496624,117.950355981294,1331,316510.02486626024,Todas (Panorama Nacional),2026
0,"Administración pública y defensa, educación y atención de la salud humana",2124.32672254925,4134.190486424,6258.51720897325,51.37818271708981,41.1655562941656,58.884665611179166,6.25851720897325,2.12432672254925,4.134190486424,117,6258.51720897325,Arauca,2026
1,Comercio y reparación de vehículos,3036.1202962375,2886.6364869725,5922.756783209999,48.62181728291019,58.8344437058344,41.115334388820834,5.92275678321,3.0361202962375002,2.8866364869725,106,5922.75678321,Arauca,2026
0,Comercio y reparación de vehículos,16192.472206492,12782.294940528,28974.76714702,23.16983019231697,24.261637703248834,21.920218257208717,28.97476714702,16.192472206492,12.782294940527999,664,28974.76714702,Armenia,2026
1,"Administración pública y defensa, educación y atención de la salud humana",9971.263470831753,13376.96366619,23348.227137021753,18.670536860969364,14.94022522860762,22.940009172525272,23.348227137021752,9.971263470831753,13.37696366619,519,23348.22713702175,Armenia,2026
2,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",4764.49921969175,10117.4206976345,14881.91991732625,11.900408230047578,7.138783530486964,17.35025446713626,14.88191991732625,4.76449921969175,10.117420697634499,340,14881.91991732625,Armenia,2026
3,Industrias manufactureras,8774.86072923725,4502.82289907875,13277.683628316001,10.617571953361812,13.14762126464331,7.721841905588699,13.277683628316002,8.77486072923725,4.50282289907875,297,13277.683628316,Armenia,2026
4,Alojamiento y servicios de comida,4441.2203340255,8355.54297961625,12796.76331364175,10.23300140718629,6.654405660256625,14.328829574254106,12.79676331364175,4.4412203340255,8.35554297961625,285,12796.76331364175,Armenia,2026
5,Construcción,10258.68545134825,1037.5830594875,11296.268510835751,9.033122574370726,15.370877686757012,1.7793398783058343,11.29626851083575,10.258685451348251,1.0375830594875,233,11296.26851083575,Armenia,2026
6,"Actividades profesionales, científicas, técnicas y de servicios administrativos",4146.48526058475,6853.154848083,10999.64010866775,8.795922058709024,6.21279578876381,11.752400544610039,10.99964010866775,4.14648526058475,6.853154848082999,263,10999.64010866775,Armenia,2026
7,Transporte y almacenamiento,8191.5652079085,1287.02561658725,9478.59082449575,7.579606723038237,12.273653137235813,2.207106200371073,9.47859082449575,8.1915652079085,1.28702561658725,206,9478.59082449575,Armenia,2026
0,Comercio y reparación de vehículos,106984.2540227375,76147.6513190075,183131.905341745,20.09941724722541,20.19919320418478,19.960890023430718,183.131905341745,106.9842540227375,76.14765131900751,822,183131.905341745,Barranquilla A.M.,2026
1,Industrias manufactureras,75171.581151355,39527.947792555,114699.52894391,12.588705862049146,14.192792247890667,10.361619893352545,114.69952894391,75.171581151355,39.527947792555004,464,114699.52894391,Barranquilla A.M.,2026
2,"Administración pública y defensa, educación y atención de la salud humana",40212.0977531025,69933.32427441,110145.4220275125,12.08887545330451,7.5922568146136085,18.33190348795396,110.1454220275125,40.2120977531025,69.93332427441,482,110145.4220275125,Barranquilla A.M.,2026
3,Transporte y almacenamiento,89535.2623232125,9747.872589465,99283.1349126775,10.896698478064677,16.904731250166634,2.5552490372366448,99.2831349126775,89.5352623232125,9.747872589465,386,99283.1349126775,Barranquilla A.M.,2026
4,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",26408.9109873925,68989.699102715,95398.61009010751,10.470357229278244,4.986142121747066,18.084547227461616,95.39861009010751,26.408910987392503,68.98969910271501,446,95398.6100901075,Barranquilla A.M.,2026
5,"Actividades profesionales, científicas, técnicas y de servicios administrativos",52545.7109592625,39345.8870326975,91891.59799196,10.085449425691568,9.920908244046982,10.313895574320387,91.89159799196001,52.5457109592625,39.345887032697505,400,91891.59799196,Barranquilla A.M.,2026
6,Alojamiento y servicios de comida,31870.1987071375,50269.2562979875,82139.455005125,9.015114955129388,6.017262138449018,13.17728228176242,82.139455005125,31.8701987071375,50.2692562979875,367,82139.455005125,Barranquilla A.M.,2026
7,Construcción,63181.06280486,6902.53159847,70083.59440333,7.691938788433177,11.928918943248098,1.8093883623948772,70.08359440333001,63.18106280486,6.90253159847,281,70083.59440333,Barranquilla A.M.,2026
8,Actividades financieras y de seguros,8618.9509444375,10010.7072473175,18629.658191755,2.0446752436202584,1.6273035404544964,2.624146942935152,18.629658191755,8.6189509444375,10.0107072473175,89,18629.658191755,Barranquilla A.M.,2026
9,"Suministro de electricidad, gas, agua y gestión de desechos^",13889.859484155,3169.193906515,17059.05339067,1.8722954435597887,2.6224789606870242,0.830753541771841,17.05905339067,13.889859484155,3.169193906515,74,17059.05339067,Barranquilla A.M.,2026
10,Actividades inmobiliarias,12237.228996035,3247.536627535,15484.765623570001,1.699511424089792,2.310453580601022,0.8512898342421801,15.484765623570002,12.237228996035,3.247536627535,68,15484.76562357,Barranquilla A.M.,2026
11,Información y comunicaciones,8991.0560539675,4192.64080757,13183.6968615375,1.4469604495540351,1.6975589539106057,1.0990337931376568,13.1836968615375,8.991056053967501,4.19264080757,57,13183.6968615375,Barranquilla A.M.,2026
0,Comercio y reparación de vehículos,427171.77181065,327307.392316025,754479.164126675,17.569197954935067,18.96189420413352,16.03238971643374,754.479164126675,427.17177181065,327.30739231602496,814,754479.164126675,Bogotá D.C.,2026
1,"Administración pública y defensa, educación y atención de la salud humana",294838.5324838,441976.05355045,736814.58603425,17.157851314692902,13.087702486900183,21.649166814449842,736.8145860342499,294.8385324838,441.97605355045,779,736814.58603425,Bogotá D.C.,2026
2,"Actividades profesionales, científicas, técnicas y de servicios administrativos",256288.772259175,299638.559057175,555927.33131635,12.94561572652766,11.376502161383192,14.67709641044999,555.92733131635,256.288772259175,299.63855905717503,608,555927.33131635,Bogotá D.C.,2026
3,Industrias manufactureras,266375.8815416,242409.306515275,508785.188056875,11.84783902661794,11.824262785237472,11.873854866042546,508.78518805687503,266.3758815416,242.409306515275,559,508785.188056875,Bogotá D.C.,2026
4,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",110547.861355625,240682.93821455,351230.799570175,8.17894481242753,4.907152086930855,11.789292738693472,351.230799570175,110.547861355625,240.68293821455,390,351230.799570175,Bogotá D.C.,2026
5,Transporte y almacenamiento,278970.4930473,52919.3517311,331889.84477840003,7.728561184183167,12.383329902198344,2.5921310988138315,331.8898447784,278.9704930473,52.9193517311,350,331889.8447784,Bogotá D.C.,2026
6,Construcción,206173.2517765,36702.9673937,242876.2191702,5.655743161690543,9.151904797775567,1.797809309596057,242.8762191702,206.1732517765,36.7029673937,262,242876.2191702,Bogotá D.C.,2026
