index,Rama,Mediana_COP,Costo_efectivo_COP,Mediana_SMMLV,Costo_SMMLV,n_muestra,poblacion_estimada,Ciudad,Año
10,Actividades financieras y de seguros,2109000,3247860,1.82,2.8,5959,422256.85254753625,Todas (Panorama Nacional),2023
12,Información y comunicaciones,2000000,3080000,1.72,2.66,5234,402938.5307994491,Todas (Panorama Nacional),2023
0,"Administración pública y defensa, educación y atención de la salud humana",2000000,3080000,1.72,2.66,53115,2738217.098890751,Todas (Panorama Nacional),2023
11,Actividades inmobiliarias,1300000,2002000,1.12,1.73,3846,275264.3478003424,Todas (Panorama Nacional),2023
4,"Actividades profesionales, científicas, técnicas y de servicios administrativos",1200000,1848000,1.03,1.59,29421,1821921.3733385636,Todas (Panorama Nacional),2023
6,Construcción,1160000,1786400,1.0,1.54,26372,1565360.7667884806,Todas (Panorama Nacional),2023
8,Industrias manufactureras,1160000,1786400,1.0,1.54,32714,2401174.7162866294,Todas (Panorama Nacional),2023
1,Comercio y reparación de vehículos,1160000,1786400,1.0,1.54,71916,4019701.2832782515,Todas (Panorama Nacional),2023
5,"Suministro de electricidad, gas, agua y gestión de desechos^",1160000,1786400,1.0,1.54,8573,589035.027426512,Todas (Panorama Nacional),2023
9,Transporte y almacenamiento,1100000,1694000,0.95,1.46,30648,1706425.029282142,Todas (Panorama Nacional),2023
3,Alojamiento y servicios de comida,900000,1386000,0.78,1.19,30293,1638978.5517470334,Todas (Panorama Nacional),2023
7,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",850000,1309000,0.73,1.13,34963,1924584.1330184906,Todas (Panorama Nacional),2023
2,"Agricultura, ganadería, caza, silvicultura y pesca",700000,1078000,0.6,0.93,32731,3280425.5623712786,Todas (Panorama Nacional),2023
6,"Administración pública y defensa, educación y atención de la salud humana",1800000,2772000,1.55,2.39,337,5324.681482347583,Arauca,2023
1,Comercio y reparación de vehículos,800000,1232000,0.69,1.06,426,7067.839439942167,Arauca,2023
2,"Administración pública y defensa, educación y atención de la salud humana",2300000,3542000,1.98,3.05,1538,21812.7318328925,Armenia,2023
7,Construcción,1200000,1848000,1.03,1.59,784,11183.725147167082,Armenia,2023
4,Comercio y reparación de vehículos,1160000,1786400,1.0,1.54,2024,28012.31381524375,Armenia,2023
1,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",1160000,1786400,1.0,1.54,871,11651.386934479417,Armenia,2023
0,Industrias manufactureras,1160000,1786400,1.0,1.54,824,11658.716664098667,Armenia,2023
5,"Actividades profesionales, científicas, técnicas y de servicios administrativos",1160000,1786400,1.0,1.54,917,12475.256106466582,Armenia,2023
6,Transporte y almacenamiento,1160000,1786400,1.0,1.54,594,8302.652405322417,Armenia,2023
8,Alojamiento y servicios de comida,1000000,1540000,0.86,1.33,817,11030.001966369917,Armenia,2023
8,"Administración pública y defensa, educación y atención de la salud humana",1800000,2772000,1.55,2.39,1610,114200.32665673834,Barranquilla A.M.,2023
7,Información y comunicaciones,1600000,2464000,1.38,2.12,242,18014.343602996665,Barranquilla A.M.,2023
10,Actividades financieras y de seguros,1600000,2464000,1.38,2.12,254,18216.135279121667,Barranquilla A.M.,2023
6,"Actividades profesionales, científicas, técnicas y de servicios administrativos",1200000,1848000,1.03,1.59,1162,79197.57252194833,Barranquilla A.M.,2023
1,Actividades inmobiliarias,1200000,1848000,1.03,1.59,192,14031.371061185,Barranquilla A.M.,2023
11,"Suministro de electricidad, gas, agua y gestión de desechos^",1160000,1786400,1.0,1.54,229,15409.979314055834,Barranquilla A.M.,2023
2,Industrias manufactureras,1160000,1786400,1.0,1.54,1522,108124.13538735083,Barranquilla A.M.,2023
4,Transporte y almacenamiento,1100000,1694000,0.95,1.46,1204,88554.43118895084,Barranquilla A.M.,2023
9,Construcción,1000000,1540000,0.86,1.33,944,64405.41496626667,Barranquilla A.M.,2023
3,Comercio y reparación de vehículos,1000000,1540000,0.86,1.33,2973,209491.03404346167,Barranquilla A.M.,2023
5,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",830000,1278200,0.72,1.1,1550,105420.45280243916,Barranquilla A.M.,2023
0,Alojamiento y servicios de comida,720000,1108800,0.62,0.96,1059,73270.01763066417,Barranquilla A.M.,2023
10,Actividades financieras y de seguros,3000000,4620000,2.59,3.98,504,163744.87434926667,Bogotá D.C.,2023
7,"Administración pública y defensa, educación y atención de la salud humana",2700000,4158000,2.33,3.58,2131,687185.6542834083,Bogotá D.C.,2023
11,Información y comunicaciones,2700000,4158000,2.33,3.58,488,164789.7826846,Bogotá D.C.,2023
6,"Actividades profesionales, científicas, técnicas y de servicios administrativos",1500000,2310000,1.29,1.99,1785,568212.088762625,Bogotá D.C.,2023
8,"Suministro de electricidad, gas, agua y gestión de desechos^",1400000,2156000,1.21,1.86,247,80853.09532880834,Bogotá D.C.,2023
2,Transporte y almacenamiento,1300000,2002000,1.12,1.73,1036,323765.5650022,Bogotá D.C.,2023
9,Construcción,1300000,2002000,1.12,1.73,669,212022.48356599166,Bogotá D.C.,2023
12,"Agricultura, ganadería, caza, silvicultura y pesca",1300000,2002000,1.12,1.73,70,20875.53825449167,Bogotá D.C.,2023
3,Actividades inmobiliarias,1300000,2002000,1.12,1.73,268,84577.98285743334,Bogotá D.C.,2023
0,Industrias manufactureras,1280000,1971200,1.1,1.7,1506,462254.4217332333,Bogotá D.C.,2023
1,Comercio y reparación de vehículos,1200000,1848000,1.03,1.59,2353,739578.0510029333,Bogotá D.C.,2023
5,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",1200000,1848000,1.03,1.59,1028,317132.8207486917,Bogotá D.C.,2023
4,Alojamiento y servicios de comida,1160000,1786400,1.0,1.54,743,224274.74287301666,Bogotá D.C.,2023
1,"Administración pública y defensa, educación y atención de la salud humana",2000000,3080000,1.72,2.66,1835,87521.95229960083,Bucaramanga A.M.,2023
12,"Suministro de electricidad, gas, agua y gestión de desechos^",2000000,3080000,1.72,2.66,259,12387.167284031666,Bucaramanga A.M.,2023
9,Actividades financieras y de seguros,2000000,3080000,1.72,2.66,289,13316.75953063,Bucaramanga A.M.,2023
10,Información y comunicaciones,2000000,3080000,1.72,2.66,242,10871.0930986825,Bucaramanga A.M.,2023
11,Actividades inmobiliarias,1400000,2156000,1.21,1.86,211,11094.560876710833,Bucaramanga A.M.,2023
8,Construcción,1200000,1848000,1.03,1.59,657,37129.821145823335,Bucaramanga A.M.,2023
6,"Agricultura, ganadería, caza, silvicultura y pesca",1200000,1848000,1.03,1.59,177,9668.934248141666,Bucaramanga A.M.,2023
2,"Actividades profesionales, científicas, técnicas y de servicios administrativos",1200000,1848000,1.03,1.59,1272,56508.62390948167,Bucaramanga A.M.,2023
0,Transporte y almacenamiento,1160000,1786400,1.0,1.54,1161,59333.6816129675,Bucaramanga A.M.,2023
4,Industrias manufactureras,1160000,1786400,1.0,1.54,1622,71691.02302137834,Bucaramanga A.M.,2023
3,Comercio y reparación de vehículos,1160000,1786400,1.0,1.54,2781,131471.28031486334,Bucaramanga A.M.,2023
5,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",1160000,1786400,1.0,1.54,1062,49856.55854471917,Bucaramanga A.M.,2023
7,Alojamiento y servicios de comida,1050000,1617000,0.91,1.39,927,43085.082882384166,Bucaramanga A.M.,2023
