index,Rama,ICE,Ocupados_M,n_muestra,poblacion_estimada,Ciudad,Año
10,Actividades financieras y de seguros,90.13310346595686,0.42225685254753625,5959,422256.85254753625,Todas (Panorama Nacional),2023
0,"Administración pública y defensa, educación y atención de la salud humana",89.00473507953602,2.7382170988907513,53115,2738217.098890751,Todas (Panorama Nacional),2023
12,Información y comunicaciones,88.79738373539094,0.4029385307994491,5234,402938.5307994491,Todas (Panorama Nacional),2023
11,Actividades inmobiliarias,84.89822407966793,0.2752643478003424,3846,275264.3478003424,Todas (Panorama Nacional),2023
4,"Actividades profesionales, científicas, técnicas y de servicios administrativos",73.07092790940074,1.8219213733385635,29421,1821921.3733385636,Todas (Panorama Nacional),2023
5,"Suministro de electricidad, gas, agua y gestión de desechos^",71.37664396203557,0.5890350274265119,8573,589035.027426512,Todas (Panorama Nacional),2023
9,Industrias manufactureras,70.21794754718384,2.4011747162866293,32714,2401174.7162866294,Todas (Panorama Nacional),2023
6,Construcción,62.51323420981561,1.5653607667884806,26372,1565360.7667884806,Todas (Panorama Nacional),2023
1,Comercio y reparación de vehículos,59.666491742435824,4.019701283278252,71916,4019701.2832782515,Todas (Panorama Nacional),2023
7,Transporte y almacenamiento,57.380410775287736,1.706425029282142,30648,1706425.029282142,Todas (Panorama Nacional),2023
8,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",54.80661326120324,1.9245841330184903,34963,1924584.1330184906,Todas (Panorama Nacional),2023
3,Alojamiento y servicios de comida,51.07500010346398,1.6389785517470334,30293,1638978.5517470334,Todas (Panorama Nacional),2023
2,"Agricultura, ganadería, caza, silvicultura y pesca",50.46977135170177,3.280425562371278,32731,3280425.5623712786,Todas (Panorama Nacional),2023
6,"Administración pública y defensa, educación y atención de la salud humana",86.14549133938728,0.005324681482347583,337,5324.681482347583,Arauca,2023
1,Comercio y reparación de vehículos,46.71539688687518,0.007067839439942167,426,7067.839439942167,Arauca,2023
2,"Administración pública y defensa, educación y atención de la salud humana",92.33433172801811,0.0218127318328925,1538,21812.7318328925,Armenia,2023
0,Industrias manufactureras,73.74944733985565,0.011658716664098666,824,11658.716664098667,Armenia,2023
7,Construcción,69.76441813581204,0.011183725147167084,784,11183.725147167082,Armenia,2023
5,"Actividades profesionales, científicas, técnicas y de servicios administrativos",68.74270487755825,0.012475256106466583,917,12475.256106466582,Armenia,2023
6,Transporte y almacenamiento,65.702012205078,0.008302652405322417,594,8302.652405322417,Armenia,2023
4,Comercio y reparación de vehículos,64.41168061217685,0.028012313815243745,2024,28012.31381524375,Armenia,2023
1,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",62.4996383262843,0.011651386934479417,871,11651.386934479417,Armenia,2023
8,Alojamiento y servicios de comida,55.76264530966591,0.011030001966369917,817,11030.001966369917,Armenia,2023
8,"Administración pública y defensa, educación y atención de la salud humana",88.45594273209234,0.11420032665673832,1610,114200.32665673834,Barranquilla A.M.,2023
7,Información y comunicaciones,86.62505894538421,0.01801434360299667,242,18014.343602996665,Barranquilla A.M.,2023
10,Actividades financieras y de seguros,85.37832338111708,0.018216135279121665,254,18216.135279121667,Barranquilla A.M.,2023
1,Actividades inmobiliarias,84.06203791356003,0.014031371061185,192,14031.371061185,Barranquilla A.M.,2023
6,"Actividades profesionales, científicas, técnicas y de servicios administrativos",74.04603025037669,0.07919757252194834,1162,79197.57252194833,Barranquilla A.M.,2023
2,Industrias manufactureras,73.72576312318469,0.10812413538735083,1522,108124.13538735083,Barranquilla A.M.,2023
11,"Suministro de electricidad, gas, agua y gestión de desechos^",73.02078140248857,0.015409979314055832,229,15409.979314055834,Barranquilla A.M.,2023
9,Construcción,60.79020037382303,0.06440541496626667,944,64405.41496626667,Barranquilla A.M.,2023
3,Comercio y reparación de vehículos,57.34223847582618,0.20949103404346167,2973,209491.03404346167,Barranquilla A.M.,2023
4,Transporte y almacenamiento,54.77155608866293,0.08855443118895084,1204,88554.43118895084,Barranquilla A.M.,2023
5,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",49.11617451078484,0.10542045280243917,1550,105420.45280243916,Barranquilla A.M.,2023
0,Alojamiento y servicios de comida,45.84590032445098,0.07327001763066417,1059,73270.01763066417,Barranquilla A.M.,2023
10,Actividades financieras y de seguros,92.5302631356044,0.16374487434926666,504,163744.87434926667,Bogotá D.C.,2023
11,Información y comunicaciones,89.9730497116628,0.1647897826846,488,164789.7826846,Bogotá D.C.,2023
7,"Administración pública y defensa, educación y atención de la salud humana",89.00113199561764,0.6871856542834083,2131,687185.6542834083,Bogotá D.C.,2023
3,Actividades inmobiliarias,85.2153933034765,0.08457798285743333,268,84577.98285743334,Bogotá D.C.,2023
6,"Actividades profesionales, científicas, técnicas y de servicios administrativos",81.6968194698145,0.5682120887626249,1785,568212.088762625,Bogotá D.C.,2023
12,"Agricultura, ganadería, caza, silvicultura y pesca",79.63978276341737,0.020875538254491666,70,20875.53825449167,Bogotá D.C.,2023
0,Industrias manufactureras,74.61040174190595,0.4622544217332334,1506,462254.4217332333,Bogotá D.C.,2023
9,Construcción,72.7421407778044,0.21202248356599165,669,212022.48356599166,Bogotá D.C.,2023
8,"Suministro de electricidad, gas, agua y gestión de desechos^",72.1407196754691,0.08085309532880833,247,80853.09532880834,Bogotá D.C.,2023
2,Transporte y almacenamiento,67.35482619905724,0.3237655650022,1036,323765.5650022,Bogotá D.C.,2023
1,Comercio y reparación de vehículos,66.81844250221536,0.7395780510029334,2353,739578.0510029333,Bogotá D.C.,2023
5,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",63.1316970708378,0.3171328207486917,1028,317132.8207486917,Bogotá D.C.,2023
