index,Rama,IVI,Ocupados_miles,n_muestra,poblacion_estimada,Ciudad,Año
5,"Suministro de electricidad, gas, agua y gestión de desechos^",19.9,35,303,34718.141354168336,Medellín A.M.,2022
7,"Agricultura, ganadería, caza, silvicultura y pesca",18.0,11,99,11354.202974285834,Medellín A.M.,2022
1,"Actividades profesionales, científicas, técnicas y de servicios administrativos",14.9,216,1864,216470.430433725,Medellín A.M.,2022
0,Industrias manufactureras,14.3,341,2898,341284.52600915165,Medellín A.M.,2022
3,Actividades inmobiliarias,10.1,30,263,30129.781744751668,Medellín A.M.,2022
6,"Administración pública y defensa, educación y atención de la salud humana",7.7,224,1923,224187.2373245075,Medellín A.M.,2022
4,Información y comunicaciones,6.8,54,452,53701.49944176583,Medellín A.M.,2022
8,Actividades financieras y de seguros,3.8,53,419,52700.2066266425,Medellín A.M.,2022
6,Transporte y almacenamiento,53.5,18,909,18361.711345065418,Montería,2022
7,Alojamiento y servicios de comida,35.7,12,645,12413.104487032917,Montería,2022
3,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",33.5,20,1088,20188.020978146,Montería,2022
4,Construcción,29.8,13,662,13369.636023207917,Montería,2022
2,Comercio y reparación de vehículos,28.5,38,1925,38232.548272740416,Montería,2022
5,Industrias manufactureras,28.0,12,601,11773.886222682084,Montería,2022
0,"Actividades profesionales, científicas, técnicas y de servicios administrativos",26.8,12,596,11625.754994879584,Montería,2022
1,"Administración pública y defensa, educación y atención de la salud humana",4.5,29,1471,28878.972805763915,Montería,2022
3,Transporte y almacenamiento,37.2,11,721,11260.044274867667,Neiva,2022
5,Alojamiento y servicios de comida,36.4,11,722,11013.13765646875,Neiva,2022
0,Construcción,35.5,14,915,14165.693026300583,Neiva,2022
6,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",30.6,11,712,10701.700498777083,Neiva,2022
1,"Actividades profesionales, científicas, técnicas y de servicios administrativos",26.8,16,1054,15556.035193476917,Neiva,2022
8,Comercio y reparación de vehículos,26.4,29,1924,29181.601846222333,Neiva,2022
7,Industrias manufactureras,24.9,9,590,8826.466967108416,Neiva,2022
4,"Suministro de electricidad, gas, agua y gestión de desechos^",11.6,6,367,5847.505413543917,Neiva,2022
2,"Administración pública y defensa, educación y atención de la salud humana",4.5,24,1621,24390.362170764667,Neiva,2022
2,Transporte y almacenamiento,46.1,14,1030,13512.178365600417,Pasto,2022
6,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",32.6,14,1098,13525.516524436416,Pasto,2022
4,Industrias manufactureras,29.6,10,818,10463.634696253834,Pasto,2022
0,Comercio y reparación de vehículos,29.3,36,2755,35513.09177467992,Pasto,2022
5,Alojamiento y servicios de comida,29.0,10,818,10210.920967330583,Pasto,2022
3,"Actividades profesionales, científicas, técnicas y de servicios administrativos",28.3,15,1191,15243.816937873917,Pasto,2022
7,Construcción,25.5,9,684,9056.939381228667,Pasto,2022
1,"Administración pública y defensa, educación y atención de la salud humana",7.6,31,2382,30796.487893136833,Pasto,2022
5,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",27.2,28,1362,28243.929429576416,Pereira A.M.,2022
7,Alojamiento y servicios de comida,27.2,20,977,20051.186934570334,Pereira A.M.,2022
2,Transporte y almacenamiento,25.1,19,854,18969.781147604,Pereira A.M.,2022
0,Comercio y reparación de vehículos,22.2,65,3067,64680.41066493592,Pereira A.M.,2022
3,Construcción,21.6,25,1166,24964.00331753717,Pereira A.M.,2022
6,"Actividades profesionales, científicas, técnicas y de servicios administrativos",19.3,30,1497,29701.379319825584,Pereira A.M.,2022
10,"Agricultura, ganadería, caza, silvicultura y pesca",19.2,5,240,5059.478428380583,Pereira A.M.,2022
1,Industrias manufactureras,15.7,39,1691,38519.21547700275,Pereira A.M.,2022
9,Información y comunicaciones,7.7,6,289,6008.308351418917,Pereira A.M.,2022
4,"Administración pública y defensa, educación y atención de la salud humana",7.6,38,1936,38281.138137871414,Pereira A.M.,2022
8,Actividades financieras y de seguros,6.9,6,272,5794.854991131333,Pereira A.M.,2022
5,Transporte y almacenamiento,43.4,9,809,9142.78345412975,Popayán,2022
4,Alojamiento y servicios de comida,32.8,10,878,9580.211979007167,Popayán,2022
1,Construcción,31.5,9,745,8954.846807565917,Popayán,2022
3,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",28.3,12,1063,12089.358273687083,Popayán,2022
6,Comercio y reparación de vehículos,28.1,24,2132,24156.145154139333,Popayán,2022
2,Industrias manufactureras,27.4,7,604,6813.84556823475,Popayán,2022
7,"Actividades profesionales, científicas, técnicas y de servicios administrativos",23.1,8,672,8109.529350979,Popayán,2022
0,"Administración pública y defensa, educación y atención de la salud humana",8.3,29,2408,28950.116343157,Popayán,2022
0,Comercio y reparación de vehículos,30.4,6,1547,6284.41214829075,Quibdó,2022
1,"Administración pública y defensa, educación y atención de la salud humana",4.6,8,2029,8030.226751296,Quibdó,2022
1,Transporte y almacenamiento,53.0,7,1128,7332.176908211916,Riohacha,2022
0,Comercio y reparación de vehículos,42.0,11,1764,11123.028681209416,Riohacha,2022
2,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",36.3,6,1076,6459.34534345425,Riohacha,2022
3,"Administración pública y defensa, educación y atención de la salud humana",6.0,10,1664,10226.521167945084,Riohacha,2022
4,Transporte y almacenamiento,45.2,23,1223,22671.963325496166,Santa Marta,2022
0,Construcción,43.2,19,1032,19281.34429254475,Santa Marta,2022
6,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",36.2,22,1175,21690.858297046416,Santa Marta,2022
5,Comercio y reparación de vehículos,33.5,44,2376,44378.035380987916,Santa Marta,2022
2,"Actividades profesionales, científicas, técnicas y de servicios administrativos",33.4,18,989,18091.789999751418,Santa Marta,2022
3,Alojamiento y servicios de comida,31.5,23,1264,22950.174662404417,Santa Marta,2022
8,Industrias manufactureras,31.2,12,640,12085.736616386666,Santa Marta,2022
7,"Suministro de electricidad, gas, agua y gestión de desechos^",29.4,6,302,5781.007585069583,Santa Marta,2022
1,"Administración pública y defensa, educación y atención de la salud humana",8.1,26,1376,25658.739449737084,Santa Marta,2022
1,Transporte y almacenamiento,53.5,14,1368,14310.889867670083,Sincelejo,2022
7,Construcción,42.5,8,772,8020.669175693333,Sincelejo,2022
0,Alojamiento y servicios de comida,38.6,7,664,6668.97808126025,Sincelejo,2022
5,Industrias manufactureras,34.0,7,715,7312.500134586667,Sincelejo,2022
3,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",33.3,13,1287,13110.488959778584,Sincelejo,2022
4,"Actividades profesionales, científicas, técnicas y de servicios administrativos",32.3,7,697,7148.519127044,Sincelejo,2022
2,Comercio y reparación de vehículos,31.3,26,2446,25538.63366407475,Sincelejo,2022
6,"Administración pública y defensa, educación y atención de la salud humana",6.1,18,1682,17605.066276022666,Sincelejo,2022
2,Comercio y reparación de vehículos,24.8,14,1733,13549.24355665475,Tunja,2022
3,Construcción,21.7,5,640,5337.723854757417,Tunja,2022
0,"Actividades profesionales, científicas, técnicas y de servicios administrativos",20.9,8,1004,8051.1791286675,Tunja,2022
1,"Administración pública y defensa, educación y atención de la salud humana",4.5,22,2699,21980.5516382545,Tunja,2022
7,Transporte y almacenamiento,51.0,22,1072,22217.298459948,Valledupar,2022
6,Construcción,38.6,15,718,14927.4026937975,Valledupar,2022
4,Alojamiento y servicios de comida,37.5,13,694,13423.891248228334,Valledupar,2022
3,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",34.9,22,1175,22488.436992859166,Valledupar,2022
5,"Actividades profesionales, científicas, técnicas y de servicios administrativos",33.4,14,724,14024.414020806584,Valledupar,2022
2,Comercio y reparación de vehículos,31.8,42,2112,42304.08181174925,Valledupar,2022
8,"Suministro de electricidad, gas, agua y gestión de desechos^",31.4,6,259,5592.201778602834,Valledupar,2022
1,Industrias manufactureras,29.6,11,550,11123.695971600167,Valledupar,2022
0,"Administración pública y defensa, educación y atención de la salud humana",7.1,30,1537,30391.419550589333,Valledupar,2022
6,Transporte y almacenamiento,36.2,16,745,16497.196847845084,Villavicencio,2022
0,Construcción,35.6,24,1073,23858.801511731832,Villavicencio,2022
1,Alojamiento y servicios de comida,32.3,20,977,20055.149228146416,Villavicencio,2022
3,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",32.3,20,912,19860.820483992335,Villavicencio,2022
2,Comercio y reparación de vehículos,31.2,59,2714,58551.972751984584,Villavicencio,2022
4,"Actividades profesionales, científicas, técnicas y de servicios administrativos",28.3,20,926,19742.217783025,Villavicencio,2022
8,Industrias manufactureras,26.6,17,757,16724.61300378767,Villavicencio,2022
7,"Suministro de electricidad, gas, agua y gestión de desechos^",20.8,8,355,8399.9845380395,Villavicencio,2022
5,"Administración pública y defensa, educación y atención de la salud humana",8.3,36,1655,36304.27221256342,Villavicencio,2022
