index,Rama,IVI,Ocupados_miles,n_muestra,poblacion_estimada,Ciudad,Año
1,Transporte y almacenamiento,38.6,1595,31597,1595131.2818622708,Todas (Panorama Nacional),2022
5,"Agricultura, ganadería, caza, silvicultura y pesca",36.0,3224,33088,3224135.8147105672,Todas (Panorama Nacional),2022
2,Alojamiento y servicios de comida,33.1,1483,30032,1482663.0655645453,Todas (Panorama Nacional),2022
7,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",31.3,1851,35925,1851396.919386121,Todas (Panorama Nacional),2022
0,Comercio y reparación de vehículos,30.6,3970,77235,3970353.6196406316,Todas (Panorama Nacional),2022
8,Construcción,28.9,1547,28922,1546653.7994614246,Todas (Panorama Nacional),2022
10,"Suministro de electricidad, gas, agua y gestión de desechos^",27.2,588,9525,587819.3574378147,Todas (Panorama Nacional),2022
4,Industrias manufactureras,22.5,2344,34756,2343551.6131574777,Todas (Panorama Nacional),2022
6,"Actividades profesionales, científicas, técnicas y de servicios administrativos",21.4,1734,30060,1733591.4001901143,Todas (Panorama Nacional),2022
12,Actividades inmobiliarias,10.7,221,3476,221281.87524259632,Todas (Panorama Nacional),2022
11,Información y comunicaciones,9.1,383,5273,382817.1159179378,Todas (Panorama Nacional),2022
3,"Administración pública y defensa, educación y atención de la salud humana",8.4,2665,56478,2665402.9283269327,Todas (Panorama Nacional),2022
9,Actividades financieras y de seguros,6.6,419,5995,419008.5952617291,Todas (Panorama Nacional),2022
5,Alojamiento y servicios de comida,27.8,9,713,9087.5797150675,Armenia,2022
7,Transporte y almacenamiento,24.8,7,506,6652.417006195166,Armenia,2022
6,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",24.7,12,954,12197.580892493166,Armenia,2022
0,Comercio y reparación de vehículos,22.5,28,2163,27878.318933073915,Armenia,2022
2,Construcción,17.2,12,896,11922.767144761916,Armenia,2022
1,"Actividades profesionales, científicas, técnicas y de servicios administrativos",17.1,11,835,10856.892048061,Armenia,2022
4,Industrias manufactureras,15.2,12,902,11909.836040965416,Armenia,2022
3,"Administración pública y defensa, educación y atención de la salud humana",5.2,22,1641,21582.732115213585,Armenia,2022
3,Transporte y almacenamiento,44.1,87,1277,87417.49916728,Barranquilla A.M.,2022
4,Alojamiento y servicios de comida,38.1,71,1118,71166.90557491167,Barranquilla A.M.,2022
0,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",35.7,95,1459,94706.93649390833,Barranquilla A.M.,2022
1,Construcción,35.0,69,1036,68581.15941381667,Barranquilla A.M.,2022
2,Comercio y reparación de vehículos,33.4,206,3110,205545.41266916165,Barranquilla A.M.,2022
9,"Suministro de electricidad, gas, agua y gestión de desechos^",32.1,18,283,17781.312779159165,Barranquilla A.M.,2022
5,"Actividades profesionales, científicas, técnicas y de servicios administrativos",25.3,78,1201,77749.9309015125,Barranquilla A.M.,2022
6,Industrias manufactureras,19.8,99,1483,99258.4717537225,Barranquilla A.M.,2022
8,Actividades financieras y de seguros,12.4,14,209,14132.230701415,Barranquilla A.M.,2022
10,Información y comunicaciones,11.2,17,230,16702.843444521666,Barranquilla A.M.,2022
11,Actividades inmobiliarias,9.8,11,161,11047.895180640833,Barranquilla A.M.,2022
7,"Administración pública y defensa, educación y atención de la salud humana",8.4,104,1592,104269.4168729225,Barranquilla A.M.,2022
8,"Suministro de electricidad, gas, agua y gestión de desechos^",30.8,74,253,73867.53475730833,Bogotá D.C.,2022
7,Alojamiento y servicios de comida,30.5,191,663,191093.75788409167,Bogotá D.C.,2022
4,Transporte y almacenamiento,28.1,288,978,288123.823007075,Bogotá D.C.,2022
1,Comercio y reparación de vehículos,25.2,683,2308,683060.8968265167,Bogotá D.C.,2022
2,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",24.5,303,1048,302760.99355618336,Bogotá D.C.,2022
6,Construcción,24.2,188,645,187937.20094286668,Bogotá D.C.,2022
3,Industrias manufactureras,18.8,452,1548,452246.7309446917,Bogotá D.C.,2022
12,"Agricultura, ganadería, caza, silvicultura y pesca",14.3,21,72,21330.959412775,Bogotá D.C.,2022
0,"Actividades profesionales, científicas, técnicas y de servicios administrativos",13.6,542,1813,542423.0444159666,Bogotá D.C.,2022
5,"Administración pública y defensa, educación y atención de la salud humana",8.8,669,2213,669187.3964105167,Bogotá D.C.,2022
9,Actividades inmobiliarias,7.6,67,218,67478.40122418333,Bogotá D.C.,2022
10,Información y comunicaciones,7.2,160,498,159756.62424074166,Bogotá D.C.,2022
11,Actividades financieras y de seguros,3.8,167,539,167379.58778180834,Bogotá D.C.,2022
4,Transporte y almacenamiento,39.1,55,1191,54672.36160908833,Bucaramanga A.M.,2022
3,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",32.0,48,1067,47668.105689814,Bucaramanga A.M.,2022
2,Alojamiento y servicios de comida,31.1,39,914,39123.78914962325,Bucaramanga A.M.,2022
9,Industrias manufactureras,26.8,76,1709,76042.71327250666,Bucaramanga A.M.,2022
1,Comercio y reparación de vehículos,25.8,124,2854,124211.43682993409,Bucaramanga A.M.,2022
6,Construcción,20.9,38,747,37511.08942100592,Bucaramanga A.M.,2022
5,"Actividades profesionales, científicas, técnicas y de servicios administrativos",20.3,63,1406,62967.09021938183,Bucaramanga A.M.,2022
7,"Suministro de electricidad, gas, agua y gestión de desechos^",18.3,11,254,10930.337085478333,Bucaramanga A.M.,2022
10,"Agricultura, ganadería, caza, silvicultura y pesca",14.2,10,183,10067.87257782,Bucaramanga A.M.,2022
8,Actividades inmobiliarias,13.9,8,182,8221.3787102975,Bucaramanga A.M.,2022
0,"Administración pública y defensa, educación y atención de la salud humana",7.6,89,1905,89224.46599905634,Bucaramanga A.M.,2022
12,Información y comunicaciones,6.7,10,214,10054.71454637,Bucaramanga A.M.,2022
11,Actividades financieras y de seguros,6.0,14,300,14407.432761466667,Bucaramanga A.M.,2022
3,Transporte y almacenamiento,36.9,85,1260,84967.39586614084,Cali A.M.,2022
5,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",30.3,116,1589,115922.11461630641,Cali A.M.,2022
6,Alojamiento y servicios de comida,29.1,80,1056,79853.2656389535,Cali A.M.,2022
2,Comercio y reparación de vehículos,26.9,237,3277,237154.00174158742,Cali A.M.,2022
4,Construcción,24.1,74,1000,73692.40359179175,Cali A.M.,2022
8,"Suministro de electricidad, gas, agua y gestión de desechos^",22.4,17,251,16910.67532396925,Cali A.M.,2022
7,"Actividades profesionales, científicas, técnicas y de servicios administrativos",22.0,99,1307,98731.83434650392,Cali A.M.,2022
1,Industrias manufactureras,17.2,165,2490,164877.57375322824,Cali A.M.,2022
11,"Agricultura, ganadería, caza, silvicultura y pesca",15.1,9,163,9240.588522175916,Cali A.M.,2022
9,Actividades inmobiliarias,12.4,20,271,20322.537175620084,Cali A.M.,2022
10,Información y comunicaciones,9.7,19,249,19312.676507277334,Cali A.M.,2022
0,"Administración pública y defensa, educación y atención de la salud humana",9.3,150,2051,149753.03797757774,Cali A.M.,2022
12,Actividades financieras y de seguros,6.4,24,291,23679.961412718334,Cali A.M.,2022
6,Transporte y almacenamiento,39.0,57,1925,57208.73410381808,Cartagena,2022
1,Comercio y reparación de vehículos,34.4,90,3075,89803.37214794742,Cartagena,2022
8,Construcción,34.1,38,1305,37951.931428471,Cartagena,2022
4,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",33.0,43,1480,42838.44272072292,Cartagena,2022
2,Alojamiento y servicios de comida,30.5,41,1404,41175.205791630666,Cartagena,2022
7,"Actividades profesionales, científicas, técnicas y de servicios administrativos",28.9,43,1406,42575.28694486317,Cartagena,2022
3,Industrias manufactureras,20.4,33,1093,32515.039427960666,Cartagena,2022
0,"Suministro de electricidad, gas, agua y gestión de desechos^",16.0,9,302,9369.315704031667,Cartagena,2022
9,Actividades inmobiliarias,11.2,6,179,5633.88275334075,Cartagena,2022
5,"Administración pública y defensa, educación y atención de la salud humana",6.8,55,1802,55225.51026016708,Cartagena,2022
7,Transporte y almacenamiento,50.2,32,924,32349.05564095167,Cúcuta A.M.,2022
6,Construcción,45.4,36,1000,35758.10683748833,Cúcuta A.M.,2022
4,Alojamiento y servicios de comida,45.3,31,960,30559.129970029335,Cúcuta A.M.,2022
5,Industrias manufactureras,42.6,57,1671,57299.404893131665,Cúcuta A.M.,2022
0,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",40.6,38,1156,37659.29580320083,Cúcuta A.M.,2022
2,Comercio y reparación de vehículos,38.5,105,3110,105154.1825864535,Cúcuta A.M.,2022
9,"Actividades profesionales, científicas, técnicas y de servicios administrativos",35.8,33,990,33146.09911576084,Cúcuta A.M.,2022
8,"Suministro de electricidad, gas, agua y gestión de desechos^",31.8,13,382,12772.818138547333,Cúcuta A.M.,2022
3,Actividades financieras y de seguros,17.0,5,144,5207.8912043925,Cúcuta A.M.,2022
1,"Administración pública y defensa, educación y atención de la salud humana",10.9,47,1365,46822.4193593525,Cúcuta A.M.,2022
0,Transporte y almacenamiento,50.0,7,906,6691.91053668575,Florencia,2022
5,Construcción,36.3,5,681,5193.252819338333,Florencia,2022
4,Alojamiento y servicios de comida,34.9,5,781,5221.484854862,Florencia,2022
2,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",34.2,7,980,6768.762643188833,Florencia,2022
3,Comercio y reparación de vehículos,33.3,15,2174,15425.528377677167,Florencia,2022
1,"Administración pública y defensa, educación y atención de la salud humana",8.5,12,1704,12160.445460899,Florencia,2022
7,Transporte y almacenamiento,30.8,15,578,15451.57591883025,Ibagué,2022
4,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",29.6,16,612,15922.124048909416,Ibagué,2022
2,Comercio y reparación de vehículos,29.5,44,1694,44082.479463125084,Ibagué,2022
5,Alojamiento y servicios de comida,29.2,12,478,12119.449348418333,Ibagué,2022
0,Construcción,27.1,16,594,15924.610876735,Ibagué,2022
1,Industrias manufactureras,24.8,18,707,18281.864534225835,Ibagué,2022
6,"Actividades profesionales, científicas, técnicas y de servicios administrativos",22.0,20,753,20072.92076745925,Ibagué,2022
3,"Administración pública y defensa, educación y atención de la salud humana",6.4,33,1243,33291.82508930833,Ibagué,2022
7,Transporte y almacenamiento,27.8,13,851,13037.97060841,Manizales A.M.,2022
6,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",26.6,20,1304,19534.449687890166,Manizales A.M.,2022
2,Comercio y reparación de vehículos,25.7,41,2677,41477.481991654415,Manizales A.M.,2022
0,Alojamiento y servicios de comida,25.3,15,955,14923.53480524425,Manizales A.M.,2022
1,Construcción,21.0,17,1104,17058.3012875415,Manizales A.M.,2022
5,"Actividades profesionales, científicas, técnicas y de servicios administrativos",14.2,25,1689,25444.847768084415,Manizales A.M.,2022
4,Industrias manufactureras,10.9,32,2145,32338.463113426667,Manizales A.M.,2022
3,"Administración pública y defensa, educación y atención de la salud humana",6.5,36,2300,35990.26481706758,Manizales A.M.,2022
8,Información y comunicaciones,5.9,6,395,6071.132473447667,Manizales A.M.,2022
9,Transporte y almacenamiento,29.8,142,1229,141811.35737570832,Medellín A.M.,2022
11,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",27.7,179,1606,178837.04051562335,Medellín A.M.,2022
10,Alojamiento y servicios de comida,25.3,121,1105,120760.1508754275,Medellín A.M.,2022
2,Comercio y reparación de vehículos,23.6,386,3393,385937.17824332585,Medellín A.M.,2022
12,Construcción,20.2,146,1305,145506.39982645083,Medellín A.M.,2022
