index,Rama,ICE,Ocupados_M,Ciudad,Año
1,"Suministro de electricidad, gas, agua y gestión de desechos^",72.19074329493455,0.015601505116880918,Cali A.M.,2022
8,"Actividades profesionales, científicas, técnicas y de servicios administrativos",72.16610390487585,0.09119609696973908,Cali A.M.,2022
10,"Agricultura, ganadería, caza, silvicultura y pesca",69.94774336545774,0.008810193328055084,Cali A.M.,2022
3,Construcción,63.22190459305607,0.06764883166296201,Cali A.M.,2022
2,Comercio y reparación de vehículos,63.04306903191061,0.217877408679172,Cali A.M.,2022
6,Transporte y almacenamiento,57.302519719255116,0.07745139799364333,Cali A.M.,2022
0,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",54.77880921988415,0.10726139706457392,Cali A.M.,2022
7,Alojamiento y servicios de comida,53.01176651970236,0.07587731749237935,Cali A.M.,2022
12,Actividades financieras y de seguros,89.16885459728566,0.003967308227435001,Cartagena,2022
6,"Administración pública y defensa, educación y atención de la salud humana",88.61236906496958,0.05108443395795558,Cartagena,2022
10,Información y comunicaciones,83.79256348635909,0.003961308532016667,Cartagena,2022
7,Actividades inmobiliarias,83.50149951788795,0.005299092640049082,Cartagena,2022
9,"Suministro de electricidad, gas, agua y gestión de desechos^",79.96730418688456,0.008707731479730833,Cartagena,2022
8,Industrias manufactureras,74.41631098334027,0.029737147653172334,Cartagena,2022
3,"Actividades profesionales, científicas, técnicas y de servicios administrativos",64.36799732559902,0.03874945884204983,Cartagena,2022
0,Alojamiento y servicios de comida,61.309066679155464,0.037115061173041496,Cartagena,2022
11,"Agricultura, ganadería, caza, silvicultura y pesca",61.20027970834927,0.0016565188104441667,Cartagena,2022
5,Construcción,61.00538043704585,0.034790687239196,Cartagena,2022
2,Transporte y almacenamiento,57.50541386205684,0.05239140944812074,Cartagena,2022
1,Comercio y reparación de vehículos,57.30231005332897,0.08317801173866242,Cartagena,2022
4,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",53.55110152288014,0.03958833823604475,Cartagena,2022
3,"Administración pública y defensa, educación y atención de la salud humana",86.5541965004318,0.043690885768139995,Cúcuta A.M.,2022
12,Actividades inmobiliarias,79.12680695931972,0.0036331829462399995,Cúcuta A.M.,2022
6,Actividades financieras y de seguros,78.47633362777682,0.004797430810994167,Cúcuta A.M.,2022
10,Información y comunicaciones,75.19722570871109,0.004414016601047501,Cúcuta A.M.,2022
11,"Suministro de electricidad, gas, agua y gestión de desechos^",64.22978404635728,0.011855659507032332,Cúcuta A.M.,2022
4,"Actividades profesionales, científicas, técnicas y de servicios administrativos",59.684717518248206,0.030981686755177498,Cúcuta A.M.,2022
2,Comercio y reparación de vehículos,53.185952517497434,0.09641070430790101,Cúcuta A.M.,2022
5,Construcción,51.569561165772114,0.03313040311357417,Cúcuta A.M.,2022
0,Industrias manufactureras,50.56565183807623,0.05310158681157,Cúcuta A.M.,2022
9,"Agricultura, ganadería, caza, silvicultura y pesca",48.52548683596181,0.003910235982084333,Cúcuta A.M.,2022
7,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",47.41493576037975,0.03443610764636083,Cúcuta A.M.,2022
8,Transporte y almacenamiento,46.65303204148438,0.029621030367156666,Cúcuta A.M.,2022
1,Alojamiento y servicios de comida,43.24605125844402,0.028051145168547665,Cúcuta A.M.,2022
0,"Administración pública y defensa, educación y atención de la salud humana",88.98368004896791,0.011129353264802917,Florencia,2022
8,Actividades financieras y de seguros,85.29242102203284,0.0008853798622579166,Florencia,2022
11,Información y comunicaciones,84.5316709993555,0.0005225442024496666,Florencia,2022
9,"Suministro de electricidad, gas, agua y gestión de desechos^",72.95979073241988,0.0009519124687152501,Florencia,2022
12,Actividades inmobiliarias,70.24706968123536,0.0002983456979903334,Florencia,2022
7,"Actividades profesionales, científicas, técnicas y de servicios administrativos",61.53357445817051,0.004481724438417334,Florencia,2022
3,Comercio y reparación de vehículos,56.16051062209082,0.014164948997835167,Florencia,2022
6,Industrias manufactureras,53.573919584303,0.003544136298466333,Florencia,2022
5,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",51.653330322476464,0.006242837377539167,Florencia,2022
1,Construcción,50.39289410013708,0.004871088890360499,Florencia,2022
2,Alojamiento y servicios de comida,45.90685518153912,0.004715107379785333,Florencia,2022
10,"Agricultura, ganadería, caza, silvicultura y pesca",45.41251455152043,0.0011780495979305833,Florencia,2022
4,Transporte y almacenamiento,44.16326266705681,0.006118860872281167,Florencia,2022
12,Actividades financieras y de seguros,94.10270038659819,0.0031589306546952493,Ibagué,2022
5,"Administración pública y defensa, educación y atención de la salud humana",93.24111633015562,0.02279292394402942,Ibagué,2022
11,Información y comunicaciones,88.93845295686991,0.0019504445079909169,Ibagué,2022
10,Actividades inmobiliarias,86.6622023372242,0.0010676054939860833,Ibagué,2022
9,"Suministro de electricidad, gas, agua y gestión de desechos^",85.82332426877372,0.005148161613787834,Ibagué,2022
6,"Agricultura, ganadería, caza, silvicultura y pesca",71.13855276576942,0.0016758027571795832,Ibagué,2022
1,"Actividades profesionales, científicas, técnicas y de servicios administrativos",71.12707977886232,0.014305961236027582,Ibagué,2022
2,Comercio y reparación de vehículos,69.05089641887,0.02628211097216875,Ibagué,2022
8,Industrias manufactureras,69.015686851689,0.0078266630663575,Ibagué,2022
0,Construcción,62.39101659247098,0.013014638924975832,Ibagué,2022
4,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",61.38259141633859,0.009726096843517,Ibagué,2022
7,Transporte y almacenamiento,59.82866897572393,0.010494186678334667,Ibagué,2022
3,Alojamiento y servicios de comida,54.93437478162663,0.010027397273252666,Ibagué,2022
11,Actividades financieras y de seguros,93.80945863016555,0.004219333228325251,Manizales A.M.,2022
1,"Administración pública y defensa, educación y atención de la salud humana",91.63493912435744,0.03322949833838942,Manizales A.M.,2022
8,Información y comunicaciones,91.55363050997886,0.0056205063003969165,Manizales A.M.,2022
12,"Suministro de electricidad, gas, agua y gestión de desechos^",85.81997330378404,0.0038576545137643335,Manizales A.M.,2022
3,Industrias manufactureras,85.5086530295158,0.02997149540331975,Manizales A.M.,2022
7,Actividades inmobiliarias,85.14356276973139,0.003099453701379083,Manizales A.M.,2022
0,"Actividades profesionales, científicas, técnicas y de servicios administrativos",82.87013004091854,0.023272880441097498,Manizales A.M.,2022
5,Construcción,71.97862397303157,0.015816250568605084,Manizales A.M.,2022
4,Transporte y almacenamiento,68.24286678624502,0.012061125067616417,Manizales A.M.,2022
10,"Agricultura, ganadería, caza, silvicultura y pesca",66.54794106309055,0.003187892455921,Manizales A.M.,2022
6,Comercio y reparación de vehículos,66.31154264955124,0.03780179976335892,Manizales A.M.,2022
