index,Rama,ICE,Ocupados_M,n_muestra,poblacion_estimada,Ciudad,Año
11,Actividades financieras y de seguros,90.96264868940364,0.43621274085501177,5578,436212.74085501174,Todas (Panorama Nacional),2025
12,Información y comunicaciones,90.19650603209342,0.40619864477972,4879,406198.64477972,Todas (Panorama Nacional),2025
6,"Administración pública y defensa, educación y atención de la salud humana",89.77824892933637,2.883498646965862,53184,2883498.6469658623,Todas (Panorama Nacional),2025
3,Actividades inmobiliarias,87.05477430575603,0.3219598148515138,4218,321959.81485151383,Todas (Panorama Nacional),2025
8,"Actividades profesionales, científicas, técnicas y de servicios administrativos",73.16444367358376,1.8118460083671133,27521,1811846.008367113,Todas (Panorama Nacional),2025
4,Industrias manufactureras,71.59546877713255,2.60932404385044,33075,2609324.04385044,Todas (Panorama Nacional),2025
10,"Suministro de electricidad, gas, agua y gestión de desechos^",71.02518590727591,0.6167356829725418,8224,616735.6829725418,Todas (Panorama Nacional),2025
7,Construcción,62.532553461951665,1.6046069266152119,25303,1604606.9266152119,Todas (Panorama Nacional),2025
2,Comercio y reparación de vehículos,60.554529999207205,4.10440310854699,68850,4104403.1085469895,Todas (Panorama Nacional),2025
5,Transporte y almacenamiento,57.91028504150816,1.8197436759704233,30119,1819743.6759704233,Todas (Panorama Nacional),2025
0,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",55.85014721947425,1.9915203355676798,33827,1991520.33556768,Todas (Panorama Nacional),2025
9,Alojamiento y servicios de comida,52.27538305759306,1.834416960437299,31833,1834416.960437299,Todas (Panorama Nacional),2025
1,"Agricultura, ganadería, caza, silvicultura y pesca",51.57862200814273,3.3861031391773357,31412,3386103.139177336,Todas (Panorama Nacional),2025
5,"Administración pública y defensa, educación y atención de la salud humana",93.78054079823332,0.0073890614778444165,406,7389.061477844417,Arauca,2025
0,Comercio y reparación de vehículos,56.974543418864265,0.006563770855574,346,6563.770855574,Arauca,2025
0,"Administración pública y defensa, educación y atención de la salud humana",91.73744044381668,0.020935020849417334,1487,20935.020849417335,Armenia,2025
2,Industrias manufactureras,73.9472827288516,0.014321338340420084,1025,14321.338340420083,Armenia,2025
3,"Actividades profesionales, científicas, técnicas y de servicios administrativos",67.02041672604724,0.012978008278907084,966,12978.008278907084,Armenia,2025
1,Comercio y reparación de vehículos,65.92407875266963,0.031412161575358165,2298,31412.16157535817,Armenia,2025
11,Construcción,62.75383152795676,0.010957577135910584,782,10957.577135910584,Armenia,2025
8,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",61.44314015684128,0.013443930832145332,1012,13443.930832145334,Armenia,2025
7,Transporte y almacenamiento,60.745420338804344,0.00913721725133625,656,9137.21725133625,Armenia,2025
9,Alojamiento y servicios de comida,55.45640881551789,0.013732536179805748,1009,13732.53617980575,Armenia,2025
1,"Administración pública y defensa, educación y atención de la salud humana",90.32365941769905,0.11580921336854834,1572,115809.21336854833,Barranquilla A.M.,2025
12,Información y comunicaciones,88.60927685904092,0.014604623159785,190,14604.623159785,Barranquilla A.M.,2025
5,Actividades financieras y de seguros,88.05357956314207,0.016568625535713335,220,16568.625535713334,Barranquilla A.M.,2025
11,Actividades inmobiliarias,87.94899213544552,0.0131223273937225,166,13122.3273937225,Barranquilla A.M.,2025
0,Industrias manufactureras,77.6557883859154,0.11526873563328917,1458,115268.73563328916,Barranquilla A.M.,2025
7,"Suministro de electricidad, gas, agua y gestión de desechos^",76.80284410148812,0.019920503348534166,251,19920.503348534166,Barranquilla A.M.,2025
4,"Actividades profesionales, científicas, técnicas y de servicios administrativos",75.78514566294183,0.07815897901151332,1089,78158.97901151334,Barranquilla A.M.,2025
10,Construcción,63.30172010878178,0.0711620491009975,916,71162.0491009975,Barranquilla A.M.,2025
6,Comercio y reparación de vehículos,61.7562064749594,0.196292153951185,2640,196292.153951185,Barranquilla A.M.,2025
3,Transporte y almacenamiento,56.75397177714964,0.09664776784853334,1225,96647.76784853333,Barranquilla A.M.,2025
8,Alojamiento y servicios de comida,52.35537102290155,0.07852412737305334,1056,78524.12737305333,Barranquilla A.M.,2025
2,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",51.905615512919965,0.10615991293196166,1452,106159.91293196166,Barranquilla A.M.,2025
6,Actividades financieras y de seguros,94.4199797258241,0.17077279393606665,513,170772.79393606668,Bogotá D.C.,2025
5,Información y comunicaciones,91.49895130640321,0.17068193362547499,506,170681.933625475,Bogotá D.C.,2025
8,"Administración pública y defensa, educación y atención de la salud humana",89.76157097053189,0.6890782315217083,2146,689078.2315217083,Bogotá D.C.,2025
10,Actividades inmobiliarias,88.64267702059597,0.10305110338145,328,103051.10338145,Bogotá D.C.,2025
3,"Actividades profesionales, científicas, técnicas y de servicios administrativos",81.10514709933415,0.5584773714946667,1750,558477.3714946667,Bogotá D.C.,2025
12,"Agricultura, ganadería, caza, silvicultura y pesca",79.69347963265344,0.03212320549700833,103,32123.205497008334,Bogotá D.C.,2025
4,Industrias manufactureras,75.46877036327963,0.5532130340079,1738,553213.0340079,Bogotá D.C.,2025
11,"Suministro de electricidad, gas, agua y gestión de desechos^",74.21736882839926,0.069523398817025,210,69523.398817025,Bogotá D.C.,2025
7,Construcción,71.51766170761977,0.24495294415243335,763,244952.94415243334,Bogotá D.C.,2025
1,Transporte y almacenamiento,66.59406822219677,0.3380315040914917,1073,338031.5040914917,Bogotá D.C.,2025
2,Comercio y reparación de vehículos,65.47801287993556,0.7525754597893833,2409,752575.4597893833,Bogotá D.C.,2025
0,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",62.925497564575586,0.34389651431699997,1121,343896.514317,Bogotá D.C.,2025
9,Alojamiento y servicios de comida,55.293500886624635,0.2842393714569584,892,284239.37145695835,Bogotá D.C.,2025
1,Actividades financieras y de seguros,94.08291136743493,0.016293134051334167,275,16293.134051334167,Bucaramanga A.M.,2025
9,Actividades inmobiliarias,91.78893919918721,0.015237749709486667,254,15237.749709486667,Bucaramanga A.M.,2025
2,"Administración pública y defensa, educación y atención de la salud humana",91.73271946482775,0.09046072627429867,1727,90460.72627429866,Bucaramanga A.M.,2025
11,Información y comunicaciones,91.145771916188,0.0111752615500075,204,11175.2615500075,Bucaramanga A.M.,2025
12,"Suministro de electricidad, gas, agua y gestión de desechos^",80.57550495141625,0.010791020433701665,205,10791.020433701666,Bucaramanga A.M.,2025
6,"Actividades profesionales, científicas, técnicas y de servicios administrativos",75.45569532397879,0.05355559767474583,1103,53555.59767474583,Bucaramanga A.M.,2025
10,"Agricultura, ganadería, caza, silvicultura y pesca",74.62024545137227,0.0107907364831975,168,10790.7364831975,Bucaramanga A.M.,2025
7,Industrias manufactureras,71.25348169916704,0.08015735787771584,1618,80157.35787771584,Bucaramanga A.M.,2025
8,Construcción,69.61060385657143,0.034610078250976506,661,34610.0782509765,Bucaramanga A.M.,2025
4,Comercio y reparación de vehículos,67.44318479195668,0.12530614373186919,2675,125306.14373186916,Bucaramanga A.M.,2025
5,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",58.021039955817976,0.052378973184452,1067,52378.973184452,Bucaramanga A.M.,2025
0,Transporte y almacenamiento,57.8666024115579,0.06022651083509167,1191,60226.51083509166,Bucaramanga A.M.,2025
3,Alojamiento y servicios de comida,56.975305937398026,0.04901881498296749,1047,49018.8149829675,Bucaramanga A.M.,2025
11,Actividades financieras y de seguros,91.03305657005362,0.023187148944426417,262,23187.148944426415,Cali A.M.,2025
8,"Administración pública y defensa, educación y atención de la salud humana",89.75823799717895,0.15413263709111583,1812,154132.63709111584,Cali A.M.,2025
10,Información y comunicaciones,89.4128499856723,0.023212028340216666,256,23212.028340216668,Cali A.M.,2025
12,Actividades inmobiliarias,88.15102653292975,0.02293006072415417,240,22930.060724154166,Cali A.M.,2025
3,"Suministro de electricidad, gas, agua y gestión de desechos^",83.73358826374545,0.017788583714814166,210,17788.583714814165,Cali A.M.,2025
6,Industrias manufactureras,78.55717620757544,0.17032677135063418,2144,170326.77135063417,Cali A.M.,2025
7,"Agricultura, ganadería, caza, silvicultura y pesca",74.68678150279891,0.007710765048639999,91,7710.76504864,Cali A.M.,2025
9,"Actividades profesionales, científicas, técnicas y de servicios administrativos",74.49496248051035,0.0965106255062411,1114,96510.62550624108,Cali A.M.,2025
4,Comercio y reparación de vehículos,68.35413683222777,0.2325302002076811,2713,232530.20020768107,Cali A.M.,2025
2,Construcción,64.50578664465242,0.07514318153413292,869,75143.18153413292,Cali A.M.,2025
5,Transporte y almacenamiento,58.6560600826102,0.08197969788806815,1023,81979.69788806817,Cali A.M.,2025
0,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",55.75931209745624,0.11900739534227349,1367,119007.3953422735,Cali A.M.,2025
1,Alojamiento y servicios de comida,55.508334900857534,0.090592892704324,1035,90592.892704324,Cali A.M.,2025
9,"Administración pública y defensa, educación y atención de la salud humana",92.20881426803238,0.053846238888975835,1560,53846.23888897584,Cartagena,2025
1,Actividades inmobiliarias,88.06979900971153,0.0077417278686783345,223,7741.727868678333,Cartagena,2025
6,"Suministro de electricidad, gas, agua y gestión de desechos^",81.45957700446405,0.009127260877079166,264,9127.260877079167,Cartagena,2025
