index,RAMA,Hombres,Mujeres,Total,Dist_%,Dist_H_%,Dist_M_%,Total_miles,Hombres_miles,Mujeres_miles,n_muestra,poblacion_estimada,Ciudad,Año
0,Comercio y reparación de vehículos,2161067.0376716484,1858634.245606603,4019701.2832782515,17.64088173142205,16.182446964782812,19.705844214955327,4019.7012832782516,2161.0670376716484,1858.6342456066031,71916,4019701.2832782515,Todas (Panorama Nacional),2023
1,"Agricultura, ganadería, caza, silvicultura y pesca",2707696.3265915457,572729.235779733,3280425.5623712786,14.396492499395395,20.27570243679895,6.07226145988846,3280.425562371279,2707.6963265915456,572.729235779733,32731,3280425.5623712786,Todas (Panorama Nacional),2023
2,"Administración pública y defensa, educación y atención de la salud humana",1022208.404382009,1716008.694508742,2738217.098890751,12.016953647136368,7.654474850853971,18.193681777590296,2738.217098890751,1022.2084043820089,1716.008694508742,53115,2738217.098890751,Todas (Panorama Nacional),2023
3,Industrias manufactureras,1390549.6306976357,1010625.0855889941,2401174.71628663,10.537807712902424,10.412678208681205,10.714975549071989,2401.17471628663,1390.5496306976356,1010.6250855889941,32714,2401174.7162866294,Todas (Panorama Nacional),2023
4,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",614875.2698620718,1309708.8631564188,1924584.1330184906,8.446239827319141,4.604293282461016,13.88595894287064,1924.5841330184905,614.8752698620718,1309.7088631564188,34963,1924584.1330184906,Todas (Panorama Nacional),2023
5,"Actividades profesionales, científicas, técnicas y de servicios administrativos",806928.1534635186,1014993.219875045,1821921.3733385636,7.995693512032252,6.042418777476886,10.761287928150548,1821.9213733385636,806.9281534635186,1014.993219875045,29421,1821921.3733385636,Todas (Panorama Nacional),2023
6,Transporte y almacenamiento,1553236.6185028972,153188.41077924467,1706425.029282142,7.48882566232743,11.630906753250269,1.6241533079937212,1706.4250292821418,1553.2366185028973,153.18841077924466,30648,1706425.029282142,Todas (Panorama Nacional),2023
7,Alojamiento y servicios de comida,549261.4893964255,1089717.062350608,1638978.5517470334,7.192829704033854,4.1129658483578115,11.553534386778413,1638.9785517470334,549.2614893964255,1089.7170623506079,30293,1638978.5517470334,Todas (Panorama Nacional),2023
8,Construcción,1453978.7522866183,111382.01450186233,1565360.7667884806,6.869750314233038,10.887646536013783,1.1809083101259934,1565.3607667884805,1453.9787522866184,111.38201450186233,26372,1565360.7667884806,Todas (Panorama Nacional),2023
9,"Suministro de electricidad, gas, agua y gestión de desechos^",464878.3153415778,124156.71208493416,589035.027426512,2.58504215169482,3.481089920837377,1.3163498049011102,589.035027426512,464.87831534157783,124.15671208493416,8573,589035.027426512,Todas (Panorama Nacional),2023
10,Actividades financieras y de seguros,180970.1095219511,241286.74302558517,422256.85254753625,1.8531185954192637,1.355135749377374,2.558200453066724,422.25685254753625,180.9701095219511,241.28674302558517,5959,422256.85254753625,Todas (Panorama Nacional),2023
11,Información y comunicaciones,265660.75633913506,137277.774460314,402938.5307994491,1.768338109211186,1.9893140865791767,1.455463571751758,402.9385307994491,265.66075633913505,137.277774460314,5234,402938.5307994491,Todas (Panorama Nacional),2023
