index,RAMA,Hombres,Mujeres,Total,Dist_%,Dist_H_%,Dist_M_%,Total_miles,Hombres_miles,Mujeres_miles,Ciudad,Año
12,"Agricultura, ganadería, caza, silvicultura y pesca",2990.67901301,566.3600118975,3557.0390249075,0.4,0.6,0.1,4,3,1,Barranquilla A.M.,2025
0,Comercio y reparación de vehículos,417269.8098108833,335305.6499785,752575.4597893832,17.5,18.3,16.5,753,417,335,Bogotá D.C.,2025
1,"Administración pública y defensa, educación y atención de la salud humana",249518.34544775,439559.88607395836,689078.2315217084,16.0,11.0,21.6,689,250,440,Bogotá D.C.,2025
2,"Actividades profesionales, científicas, técnicas y de servicios administrativos",264751.13719426666,293726.2343004,558477.3714946667,13.0,11.6,14.4,558,265,294,Bogotá D.C.,2025
3,Industrias manufactureras,311414.45906924165,241798.57493865833,553213.0340078999,12.8,13.7,11.9,553,311,242,Bogotá D.C.,2025
4,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",112867.40540235833,231029.10891464166,343896.514317,8.0,5.0,11.4,344,113,231,Bogotá D.C.,2025
5,Transporte y almacenamiento,276538.07996200834,61493.424129483334,338031.5040914917,7.8,12.2,3.0,338,277,61,Bogotá D.C.,2025
6,Alojamiento y servicios de comida,117668.39417880833,166570.97727815,284239.37145695835,6.6,5.2,8.2,284,118,167,Bogotá D.C.,2025
7,Construcción,212323.41338220832,32629.530770225,244952.9441524333,5.7,9.3,1.6,245,212,33,Bogotá D.C.,2025
8,Actividades financieras y de seguros,75014.476371475,95758.31756459166,170772.79393606668,4.0,3.3,4.7,171,75,96,Bogotá D.C.,2025
9,Información y comunicaciones,104591.18015265833,66090.75347281666,170681.93362547498,4.0,4.6,3.2,171,105,66,Bogotá D.C.,2025
10,Actividades inmobiliarias,60470.972828566664,42580.13055288333,103051.10338145,2.4,2.7,2.1,103,60,43,Bogotá D.C.,2025
11,"Suministro de electricidad, gas, agua y gestión de desechos^",49515.70372968334,20007.695087341668,69523.39881702501,1.6,2.2,1.0,70,50,20,Bogotá D.C.,2025
12,"Agricultura, ganadería, caza, silvicultura y pesca",23514.409401408335,8608.7960956,32123.205497008334,0.7,1.0,0.4,32,24,9,Bogotá D.C.,2025
0,Comercio y reparación de vehículos,69921.52866298417,55384.615068885,125306.14373186918,20.5,21.3,19.7,125,70,55,Bucaramanga A.M.,2025
1,"Administración pública y defensa, educación y atención de la salud humana",30553.41724282667,59907.309031472,90460.72627429868,14.8,9.3,21.3,90,31,60,Bucaramanga A.M.,2025
2,Industrias manufactureras,47383.91298684583,32773.44489087,80157.35787771584,13.1,14.4,11.6,80,47,33,Bucaramanga A.M.,2025
3,Transporte y almacenamiento,54913.4647098475,5313.046125244166,60226.51083509167,9.9,16.7,1.9,60,55,5,Bucaramanga A.M.,2025
4,"Actividades profesionales, científicas, técnicas y de servicios administrativos",22288.386504708335,31267.2111700375,53555.59767474583,8.8,6.8,11.1,54,22,31,Bucaramanga A.M.,2025
5,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",14402.7365247775,37976.2366596745,52378.973184452,8.6,4.4,13.5,52,14,38,Bucaramanga A.M.,2025
6,Alojamiento y servicios de comida,17046.687345530834,31972.127637436668,49018.8149829675,8.0,5.2,11.4,49,17,32,Bucaramanga A.M.,2025
7,Construcción,31784.7130370265,2825.36521395,34610.0782509765,5.7,9.7,1.0,35,32,3,Bucaramanga A.M.,2025
8,Actividades financieras y de seguros,6942.399156451666,9350.7348948825,16293.134051334167,2.7,2.1,3.3,16,7,9,Bucaramanga A.M.,2025
9,Actividades inmobiliarias,9649.411950385833,5588.337759100833,15237.749709486667,2.5,2.9,2.0,15,10,6,Bucaramanga A.M.,2025
10,Información y comunicaciones,6909.3523179133335,4265.909232094167,11175.2615500075,1.8,2.1,1.5,11,7,4,Bucaramanga A.M.,2025
11,"Suministro de electricidad, gas, agua y gestión de desechos^",7929.443653021666,2861.57678068,10791.020433701666,1.8,2.4,1.0,11,8,3,Bucaramanga A.M.,2025
12,"Agricultura, ganadería, caza, silvicultura y pesca",8759.147692915,2031.5887902825,10790.7364831975,1.8,2.7,0.7,11,9,2,Bucaramanga A.M.,2025
0,Comercio y reparación de vehículos,122694.89499501925,109835.30521266183,232530.20020768107,20.9,21.1,20.6,233,123,110,Cali A.M.,2025
