Año,MES,Ciudad,Periodo_Meses,FT_Pob,Desocupados_Pob,Ocupados_Pob,SIH_Pob,Subocupados_Pob,FTP_Pob,Desocupados_Duracion_Valida_Pob,Desocupados_52_Semanas_Pob,Asalariados_Pob,Contrato_Escrito_Pob,Contrato_Indefinido_Pob,Prestaciones_Completas_Pob,Cotizantes_Pension_Pob,Proteccion_Integral_Pob,Jovenes_15_28_Validos_Pob,NINI_Pob,NINI_Desocupados_Pob,NINI_Fuera_FT_Pob,Jovenes_15_24_Validos_Pob,NINI_15_24_Pob,Sobrecalificacion_Validos_Pob,Sobrecalificados_Pob,Ingresos_Validos_Pob,Ingresos_Bajo_SMMLV_Pob,Tasa_Subocupacion_%,Tasa_Insuficiencia_Horas_%,Tasa_Subutilizacion_LU2_%,Tasa_Subutilizacion_LU3_%,Tasa_Subutilizacion_LU4_%,Desempleo_Larga_Duracion_%,Contrato_Escrito_%,Contrato_Indefinido_%,Prestaciones_Completas_%,Cotiza_Pension_%,Proteccion_Integral_%,Tasa_NINI_15_28_%,Tasa_NINI_15_24_%,NINI_Desocupados_%,NINI_Fuera_FT_%,Sobrecalificacion_%,Ingreso_Bajo_SMMLV_%,Ingreso_Real_Mediano_COP_2018,Duracion_Desempleo_Mediana_Semanas
2022,1,Todas (Panorama Nacional),1,24247356.008406475,3551571.1301453235,20695784.878261156,617297.664419967,1797013.368485603,1663219.067318137,3551571.1301453235,695317.932442667,10935367.465911765,7765145.630949622,5794348.024622918,3431829.0511888308,8848376.775581282,3266434.384017124,11411656.600754153,3472648.6086300295,1306285.276367581,2166363.332262448,8155553.865498431,2472957.329440791,20616212.32176839,6073965.524970969,17768453.10238127,9782498.85306181,7.411172450565681,2.5458349529159054,17.193086096149855,20.12610751487778,22.508523430448513,19.577756068036738,71.00946223485855,74.61995305700803,31.382841608996564,42.75448758107074,29.87036690078687,30.430714226018118,30.322371358522748,11.446938179696483,18.98377604632163,29.46208270545191,55.0554333384868,802159.632703514,12.0
2022,2,Todas (Panorama Nacional),1,24893462.9424249,3212543.6423005518,21680919.300124347,792526.9190142581,2224565.3530614562,1725535.0508648069,3212543.6423005518,656878.952447956,11240375.313220762,7609947.15701637,5576307.540418198,2930680.860623227,8784734.805796206,2823549.3878032295,11513914.295128781,3046393.9915868863,1146941.904315261,1899452.0872716247,8152123.361791168,2194900.473626224,21638818.1826265,6427903.461202594,19053605.66267513,9034231.295865575,8.936343481847283,3.183674850089206,16.088844571677225,18.55095632979942,21.528254420486544,20.4473160706248,67.70189557697121,73.27656060366785,26.07280254402363,40.518276389441766,25.11970738630242,26.458369530123488,26.924279432689602,9.961355234340248,16.497014295783234,29.705427565186838,47.41481195636945,868734.2541916427,12.0
2022,3,Todas (Panorama Nacional),1,24670156.206507705,2990327.005917462,21679829.20059024,771190.0663713609,2095262.7469897391,1842805.370364151,2990327.005917462,591633.820380525,11600652.147897795,7689349.447615897,5482216.882659908,3328517.8464195905,8729917.683569854,3138038.7057827385,11581453.041603453,3072710.3929609037,1105945.2092722012,1966765.1836887028,8150762.579469329,2129173.630715071,21663955.341597356,6665797.464874028,20481227.9833482,9214104.751489826,8.493106932322677,3.126003986014202,15.247236542817582,18.229319128564335,21.138047616460216,19.7849204856111,66.2837687880273,71.29623799786708,28.69250628312966,40.267465222153035,27.05053703684578,26.531302954154075,26.12238560448531,9.54927853438918,16.982024419764898,30.769069450927596,44.98804836790619,860141.063134354,12.0
2022,4,Todas (Panorama Nacional),1,24718018.143454213,2760623.4168790467,21957394.726575162,783573.8445460871,2096891.755041275,1670907.3968772162,2760623.4168790467,505044.324816513,11664761.983834414,7835820.510355589,5803101.029266518,2964246.176236008,9154390.204754526,2824272.6164011727,11412058.587259002,2839671.470849107,1056612.0948980227,1783059.3759510838,8138259.158841866,1987099.2765485358,21922037.36766149,6462342.975593221,20858050.533966895,8990194.888269328,8.483251945490503,3.1700512557216967,14.3385171127229,16.793146075551075,19.762474415003602,18.29457512127743,67.1751427179984,74.05862629953444,25.411973089069473,41.691604667811134,24.21200381383851,24.88307827318254,24.41676085468031,9.25873353014221,15.624344743040325,29.478751756559863,43.10179838537156,849545.4931611588,12.0
2022,5,Todas (Panorama Nacional),1,24828573.60461386,2643811.4486481883,22184762.15596567,793911.16367484,2019946.683409792,1607951.3215078758,2643811.4486481883,426369.46449377097,11791972.724812046,7996089.210542012,5934892.121001743,3218247.827367384,9402774.156101778,3047947.490855155,11402105.117564937,2755704.250718639,968352.9874509058,1787351.263267733,8130949.84961649,1931921.683443131,22156877.925574586,6716725.873351677,21144877.05832427,8895890.598742729,8.135572810491329,3.197570574603241,13.84583209276348,16.08291098031167,19.085995409499947,16.127075352207083,67.80959723318443,74.22243505209028,27.291852707526342,42.38393042033715,25.84764705605047,24.168381384885482,23.760098379333296,8.492756183760825,15.675625201124651,30.314405738539968,42.07113890615228,842459.9831508003,12.0
2022,6,Todas (Panorama Nacional),1,24817324.513836145,2794728.851799746,22022595.662036404,758061.1822352761,2108488.517330971,1653972.927499744,2794728.851799746,519674.55238359305,11601306.40764308,7726573.846478532,5696079.233591305,3046047.9355688347,8953873.26331819,2889691.7076301994,11437404.58463385,2804630.2822585823,947784.072995445,1856846.2092631368,8126738.443107717,1939577.195142507,22016532.73442696,6515810.69138777,21007079.52223783,8951609.355114214,8.496034760537734,3.0545644910781666,14.315765714609052,16.80575645813522,19.669466421408636,18.594811158475487,66.60089454570542,73.72063409692711,26.256076932525996,40.65766543020767,24.908330200868033,24.521562225984404,23.8666127711722,8.286705834195923,16.234856391788476,29.595080978391675,42.61234573629406,838152.7114240214,12.0
2022,7,Todas (Panorama Nacional),1,24777884.534601457,2722822.810005655,22055061.7245958,776959.4566682919,2070817.804995609,1555955.452632883,2722822.810005655,459744.537706753,11657955.62093664,7692675.542799585,5601428.045366805,3065974.518836566,8935973.687990602,2941968.373576695,11312249.345572755,2684688.583415391,939659.6471321271,1745028.9362832638,8113533.438190207,1885494.553003177,22035438.893129863,6468179.690272656,20994702.817745294,9001539.058417482,8.357524638973048,3.1356973012901683,14.124620936814125,16.24821243203699,19.198634615223845,16.88484965005116,65.98648847988605,72.81508253145805,26.29941834167177,40.51665689978644,25.235714298767654,23.73257962587335,23.238883124930496,8.306567672148061,15.426011953725288,29.353532378650666,42.875286859546,831462.5426124554,12.0
2022,8,Todas (Panorama Nacional),1,24796149.8816863,2636147.25772571,22160002.623960588,826646.0862301319,2190428.265978626,1662459.254021076,2636147.25772571,410853.811255794,11641172.95761078,7851811.914934521,5906634.069508225,2771759.229627663,9114240.355005555,2629783.2187042506,11403235.693687906,2665851.253167296,966390.006529915,1699461.2466373811,8109345.837185622,1856868.4312358792,22132817.796783336,6405034.896597068,21094175.01883376,8796499.002150336,8.833743449810374,3.333767904188497,13.965044414065902,16.24653242239244,19.37083151910696,15.585389247573787,67.44863205387868,75.22638256621411,23.809965196123457,41.1292386091631,22.590362915147203,23.378024665779193,22.897881882422123,8.47469992280214,14.903324742977055,28.9390847356451,41.70108095858907,823045.2674897119,12.0
2022,9,Todas (Panorama Nacional),1,25085649.079509262,2696315.541902109,22389333.537607156,853710.7156600349,2237509.367877271,1610046.0300673041,2696315.541902109,409912.96331352205,11626338.700753082,7625926.968658296,5671621.033090529,2418993.611493554,8933216.097655028,2258115.8589369296,11261283.086847989,2672140.564795117,952415.55795767,1719725.0068374467,8106998.044440683,1897769.455055994,22365967.47418853,6309843.705423182,21270042.31062518,9013815.554516818,8.919479662596963,3.403183680654181,14.151622094011973,16.131295904801476,19.329229924334772,15.202707433283196,65.5918184128279,74.37287370309544,20.806151220563244,39.899428371326856,19.422415921795423,23.728562226767036,23.409028158793944,8.457433763209385,15.271128463557648,28.211807571950843,42.377986009055,815461.1432765229,12.0
2022,10,Todas (Panorama Nacional),1,25040217.234926887,2434167.018701977,22606050.21622491,734303.77956306,2054154.0536376738,1690776.073023897,2434167.018701977,400884.990373762,12084280.047989331,7919367.339081831,5842490.8583684,2556155.478372319,9228629.097999029,2400275.0902521163,11429852.919598706,2450509.217266291,921967.955197819,1528541.2620684719,8092220.331997153,1617875.9456331981,22587690.678301692,6392177.813154273,21495398.197441347,8747236.597048793,8.203419460644595,2.932497640391194,12.653527597378645,15.431312425262414,18.178325119866066,16.46908315221256,65.53445722568728,73.77471719913646,21.152732874621112,40.82371316407772,19.86278934880768,21.439551624189463,19.992979420444275,8.066315128315656,13.373236495873805,28.299386175386047,40.693531316344725,809651.0404015869,12.0
2022,11,Todas (Panorama Nacional),1,24846921.31772259,2360645.798431441,22486275.519291148,861734.62811917,2036298.8896023878,1735684.739054598,2360645.798431441,365324.257457158,11952566.90940912,7995012.522020744,5783550.758961836,2695544.7005571937,9291344.99487035,2573334.768148377,11264443.233487427,2638592.315577686,825509.918876806,1813082.3967008803,8097195.603945001,1865500.6695081908,22431782.915031396,6538023.306041461,21266295.76176119,8673792.932224467,8.195377059249408,3.468174656731092,12.968932389431204,15.409815458788275,18.651539111761238,15.475606620014828,66.8895023354944,72.33948343460555,22.552015152789043,41.32007093348667,21.529557522264405,23.42408107427417,23.03884901334615,7.328457357063989,16.095623717210188,29.146249011086734,40.786571527989224,803470.9946970915,12.0
