index,Rama,IVI,Ocupados_miles,n_muestra,poblacion_estimada,Ciudad,Año
5,Transporte y almacenamiento,40.9,1804,9811,1804364.1730244837,Todas (Panorama Nacional),2026
9,"Agricultura, ganadería, caza, silvicultura y pesca",38.3,3216,10268,3216167.3006154364,Todas (Panorama Nacional),2026
10,Alojamiento y servicios de comida,33.1,1763,10020,1763051.4765268727,Todas (Panorama Nacional),2026
1,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",32.1,2022,10759,2021870.5231101832,Todas (Panorama Nacional),2026
2,Construcción,31.9,1671,8281,1671253.8545987871,Todas (Panorama Nacional),2026
0,Comercio y reparación de vehículos,31.3,4104,22115,4103780.7416517497,Todas (Panorama Nacional),2026
3,"Suministro de electricidad, gas, agua y gestión de desechos^",27.9,648,2780,647789.221388754,Todas (Panorama Nacional),2026
7,Industrias manufactureras,24.4,2575,10767,2575071.389183946,Todas (Panorama Nacional),2026
4,"Actividades profesionales, científicas, técnicas y de servicios administrativos",23.4,1908,9422,1908353.069775601,Todas (Panorama Nacional),2026
8,Actividades inmobiliarias,14.6,317,1331,316510.02486626024,Todas (Panorama Nacional),2026
6,Información y comunicaciones,9.2,439,1687,438531.666662307,Todas (Panorama Nacional),2026
11,"Administración pública y defensa, educación y atención de la salud humana",9.0,3042,18599,3042419.2881386583,Todas (Panorama Nacional),2026
12,Actividades financieras y de seguros,8.8,478,1973,478223.448618838,Todas (Panorama Nacional),2026
1,Comercio y reparación de vehículos,39.1,6,106,5922.75678321,Arauca,2026
0,"Administración pública y defensa, educación y atención de la salud humana",10.4,6,117,6258.51720897325,Arauca,2026
6,Transporte y almacenamiento,36.0,9,206,9478.59082449575,Armenia,2026
2,Alojamiento y servicios de comida,35.7,13,285,12796.76331364175,Armenia,2026
0,Construcción,32.5,11,233,11296.26851083575,Armenia,2026
7,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",29.2,15,340,14881.91991732625,Armenia,2026
3,Comercio y reparación de vehículos,28.6,29,664,28974.76714702,Armenia,2026
4,"Actividades profesionales, científicas, técnicas y de servicios administrativos",25.4,11,263,10999.64010866775,Armenia,2026
1,Industrias manufactureras,24.0,13,297,13277.683628316001,Armenia,2026
5,"Administración pública y defensa, educación y atención de la salud humana",7.5,23,519,23348.22713702175,Armenia,2026
8,Transporte y almacenamiento,40.9,99,386,99283.1349126775,Barranquilla A.M.,2026
9,Alojamiento y servicios de comida,34.4,82,367,82139.455005125,Barranquilla A.M.,2026
2,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",34.0,95,446,95398.6100901075,Barranquilla A.M.,2026
5,Construcción,31.2,70,281,70083.59440333,Barranquilla A.M.,2026
1,Comercio y reparación de vehículos,28.5,183,822,183131.905341745,Barranquilla A.M.,2026
11,"Suministro de electricidad, gas, agua y gestión de desechos^",19.6,17,74,17059.05339067,Barranquilla A.M.,2026
7,Industrias manufactureras,18.7,115,464,114699.52894391,Barranquilla A.M.,2026
4,"Actividades profesionales, científicas, técnicas y de servicios administrativos",18.4,92,400,91891.59799196,Barranquilla A.M.,2026
10,Actividades inmobiliarias,15.8,15,68,15484.76562357,Barranquilla A.M.,2026
6,Información y comunicaciones,9.8,13,57,13183.6968615375,Barranquilla A.M.,2026
0,"Administración pública y defensa, educación y atención de la salud humana",9.5,110,482,110145.4220275125,Barranquilla A.M.,2026
3,Actividades financieras y de seguros,9.1,19,89,18629.658191755,Barranquilla A.M.,2026
3,Transporte y almacenamiento,33.4,332,350,331889.8447784,Bogotá D.C.,2026
8,Alojamiento y servicios de comida,30.8,235,252,235193.374798275,Bogotá D.C.,2026
6,Comercio y reparación de vehículos,27.6,754,814,754479.164126675,Bogotá D.C.,2026
2,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",26.0,351,390,351230.799570175,Bogotá D.C.,2026
5,Construcción,24.9,243,262,242876.2191702,Bogotá D.C.,2026
7,Industrias manufactureras,23.9,509,559,508785.188056875,Bogotá D.C.,2026
12,"Suministro de electricidad, gas, agua y gestión de desechos^",21.5,71,76,71494.24134125,Bogotá D.C.,2026
1,"Actividades profesionales, científicas, técnicas y de servicios administrativos",15.8,556,608,555927.33131635,Bogotá D.C.,2026
10,Actividades inmobiliarias,15.0,106,114,106143.913229025,Bogotá D.C.,2026
9,"Agricultura, ganadería, caza, silvicultura y pesca",13.2,29,35,29421.70585095,Bogotá D.C.,2026
0,"Administración pública y defensa, educación y atención de la salud humana",9.0,737,779,736814.58603425,Bogotá D.C.,2026
4,Actividades financieras y de seguros,7.7,180,187,179523.243153325,Bogotá D.C.,2026
11,Información y comunicaciones,7.0,191,193,190549.395862525,Bogotá D.C.,2026
2,Transporte y almacenamiento,41.4,52,357,52093.1369495575,Bucaramanga A.M.,2026
6,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",28.8,41,283,40885.3640320975,Bucaramanga A.M.,2026
8,Alojamiento y servicios de comida,27.3,37,271,37196.113624405,Bucaramanga A.M.,2026
7,Industrias manufactureras,26.9,79,486,79044.4025225275,Bucaramanga A.M.,2026
0,Comercio y reparación de vehículos,26.1,125,833,125350.5189638075,Bucaramanga A.M.,2026
9,Construcción,26.0,35,220,35381.7184564175,Bucaramanga A.M.,2026
1,"Actividades profesionales, científicas, técnicas y de servicios administrativos",18.7,63,430,63416.7956264175,Bucaramanga A.M.,2026
10,Actividades inmobiliarias,16.1,14,85,14273.0461962325,Bucaramanga A.M.,2026
11,"Suministro de electricidad, gas, agua y gestión de desechos^",15.3,9,56,8896.28401143,Bucaramanga A.M.,2026
12,"Agricultura, ganadería, caza, silvicultura y pesca",12.2,13,68,12730.013534835,Bucaramanga A.M.,2026
3,"Administración pública y defensa, educación y atención de la salud humana",6.5,104,634,104432.5543128,Bucaramanga A.M.,2026
5,Información y comunicaciones,5.8,10,76,9627.1313955,Bucaramanga A.M.,2026
4,Actividades financieras y de seguros,4.9,16,93,15558.882979965,Bucaramanga A.M.,2026
9,Transporte y almacenamiento,40.8,82,354,81596.7666589715,Cali A.M.,2026
3,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",31.0,121,448,120589.483709072,Cali A.M.,2026
2,Alojamiento y servicios de comida,29.7,83,297,83301.01770650275,Cali A.M.,2026
10,Construcción,27.5,77,292,77303.3149455135,Cali A.M.,2026
6,Comercio y reparación de vehículos,27.3,241,885,240907.797652241,Cali A.M.,2026
8,"Suministro de electricidad, gas, agua y gestión de desechos^",21.2,16,74,15567.208795876,Cali A.M.,2026
7,"Actividades profesionales, científicas, técnicas y de servicios administrativos",19.8,113,424,112730.646361837,Cali A.M.,2026
4,Industrias manufactureras,15.2,176,706,176115.1338143785,Cali A.M.,2026
11,Actividades inmobiliarias,11.9,20,78,20259.3068780375,Cali A.M.,2026
12,Información y comunicaciones,8.2,24,86,23753.8236856425,Cali A.M.,2026
1,"Administración pública y defensa, educación y atención de la salud humana",7.8,149,565,148960.57794841874,Cali A.M.,2026
0,Actividades financieras y de seguros,2.0,29,105,29425.29210777,Cali A.M.,2026
3,Transporte y almacenamiento,36.5,60,556,59712.614392115,Cartagena,2026
6,Construcción,35.5,29,280,29440.9166326425,Cartagena,2026
0,Comercio y reparación de vehículos,35.3,76,708,75984.94842444,Cartagena,2026
1,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",33.3,42,406,41923.980114435,Cartagena,2026
7,Alojamiento y servicios de comida,30.9,45,428,44820.0847635375,Cartagena,2026
4,"Actividades profesionales, científicas, técnicas y de servicios administrativos",23.3,36,342,36042.840648,Cartagena,2026
5,Industrias manufactureras,21.5,36,333,35827.8780583975,Cartagena,2026
8,"Suministro de electricidad, gas, agua y gestión de desechos^",17.8,7,65,7385.156459165,Cartagena,2026
9,Actividades inmobiliarias,13.0,8,73,8262.9431800475,Cartagena,2026
10,Actividades financieras y de seguros,9.9,5,52,5471.0822703275,Cartagena,2026
2,"Administración pública y defensa, educación y atención de la salud humana",7.6,60,556,59877.438953555,Cartagena,2026
1,Transporte y almacenamiento,51.7,35,281,34807.52342231,Cúcuta A.M.,2026
8,Construcción,50.0,35,238,34590.003433925,Cúcuta A.M.,2026
3,Alojamiento y servicios de comida,44.0,34,281,34105.969280175,Cúcuta A.M.,2026
4,Industrias manufactureras,38.0,59,442,59089.2853471175,Cúcuta A.M.,2026
5,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",37.1,38,314,37831.5343424625,Cúcuta A.M.,2026
0,Comercio y reparación de vehículos,33.4,105,788,105295.4702726725,Cúcuta A.M.,2026
2,"Actividades profesionales, científicas, técnicas y de servicios administrativos",32.8,39,296,39125.644284085,Cúcuta A.M.,2026
6,"Suministro de electricidad, gas, agua y gestión de desechos^",27.8,10,75,10223.3310236325,Cúcuta A.M.,2026
9,Actividades financieras y de seguros,22.2,7,52,6587.145662925,Cúcuta A.M.,2026
11,Actividades inmobiliarias,20.7,5,38,5488.16390004,Cúcuta A.M.,2026
10,Información y comunicaciones,13.4,6,40,5534.8837909925,Cúcuta A.M.,2026
7,"Administración pública y defensa, educación y atención de la salud humana",10.5,57,418,57110.0843799325,Cúcuta A.M.,2026
4,Transporte y almacenamiento,48.6,6,239,6039.76856760075,Florencia,2026
5,Construcción,43.2,6,219,5587.24730266675,Florencia,2026
6,Alojamiento y servicios de comida,38.2,5,232,5149.3823700802495,Florencia,2026
1,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",36.0,5,230,5403.38671981625,Florencia,2026
0,"Actividades profesionales, científicas, técnicas y de servicios administrativos",34.3,6,267,6303.65286679975,Florencia,2026
3,Comercio y reparación de vehículos,31.4,16,648,15743.01071791125,Florencia,2026
2,"Administración pública y defensa, educación y atención de la salud humana",8.8,14,564,13596.34051032575,Florencia,2026
0,Construcción,34.5,13,244,12803.68615936025,Ibagué,2026
5,Transporte y almacenamiento,32.0,12,235,12148.163431008,Ibagué,2026
7,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",27.5,9,190,9295.876986020001,Ibagué,2026
6,"Actividades profesionales, científicas, técnicas y de servicios administrativos",27.3,15,319,15151.228968305,Ibagué,2026
4,Alojamiento y servicios de comida,26.7,12,236,12048.542590079,Ibagué,2026
3,Comercio y reparación de vehículos,23.4,29,582,29389.10498716425,Ibagué,2026
2,Industrias manufactureras,19.1,12,233,12424.78043770675,Ibagué,2026
8,"Suministro de electricidad, gas, agua y gestión de desechos^",12.0,5,107,5373.8578925775,Ibagué,2026
1,"Administración pública y defensa, educación y atención de la salud humana",5.1,32,656,31785.338764261,Ibagué,2026
8,Transporte y almacenamiento,30.0,15,307,15146.75211413975,Manizales A.M.,2026
0,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",28.0,22,437,21694.9238806445,Manizales A.M.,2026
4,Comercio y reparación de vehículos,26.0,44,885,44496.73453678375,Manizales A.M.,2026
7,Alojamiento y servicios de comida,25.5,19,371,19113.59041256425,Manizales A.M.,2026
6,Construcción,22.4,17,326,17352.361277037,Manizales A.M.,2026
3,"Actividades profesionales, científicas, técnicas y de servicios administrativos",16.1,28,560,27541.783390717,Manizales A.M.,2026
1,Industrias manufactureras,10.9,32,643,32387.96911414875,Manizales A.M.,2026
9,Actividades financieras y de seguros,7.9,6,114,5778.8559242195,Manizales A.M.,2026
5,Información y comunicaciones,7.2,7,131,6660.1464521275,Manizales A.M.,2026
2,"Administración pública y defensa, educación y atención de la salud humana",6.9,41,802,41192.732629225,Manizales A.M.,2026
6,Transporte y almacenamiento,36.5,195,484,194803.53868254,Medellín A.M.,2026
7,Construcción,26.5,158,371,158443.7063665825,Medellín A.M.,2026
3,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",25.7,176,472,176011.52167801,Medellín A.M.,2026
1,Comercio y reparación de vehículos,25.4,383,955,382998.03380139,Medellín A.M.,2026
9,Alojamiento y servicios de comida,24.9,144,378,143526.736943785,Medellín A.M.,2026
10,"Suministro de electricidad, gas, agua y gestión de desechos^",23.3,42,102,41526.4479280475,Medellín A.M.,2026
12,"Agricultura, ganadería, caza, silvicultura y pesca",21.1,22,45,22121.726783825,Medellín A.M.,2026
2,"Actividades profesionales, científicas, técnicas y de servicios administrativos",19.1,241,567,240510.18054377,Medellín A.M.,2026
4,Industrias manufactureras,16.6,330,764,329516.42396847,Medellín A.M.,2026
8,Actividades inmobiliarias,13.2,42,107,41578.8416889125,Medellín A.M.,2026
0,"Administración pública y defensa, educación y atención de la salud humana",9.2,279,663,279012.779084975,Medellín A.M.,2026
5,Información y comunicaciones,8.8,58,145,57903.3476096,Medellín A.M.,2026
11,Actividades financieras y de seguros,7.0,60,140,59610.415206519996,Medellín A.M.,2026
7,Transporte y almacenamiento,51.1,16,246,15826.24549257425,Montería,2026
3,Alojamiento y servicios de comida,33.6,17,267,17415.46276336175,Montería,2026
4,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",33.4,21,332,21437.58556767525,Montería,2026
0,Construcción,29.6,12,188,12132.240104011,Montería,2026
2,Comercio y reparación de vehículos,28.6,37,588,36824.73251221075,Montería,2026
6,Industrias manufactureras,27.5,13,196,12900.14632581875,Montería,2026
1,"Actividades profesionales, científicas, técnicas y de servicios administrativos",25.0,13,193,12881.5576765615,Montería,2026
5,"Administración pública y defensa, educación y atención de la salud humana",7.8,37,553,37327.148678893,Montería,2026
4,Transporte y almacenamiento,51.3,16,371,15927.796215075,Pasto,2026
7,Industrias manufactureras,35.4,12,296,12217.1290228245,Pasto,2026
3,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",34.2,14,331,13538.43195063825,Pasto,2026
0,Comercio y reparación de vehículos,33.3,37,886,36949.1662918155,Pasto,2026
6,"Actividades profesionales, científicas, técnicas y de servicios administrativos",33.0,15,365,15109.95981507825,Pasto,2026
5,Alojamiento y servicios de comida,32.5,13,304,13139.30001842875,Pasto,2026
2,Construcción,30.1,7,162,6720.662115795,Pasto,2026
1,"Administración pública y defensa, educación y atención de la salud humana",11.1,33,798,32612.64052353975,Pasto,2026
9,Transporte y almacenamiento,33.0,25,318,24595.860376179,Pereira A.M.,2026
7,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",30.3,27,376,26797.227137979,Pereira A.M.,2026
8,Alojamiento y servicios de comida,25.8,23,333,22954.5197273825,Pereira A.M.,2026
3,Construcción,25.4,20,297,20201.78706906825,Pereira A.M.,2026
11,"Agricultura, ganadería, caza, silvicultura y pesca",24.6,7,87,6689.528232668,Pereira A.M.,2026
2,Comercio y reparación de vehículos,23.4,62,845,61528.237292876,Pereira A.M.,2026
1,"Actividades profesionales, científicas, técnicas y de servicios administrativos",20.1,34,476,33592.26870703575,Pereira A.M.,2026
4,Industrias manufactureras,16.7,36,506,36445.9223801865,Pereira A.M.,2026
6,Actividades inmobiliarias,15.1,5,82,5495.707152965,Pereira A.M.,2026
5,Información y comunicaciones,9.6,8,98,7899.08002713375,Pereira A.M.,2026
0,"Administración pública y defensa, educación y atención de la salud humana",9.2,47,660,46888.481665549,Pereira A.M.,2026
10,Actividades financieras y de seguros,7.4,5,65,5234.3552279325,Pereira A.M.,2026
1,Transporte y almacenamiento,50.0,11,256,10845.4266373465,Popayán,2026
7,Construcción,34.0,7,156,6741.83308751325,Popayán,2026
2,Alojamiento y servicios de comida,33.8,11,267,10960.95339834625,Popayán,2026
4,Industrias manufactureras,32.9,7,171,7233.04036885975,Popayán,2026
0,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",32.3,12,264,11531.6430623,Popayán,2026
3,Comercio y reparación de vehículos,31.2,25,586,24748.10224890125,Popayán,2026
6,"Actividades profesionales, científicas, técnicas y de servicios administrativos",27.3,10,215,9634.9599181865,Popayán,2026
5,"Administración pública y defensa, educación y atención de la salud humana",7.7,30,698,30270.069810295,Popayán,2026
0,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",30.7,5,341,5095.125832545,Quibdó,2026
2,Comercio y reparación de vehículos,28.5,7,439,6606.55339158975,Quibdó,2026
1,"Administración pública y defensa, educación y atención de la salud humana",3.4,9,673,9339.870552461,Quibdó,2026
2,Transporte y almacenamiento,55.0,8,308,7634.432737103,Riohacha,2026
5,Construcción,43.3,5,212,5314.79211670575,Riohacha,2026
1,Comercio y reparación de vehículos,38.8,11,467,11489.3212742795,Riohacha,2026
4,Alojamiento y servicios de comida,35.6,6,238,5635.16205375275,Riohacha,2026
3,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",34.0,7,306,7448.48692835925,Riohacha,2026
0,"Administración pública y defensa, educación y atención de la salud humana",6.1,12,519,12279.6992090995,Riohacha,2026
0,Alojamiento y servicios de comida,14.7,5,343,5446.45251540225,San Andrés,2026
0,"Administración pública y defensa, educación y atención de la salud humana",10.7,6,182,5759.6730673635,San José del Guaviare,2026
1,Transporte y almacenamiento,41.4,25,381,24666.552153175,Santa Marta,2026
5,Construcción,36.7,18,291,18275.46338847125,Santa Marta,2026
4,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",31.4,20,327,20307.130246385,Santa Marta,2026
0,Comercio y reparación de vehículos,30.3,43,690,42815.640517245,Santa Marta,2026
8,"Actividades profesionales, científicas, técnicas y de servicios administrativos",27.1,20,311,19528.3176389725,Santa Marta,2026
6,Alojamiento y servicios de comida,26.3,24,376,23704.9079641375,Santa Marta,2026
2,Industrias manufactureras,24.2,12,193,12246.0039825625,Santa Marta,2026
7,"Suministro de electricidad, gas, agua y gestión de desechos^",16.3,6,91,5792.2370317425,Santa Marta,2026
3,"Administración pública y defensa, educación y atención de la salud humana",7.1,28,465,28368.343847075,Santa Marta,2026
5,Transporte y almacenamiento,57.9,15,391,14902.243198221,Sincelejo,2026
6,Construcción,45.5,8,204,7647.70198014725,Sincelejo,2026
1,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",36.4,14,403,14145.25613196875,Sincelejo,2026
7,"Actividades profesionales, científicas, técnicas y de servicios administrativos",35.2,7,203,7295.57323337225,Sincelejo,2026
3,Alojamiento y servicios de comida,34.6,10,264,9753.74540922425,Sincelejo,2026
0,Industrias manufactureras,34.4,9,256,9344.039944581,Sincelejo,2026
2,Comercio y reparación de vehículos,33.7,29,786,29111.43519012325,Sincelejo,2026
4,"Administración pública y defensa, educación y atención de la salud humana",9.1,21,583,21344.182418059,Sincelejo,2026
2,Comercio y reparación de vehículos,25.7,15,534,14573.853163675,Tunja,2026
0,"Actividades profesionales, científicas, técnicas y de servicios administrativos",19.6,8,293,8058.28787089225,Tunja,2026
3,Construcción,18.5,5,179,5322.739815562,Tunja,2026
1,"Administración pública y defensa, educación y atención de la salud humana",4.7,24,855,24489.093251221,Tunja,2026
2,Transporte y almacenamiento,49.1,21,285,21266.039572256,Valledupar,2026
3,Alojamiento y servicios de comida,34.1,17,259,17159.223290487498,Valledupar,2026
7,"Actividades profesionales, científicas, técnicas y de servicios administrativos",32.9,12,172,12480.7727657835,Valledupar,2026
1,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",31.5,25,370,25487.3592938145,Valledupar,2026
5,Construcción,30.9,17,215,16535.6480894975,Valledupar,2026
4,Industrias manufactureras,29.0,13,189,12804.58512490075,Valledupar,2026
6,Comercio y reparación de vehículos,28.6,41,581,41387.39806817,Valledupar,2026
0,"Administración pública y defensa, educación y atención de la salud humana",8.2,38,542,38156.8483016225,Valledupar,2026
5,Transporte y almacenamiento,43.9,22,285,21517.2731288425,Villavicencio,2026
