index,RAMA,Hombres,Mujeres,Total,Dist_%,Dist_H_%,Dist_M_%,Total_miles,Hombres_miles,Mujeres_miles,n_muestra,poblacion_estimada,Ciudad,Año
0,Comercio y reparación de vehículos,2229987.8121172194,1825563.084807813,4055550.896925032,17.60569620446865,16.53224122607678,19.122397610548816,4055.5508969250322,2229.9878121172196,1825.5630848078129,69068,4055550.896925032,Todas (Panorama Nacional),2024
1,"Agricultura, ganadería, caza, silvicultura y pesca",2711253.688006968,572178.6177390816,3283432.3057460496,14.253824733585033,20.100154696659565,5.993453265852384,3283.4323057460497,2711.253688006968,572.1786177390816,31833,3283432.30574605,Todas (Panorama Nacional),2024
2,"Administración pública y defensa, educación y atención de la salud humana",1051169.134461753,1719800.6199465948,2770969.754408348,12.029155330012934,7.792949183802336,18.01455755715465,2770.969754408348,1051.1691344617532,1719.800619946595,53295,2770969.754408348,Todas (Panorama Nacional),2024
3,Industrias manufactureras,1424431.362692891,1042788.672981084,2467220.035673975,10.710536625391356,10.560166638610438,10.922996742465413,2467.220035673975,1424.4313626928908,1042.788672981084,31778,2467220.035673975,Todas (Panorama Nacional),2024
4,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",638861.2274398054,1345102.4978135654,1983963.7252533708,8.612655472769532,4.736262621989248,14.08967184108087,1983.9637252533707,638.8612274398054,1345.1024978135654,33634,1983963.725253371,Todas (Panorama Nacional),2024
5,"Actividades profesionales, científicas, técnicas y de servicios administrativos",765162.3308663238,1032067.7452174864,1797230.07608381,7.802019388551281,5.672608685237201,10.810697230519997,1797.23007608381,765.1623308663238,1032.0677452174864,27760,1797230.0760838103,Todas (Panorama Nacional),2024
6,Transporte y almacenamiento,1542004.7210135031,166211.25198002608,1708215.9729935292,7.415597100494442,11.431808676721339,1.7410286580393803,1708.2159729935292,1542.004721013503,166.21125198002608,28786,1708215.9729935292,Todas (Panorama Nacional),2024
7,Alojamiento y servicios de comida,560717.3537576266,1130621.0731182636,1691338.4268758902,7.342329384917415,4.156935074531807,11.843023057901556,1691.3384268758903,560.7173537576266,1130.6210731182637,29974,1691338.4268758902,Todas (Panorama Nacional),2024
8,Construcción,1438261.558720145,104443.207069969,1542704.765790114,6.697090513715424,10.66269820209437,1.0940210995354822,1542.704765790114,1438.2615587201449,104.44320706996899,24642,1542704.7657901137,Todas (Panorama Nacional),2024
9,"Suministro de electricidad, gas, agua y gestión de desechos^",472813.4467407047,129415.9182019126,602229.3649426172,2.614359310008629,3.505250528265782,1.3556051092322368,602.2293649426173,472.8134467407047,129.4159182019126,8377,602229.3649426172,Todas (Panorama Nacional),2024
10,Actividades financieras y de seguros,186345.62987780443,235305.60074803824,421651.2306258427,1.8304451501934043,1.3814922610003693,2.4647777416942773,421.6512306258427,186.34562987780444,235.30560074803824,5697,421651.2306258426,Todas (Panorama Nacional),2024
11,Información y comunicaciones,267184.4830902276,138814.4507136256,405998.93380385323,1.7624964079006968,1.9807993130323382,1.4540528030645028,405.9989338038532,267.18448309022756,138.8144507136256,4826,405998.9338038532,Todas (Panorama Nacional),2024
12,Actividades inmobiliarias,200527.75572711392,104414.202526368,304941.9582534819,1.3237943779912096,1.4866328919784182,1.0937172829104276,304.9419582534819,200.5277557271139,104.414202526368,3984,304941.9582534819,Todas (Panorama Nacional),2024
0,Comercio y reparación de vehículos,3999.318762050417,2748.401945058833,6747.72070710925,55.176870871665585,65.77576568666508,44.69655261634581,6.7477207071092495,3.9993187620504167,2.748401945058833,371,6747.72070710925,Arauca,2024
1,"Administración pública y defensa, educación y atención de la salud humana",2080.91264278325,3400.6224968255838,5481.535139608834,44.82312912833443,34.224234313334925,55.30344738365418,5.481535139608834,2.08091264278325,3.4006224968255836,318,5481.535139608834,Arauca,2024
0,Comercio y reparación de vehículos,16982.32317087025,13683.3878555305,30665.71102640075,24.86884260055615,26.06332524941327,23.53044944116163,30.66571102640075,16.982323170870252,13.6833878555305,2166,30665.71102640075,Armenia,2024
1,"Administración pública y defensa, educación y atención de la salud humana",8550.040189060666,13817.53250352375,22367.572692584414,18.13933628245201,13.12202553801852,23.76112943728056,22.367572692584414,8.550040189060667,13.817532503523749,1601,22367.572692584417,Armenia,2024
2,"Actividades profesionales, científicas, técnicas y de servicios administrativos",5212.471377939916,8034.262872116667,13246.734250056583,10.742648319891863,7.999749828665145,13.816009478451917,13.246734250056583,5.2124713779399166,8.034262872116667,936,13246.734250056585,Armenia,2024
3,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",4654.654411373916,8312.589716890583,12967.2441282645,10.51599139218281,7.143649936855953,14.294630403197809,12.9672441282645,4.654654411373916,8.312589716890583,943,12967.2441282645,Armenia,2024
4,Industrias manufactureras,8171.513852214,4615.123323911416,12786.637176125416,10.369525332372678,12.541088823209904,7.936333252011964,12.786637176125415,8.171513852214,4.615123323911416,888,12786.637176125416,Armenia,2024
5,Alojamiento y servicios de comida,4129.332930663167,8136.366835777833,12265.699766441001,9.947062913841773,6.33742192703025,13.991591153110086,12.265699766441001,4.129332930663167,8.136366835777833,866,12265.699766441,Armenia,2024
6,Construcción,9290.00679909125,753.7520655039167,10043.758864595167,8.145144852715786,14.257676428469956,1.296179356733102,10.043758864595167,9.29000679909125,0.7537520655039167,688,10043.758864595167,Armenia,2024
7,Transporte y almacenamiento,8167.58707382025,798.8186442255,8966.40571804575,7.271448305986929,12.535062268336997,1.373677478052943,8.966405718045749,8.16758707382025,0.7988186442255,621,8966.40571804575,Armenia,2024
0,Comercio y reparación de vehículos,112009.96572248416,89532.19881024334,201542.1645327275,22.503600275201517,21.794701844150698,23.458163057781192,201.5421645327275,112.00996572248417,89.53219881024334,2662,201542.1645327275,Barranquilla A.M.,2024
1,"Administración pública y defensa, educación y atención de la salud humana",44727.61596734917,69173.51137601583,113901.12734336499,12.717862024418656,8.703020734987769,18.124021644738285,113.90112734336499,44.72761596734917,69.17351137601582,1541,113901.127343365,Barranquilla A.M.,2024
2,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",32034.65136088833,71119.10538228834,103153.75674317667,11.517842502167186,6.233246038318607,18.63378307191057,103.15375674317667,32.034651360888326,71.11910538228834,1456,103153.75674317668,Barranquilla A.M.,2024
3,Industrias manufactureras,68550.63002018667,33747.93143560916,102298.56145579583,11.422353933067646,13.338460849280933,8.842232057287143,102.29856145579583,68.55063002018667,33.74793143560916,1358,102298.56145579585,Barranquilla A.M.,2024
4,Transporte y almacenamiento,82446.64323581666,6538.205730199167,88984.84896601584,9.935784287735117,16.042322625360733,1.7130629892090168,88.98484896601583,82.44664323581667,6.538205730199167,1124,88984.84896601584,Barranquilla A.M.,2024
5,"Actividades profesionales, científicas, técnicas y de servicios administrativos",38407.72013064917,42361.30331496584,80769.023445615,9.018429579996642,7.4733065344832275,11.099005427183863,80.769023445615,38.40772013064917,42.36130331496584,1109,80769.023445615,Barranquilla A.M.,2024
6,Alojamiento y servicios de comida,27922.583468956665,47078.57641404917,75001.15988300584,8.374407043294257,5.433127110601037,12.334969281717516,75.00115988300584,27.922583468956667,47.07857641404917,1036,75001.15988300584,Barranquilla A.M.,2024
