Grupo,beta_educacion,beta_exp,R2,N,Ciudad,Año
Nacional,11.6,2.18,0.33,1758,Arauca,2023
Nacional,10.9,2.47,0.289,9098,Armenia,2023
Nacional,12.2,2.98,0.21,12589,Barranquilla A.M.,2023
Nacional,14.8,3.48,0.34,12050,Bogotá D.C.,2023
Nacional,10.9,2.82,0.265,12054,Bucaramanga A.M.,2023
Nacional,12.3,2.99,0.253,13783,Cali A.M.,2023
Nacional,13.0,2.96,0.256,12333,Cartagena,2023
Nacional,9.1,2.65,0.212,10631,Cúcuta A.M.,2023
Nacional,11.6,3.72,0.305,7586,Florencia,2023
Nacional,11.7,2.98,0.293,8570,Ibagué,2023
Nacional,10.0,2.6,0.259,1744,Inírida,2023
Nacional,11.6,1.29,0.182,1843,Leticia,2023
Nacional,11.1,2.62,0.259,13545,Manizales A.M.,2023
Nacional,12.3,2.74,0.268,15906,Medellín A.M.,2023
Nacional,15.5,2.65,0.392,2214,Mitú,2023
Nacional,,,,96,Mocoa,2023
Nacional,12.8,2.9,0.291,8165,Montería,2023
Nacional,13.3,4.12,0.303,11353,Pasto,2023
Nacional,9.8,2.37,0.247,12637,Pereira A.M.,2023
Nacional,13.6,4.13,0.319,10036,Popayán,2023
Nacional,12.1,2.86,0.325,1526,Puerto Carreño,2023
Nacional,11.3,3.93,0.267,7263,Quibdó,2023
Nacional,11.7,3.09,0.255,8107,Riohacha,2023
Nacional,9.7,0.75,0.236,4057,San Andrés,2023
Nacional,14.2,5.21,0.287,2248,San José del Guaviare,2023
Nacional,10.2,2.35,0.2,10021,Santa Marta,2023
Nacional,13.3,2.97,0.269,9511,Sincelejo,2023
Nacional,12.2,2.79,0.27,348363,Todas (Panorama Nacional),2023
Nacional,12.5,3.93,0.303,8985,Tunja,2023
Nacional,11.2,2.7,0.233,7687,Valledupar,2023
Nacional,10.6,3.23,0.244,10014,Villavicencio,2023
Nacional,11.6,4.16,0.318,2547,Yopal,2023
