index,Rama,ICF,Cotiza_pension_%,Ingreso_SML_%,Afiliado_salud_%,CV_%,Clasificacion_Precision,Ciudad,Año
10,Información y comunicaciones,90.9,85.1,89.4,98.2,0.6,✅ Precisión alta,Cali A.M.,2025
12,Actividades inmobiliarias,89.3,83.8,85.3,98.9,0.6,✅ Precisión alta,Cali A.M.,2025
3,"Suministro de electricidad, gas, agua y gestión de desechos^",83.0,77.5,73.3,98.2,0.7,✅ Precisión alta,Cali A.M.,2025
6,Industrias manufactureras,78.2,65.2,73.6,95.8,1.0,✅ Precisión alta,Cali A.M.,2025
7,"Agricultura, ganadería, caza, silvicultura y pesca",75.4,60.7,69.1,96.5,1.1,✅ Precisión alta,Cali A.M.,2025
9,"Actividades profesionales, científicas, técnicas y de servicios administrativos",71.7,54.6,63.3,97.1,1.3,✅ Precisión alta,Cali A.M.,2025
4,Comercio y reparación de vehículos,68.2,50.6,58.6,95.4,1.4,✅ Precisión alta,Cali A.M.,2025
2,Construcción,61.3,37.4,54.3,92.1,1.8,✅ Precisión alta,Cali A.M.,2025
5,Transporte y almacenamiento,60.3,38.4,50.5,91.9,1.7,✅ Precisión alta,Cali A.M.,2025
1,Alojamiento y servicios de comida,53.0,27.0,41.3,90.6,2.3,✅ Precisión alta,Cali A.M.,2025
0,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",52.2,24.5,38.3,93.6,2.4,✅ Precisión alta,Cali A.M.,2025
9,"Administración pública y defensa, educación y atención de la salud humana",91.5,88.6,85.9,99.9,0.5,✅ Precisión alta,Cartagena,2025
1,Actividades inmobiliarias,85.6,77.9,79.4,99.4,0.8,✅ Precisión alta,Cartagena,2025
6,"Suministro de electricidad, gas, agua y gestión de desechos^",77.9,71.8,64.8,97.2,0.9,✅ Precisión alta,Cartagena,2025
7,Industrias manufactureras,72.3,56.8,61.2,98.7,1.2,✅ Precisión alta,Cartagena,2025
0,"Actividades profesionales, científicas, técnicas y de servicios administrativos",66.0,45.7,54.4,97.7,1.6,✅ Precisión alta,Cartagena,2025
2,Alojamiento y servicios de comida,59.8,38.6,43.1,97.7,1.8,✅ Precisión alta,Cartagena,2025
4,Transporte y almacenamiento,57.1,31.0,42.1,98.2,2.1,✅ Precisión alta,Cartagena,2025
3,Comercio y reparación de vehículos,55.6,31.4,37.8,97.7,2.1,✅ Precisión alta,Cartagena,2025
5,Construcción,54.3,29.1,36.7,97.0,2.2,✅ Precisión alta,Cartagena,2025
8,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",45.3,14.3,23.9,97.6,3.5,✅ Precisión alta,Cartagena,2025
8,Actividades inmobiliarias,90.7,84.2,88.5,99.4,0.7,✅ Precisión alta,Cúcuta A.M.,2025
9,"Administración pública y defensa, educación y atención de la salud humana",89.9,83.9,86.2,99.6,0.7,✅ Precisión alta,Cúcuta A.M.,2025
