index,Rama,ICF,Cotiza_pension_%,Ingreso_SML_%,Afiliado_salud_%,CV_%,Clasificacion_Precision,Ciudad,Año
1,"Administración pública y defensa, educación y atención de la salud humana",86.6,86.5,73.7,99.5,1.5,✅ Precisión alta,Arauca,2024
0,Comercio y reparación de vehículos,47.0,19.4,32.3,89.3,7.7,⚠️  Precisión aceptable,Arauca,2024
2,"Administración pública y defensa, educación y atención de la salud humana",92.5,90.5,87.5,99.6,0.5,✅ Precisión alta,Armenia,2024
7,Industrias manufactureras,75.7,60.2,70.1,96.8,1.3,✅ Precisión alta,Armenia,2024
1,Transporte y almacenamiento,65.9,49.1,55.1,93.5,1.6,✅ Precisión alta,Armenia,2024
5,"Actividades profesionales, científicas, técnicas y de servicios administrativos",64.7,44.4,53.7,96.1,1.8,✅ Precisión alta,Armenia,2024
4,Comercio y reparación de vehículos,63.8,43.2,53.8,94.3,1.8,✅ Precisión alta,Armenia,2024
6,Construcción,61.9,36.4,58.9,90.5,2.1,✅ Precisión alta,Armenia,2024
0,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",58.4,31.6,49.9,93.9,2.4,✅ Precisión alta,Armenia,2024
3,Alojamiento y servicios de comida,50.6,23.5,35.9,92.3,2.9,✅ Precisión alta,Armenia,2024
1,Información y comunicaciones,93.8,88.6,94.2,98.6,0.5,✅ Precisión alta,Barranquilla A.M.,2024
10,Actividades inmobiliarias,89.6,80.4,91.1,97.1,0.7,✅ Precisión alta,Barranquilla A.M.,2024
0,"Administración pública y defensa, educación y atención de la salud humana",89.4,84.2,84.2,99.7,0.6,✅ Precisión alta,Barranquilla A.M.,2024
8,Actividades financieras y de seguros,82.9,70.0,80.9,97.8,0.9,✅ Precisión alta,Barranquilla A.M.,2024
7,"Actividades profesionales, científicas, técnicas y de servicios administrativos",74.8,58.9,66.6,98.9,1.2,✅ Precisión alta,Barranquilla A.M.,2024
3,Industrias manufactureras,72.3,55.4,63.7,97.8,1.3,✅ Precisión alta,Barranquilla A.M.,2024
