Grupo,beta_educacion,beta_exp,R2,N,Ciudad,Año
Nacional,13.0,2.47,0.428,1893,Arauca,2025
Nacional,9.7,2.7,0.226,10151,Armenia,2025
Nacional,11.3,2.72,0.213,12007,Barranquilla A.M.,2025
Nacional,13.0,3.27,0.313,13065,Bogotá D.C.,2025
Nacional,9.3,3.25,0.22,11927,Bucaramanga A.M.,2025
Nacional,11.1,2.9,0.228,12608,Cali A.M.,2025
Nacional,11.3,2.42,0.238,11889,Cartagena,2025
Nacional,8.6,2.75,0.192,10095,Cúcuta A.M.,2025
Nacional,11.9,3.18,0.261,7985,Florencia,2025
Nacional,10.6,2.55,0.308,8737,Ibagué,2025
Nacional,8.9,2.09,0.311,1680,Inírida,2025
Nacional,12.3,1.91,0.358,1842,Leticia,2025
Nacional,9.6,3.13,0.221,14091,Manizales A.M.,2025
Nacional,10.9,3.32,0.251,16038,Medellín A.M.,2025
Nacional,15.9,2.69,0.409,2364,Mitú,2025
Nacional,13.1,1.45,0.439,1635,Mocoa,2025
Nacional,12.8,2.03,0.28,7981,Montería,2025
Nacional,12.2,3.24,0.266,11838,Pasto,2025
Nacional,8.6,2.14,0.184,12965,Pereira A.M.,2025
Nacional,12.4,3.38,0.301,8636,Popayán,2025
Nacional,11.7,1.77,0.324,1412,Puerto Carreño,2025
Nacional,11.7,3.86,0.284,6899,Quibdó,2025
Nacional,12.2,2.56,0.278,7176,Riohacha,2025
Nacional,8.8,1.21,0.223,3940,San Andrés,2025
Nacional,12.6,4.58,0.274,2352,San José del Guaviare,2025
Nacional,9.8,2.29,0.251,9928,Santa Marta,2025
Nacional,12.8,2.5,0.234,9181,Sincelejo,2025
Nacional,11.2,2.71,0.256,347190,Todas (Panorama Nacional),2025
Nacional,11.0,3.5,0.29,8901,Tunja,2025
Nacional,10.0,2.22,0.215,8015,Valledupar,2025
Nacional,9.8,3.11,0.22,10403,Villavicencio,2025
Nacional,10.8,2.88,0.281,2592,Yopal,2025
